date,value
1994-07-28,7.37
1994-08-30,7.33
1994-09-29,7.33
1994-10-30,7.41
1994-11-29,7.41
1994-12-29,10.53
1995-01-30,12.37
1995-02-27,12.9
1995-03-30,14.43
1995-04-27,12.77
1995-05-30,13.1
1995-06-29,13.22
1995-07-30,12.73
1995-08-30,13.2
1995-09-28,13.44
1995-10-30,14.92
1995-11-29,15.82
1995-12-28,16.16
1996-01-30,15.43
1996-02-28,15.84
1996-03-28,15.59
1996-04-29,15.29
1996-05-30,15.29
1996-06-27,15.63
1996-07-30,15.58
1996-08-29,15.54
1996-09-29,15.42
1996-10-30,16.26
1996-11-28,15.97
1996-12-30,16.02
1997-01-30,15.79
1997-02-27,15.82
1997-03-30,15.89
1997-04-29,15.99
1997-05-29,15.94
1997-06-29,15.96
1997-07-30,15.68
1997-08-28,15.63
1997-09-29,15.41
1997-10-30,15.99
1997-11-27,16.24
1997-12-30,16.12
1998-01-29,16.91
1998-02-26,16.97
1998-03-30,16.93
1998-04-29,16.84
1998-05-28,17.48
1998-06-29,17.78
1998-07-30,17.59
1998-08-30,19.68
1998-09-29,20.08
1998-10-29,19.89
1998-11-29,19.68
1998-12-30,19.54
1999-01-28,19.83
1999-02-25,19.38
1999-03-30,18.61
1999-04-29,17.92
1999-05-27,18.98
1999-06-29,18.32
1999-07-29,18.16
1999-08-30,18.13
1999-09-29,17.95
1999-10-28,18.45
1999-11-29,18.06
1999-12-30,18.19
2000-01-30,18.39
2000-02-28,17.79
2000-03-30,17.42
2000-04-27,17.69
2000-05-30,17.88
2000-06-29,18.4
2000-07-30,17.44
2000-08-30,17.17
2000-09-28,17.52
2000-10-30,17.72
2000-11-29,17.45
2000-12-28,17.82
2001-01-30,17.8
2001-02-27,17.75
2001-03-29,17.31
2001-04-29,16.85
2001-05-30,16.65
2001-06-28,16.37
2001-07-30,16.66
2001-08-30,16.72
2001-09-27,17.2
2001-10-30,16.85
2001-11-29,16.76
2001-12-30,16.71
2002-01-30,16.65
2002-02-27,16.55
2002-03-27,16.25
2002-04-29,16.87
2002-05-30,17.28
2002-06-27,17.81
2002-07-30,17.67
2002-08-29,17.75
2002-09-29,18.16
2002-10-30,18.15
2002-11-28,18.04
2002-12-30,18.59
2003-01-30,19.35
2003-02-27,19.4
2003-03-30,18.84
2003-04-29,18
2003-05-29,18.12
2003-06-29,18.35
2003-07-30,18.57
2003-08-28,19.28
2003-09-29,19.12
2003-10-30,19.2
2003-11-27,19.89
2003-12-30,19.65
2004-01-29,19.26
2004-02-26,19.15
2004-03-30,19.16
2004-04-29,19.58
2004-05-27,19.46
2004-06-29,19.51
2004-07-29,19.43
2004-08-30,19.37
2004-09-29,19.33
2004-10-28,19.48
2004-11-29,18.97
2004-12-30,18.88
2005-01-30,18.89
2005-02-27,18.67
2005-03-30,18.63
2005-04-28,18.37
2005-05-30,18.03
2005-06-29,17.82
2005-07-28,17.56
2005-08-30,17.65
2005-09-29,17.5
2005-10-30,17.47
2005-11-29,17.23
2005-12-29,17.41
2006-01-30,16.99
2006-02-27,17.01
2006-03-30,17.56
2006-04-27,17.69
2006-05-30,18.04
2006-06-29,18.01
2006-07-30,17.37
2006-08-30,17.26
2006-09-28,17.46
2006-10-30,17.18
2006-11-29,17.57
2006-12-28,17.27
2007-01-30,17.53
2007-02-27,17.7
2007-03-29,17.34
2007-04-29,17.11
2007-05-30,16.65
2007-06-28,16.73
2007-07-30,17.02
2007-08-30,17.1
2007-09-27,16.89
2007-10-30,16.44
2007-11-29,16.74
2007-12-30,16.73
2008-01-30,16.54
2008-02-28,16.31
2008-03-30,16.07
2008-04-29,15.74
2008-05-29,15.36
2008-06-29,15.19
2008-07-30,14.71
2008-08-28,15.14
2008-09-29,16.09
2008-10-30,18.99
2008-11-27,20.42
2008-12-30,20.94
2009-01-29,21.85
2009-02-26,23.15
2009-03-30,21.5
2009-04-29,20.87
2009-05-28,19.8
2009-06-29,19.71
2009-07-30,19.73
2009-08-30,19.97
2009-09-29,20.16
2009-10-29,19.72
2009-11-29,19.27
2009-12-30,19.52
2010-01-28,19.49
2010-02-25,19.01
2010-03-30,18.32
2010-04-29,18.21
2010-05-27,19.16
2010-06-29,19.15
2010-07-29,18.71
2010-08-30,19.51
2010-09-29,18.56
2010-10-28,18.21
2010-11-29,18.41
2010-12-30,18.18
2011-01-30,17.75
2011-02-27,17.64
2011-03-30,17.18
2011-04-28,16.49
2011-05-30,16.51
2011-06-29,16.73
2011-07-28,16.73
2011-08-30,17.57
2011-09-29,19.75
2011-10-30,19.02
2011-11-29,19.44
2011-12-29,19.93
2012-01-30,18.56
2012-02-28,18.2
2012-03-29,18.02
2012-04-29,18.24
2012-05-30,20.16
2012-06-28,18.81
2012-07-30,18.77
2012-08-30,18.47
2012-09-27,17.93
2012-10-30,18.26
2012-11-29,18.14
2012-12-30,18.07
2013-01-30,17.79
2013-02-27,17.76
2013-03-27,17.11
2013-04-29,16.83
2013-05-30,17.72
2013-06-27,17.87
2013-07-30,17.58
2013-08-29,18.44
2013-09-29,18.03
2013-10-30,17.98
2013-11-28,18.13
2013-12-30,18.04
2014-01-30,18.41
2014-02-27,18.2
2014-03-30,17.82
2014-04-29,17.8
2014-05-29,17.43
2014-06-29,17.55
2014-07-30,17.89
2014-08-28,17.75
2014-09-29,18.19
2014-10-30,18.31
2014-11-27,19.03
2014-12-30,20.25
2015-01-29,20.68
2015-02-26,20.54
2015-03-30,20.83
2015-04-29,20.91
