date,value
1991-12-30,1.73
1992-12-30,1.63
1993-12-30,1.61
1994-12-30,1.53
1995-12-30,1.42
1996-12-30,1.41
1997-12-30,1.49
1998-12-30,1.67
1999-12-30,1.69
2000-12-30,1.72
2001-12-30,1.79
2002-12-30,1.79
2003-12-30,1.74
2004-12-30,1.69
2005-12-30,1.66
2006-12-30,1.59
2007-12-30,1.51
2008-12-30,1.41
2009-12-30,1.45
2010-12-30,1.36
2011-12-30,1.26
2012-12-30,1.25
2013-12-30,1.25
2014-12-30,1.27
2015-12-30,1.38
2016-12-30,1.38
2017-12-30,1.38
2018-12-30,1.35
2019-12-30,1.36
2020-12-30,1.38
2021-12-30,1.34
2022-12-30,1.38
2023-12-30,1.34
2024-12-30,1.34
2025-12-30,1.31
