date,value
1992-12-30,1.14
1993-12-30,-1.8
1994-12-30,-9.37
1995-12-30,-3.07
1996-12-30,-0.97
1997-12-30,20.5
1998-12-30,-2.17
1999-12-30,0.97
2000-12-30,4.14
2001-12-30,6.41
2002-12-30,-6.01
2003-12-30,-2.12
2004-12-30,-3.91
2005-12-30,1.9
2006-12-30,-7.51
2007-12-30,-6.25
2008-12-30,-0.76
2009-12-30,-1.75
2010-12-30,-8.74
2011-12-30,1.12
2012-12-30,-5.84
2013-12-30,3.42
2014-12-30,4.9
2015-12-30,7.07
2016-12-30,2
2017-12-30,-7.66
2018-12-30,2.01
2019-12-30,-0.79
2020-12-30,-2.25
2021-12-30,2.04
2022-12-30,-0.6
2023-12-30,-1.57
2024-12-30,3.02
2025-12-30,-5.18
