date,value
1991-01-30,1.7222
1991-02-27,1.7236
1991-03-27,1.7945
1991-04-29,1.762
1991-05-30,1.7665
1991-06-27,1.763
1991-07-30,1.7395
1991-08-29,1.7225
1991-09-29,1.6849
1991-10-30,1.6865
1991-11-28,1.6637
1991-12-30,1.619
1992-01-30,1.632
1992-02-27,1.6432
1992-03-30,1.656
1992-04-29,1.656
1992-05-28,1.6275
1992-06-29,1.6167
1992-07-30,1.612
1992-08-30,1.5985
1992-09-29,1.5905
1992-10-29,1.619
1992-11-29,1.6345
1992-12-30,1.6375
1993-01-28,1.644
1993-02-25,1.643
1993-03-30,1.638
1993-04-29,1.6125
1993-05-27,1.605
1993-06-29,1.624
1993-07-29,1.6167
1993-08-30,1.6045
1993-09-29,1.582
1993-10-28,1.586
1993-11-29,1.5998
1993-12-30,1.608
1994-01-30,1.5915
1994-02-27,1.5815
1994-03-30,1.569
1994-04-28,1.5543
1994-05-30,1.534
1994-06-29,1.526
1994-07-28,1.51
1994-08-30,1.4995
1994-09-29,1.483
1994-10-30,1.468
1994-11-29,1.4635
1994-12-29,1.4573
1995-01-30,1.4535
1995-02-27,1.4485
1995-03-30,1.409
1995-04-27,1.3938
1995-05-30,1.3908
1995-06-29,1.3964
1995-07-30,1.3932
1995-08-30,1.4196
1995-09-28,1.4245
1995-10-30,1.4118
1995-11-29,1.4105
1995-12-28,1.4125
1996-01-30,1.4192
1996-02-28,1.4113
1996-03-28,1.4073
1996-04-29,1.4055
1996-05-30,1.4083
1996-06-27,1.4105
1996-07-30,1.4133
1996-08-29,1.4061
1996-09-29,1.4073
1996-10-30,1.4089
1996-11-28,1.4021
1996-12-30,1.3988
1997-01-30,1.4071
1997-02-27,1.4245
1997-03-30,1.4445
1997-04-29,1.4465
1997-05-29,1.4298
1997-06-29,1.4291
1997-07-30,1.4704
1997-08-28,1.5142
1997-09-29,1.5285
1997-10-30,1.574
1997-11-27,1.591
1997-12-30,1.6855
1998-01-29,1.7135
1998-02-26,1.619
1998-03-30,1.6135
1998-04-29,1.583
1998-05-28,1.676
1998-06-29,1.682
1998-07-30,1.7265
1998-08-30,1.7743
1998-09-29,1.6853
1998-10-29,1.623
1998-11-29,1.6488
1998-12-30,1.649
1999-01-28,1.6913
1999-02-25,1.7219
1999-03-30,1.726
1999-04-29,1.6969
1999-05-27,1.7238
1999-06-29,1.7018
1999-07-29,1.6833
1999-08-30,1.6835
1999-09-29,1.6995
1999-10-28,1.6625
1999-11-29,1.6805
1999-12-30,1.665
2000-01-30,1.701
2000-02-28,1.7232
2000-03-30,1.7113
2000-04-27,1.7062
2000-05-30,1.7328
2000-06-29,1.7278
2000-07-30,1.7327
2000-08-30,1.7205
2000-09-28,1.739
2000-10-30,1.7545
2000-11-29,1.752
2000-12-28,1.734
2001-01-30,1.7429
2001-02-27,1.7443
2001-03-29,1.805
2001-04-29,1.8207
2001-05-30,1.8091
2001-06-28,1.8227
2001-07-30,1.8026
2001-08-30,1.74
2001-09-27,1.765
2001-10-30,1.823
2001-11-29,1.8308
2001-12-30,1.8451
2002-01-30,1.8394
2002-02-27,1.8308
2002-03-27,1.843
2002-04-29,1.8162
2002-05-30,1.7884
2002-06-27,1.767
2002-07-30,1.763
2002-08-29,1.7494
2002-09-29,1.7785
2002-10-30,1.7675
2002-11-28,1.764
2002-12-30,1.7343
2003-01-30,1.7388
2003-02-27,1.7358
2003-03-30,1.7636
2003-04-29,1.7738
2003-05-29,1.7308
2003-06-29,1.7597
2003-07-30,1.7595
2003-08-28,1.7509
2003-09-29,1.7289
2003-10-30,1.7385
2003-11-27,1.7231
2003-12-30,1.6976
2004-01-29,1.6933
2004-02-26,1.6972
2004-03-30,1.6737
2004-04-29,1.702
2004-05-27,1.6986
2004-06-29,1.7169
2004-07-29,1.7185
2004-08-30,1.7099
2004-09-29,1.684
2004-10-28,1.6622
2004-11-29,1.6381
2004-12-30,1.6313
2005-01-30,1.6376
2005-02-27,1.624
2005-03-30,1.6498
2005-04-28,1.6352
2005-05-30,1.6663
2005-06-29,1.6857
2005-07-28,1.6605
2005-08-30,1.681
2005-09-29,1.6918
2005-10-30,1.6948
2005-11-29,1.6908
2005-12-29,1.6623
2006-01-30,1.622
2006-02-27,1.6219
2006-03-30,1.6156
2006-04-27,1.5808
2006-05-30,1.5792
2006-06-29,1.5823
2006-07-30,1.579
2006-08-30,1.5732
2006-09-28,1.5857
2006-10-30,1.5563
2006-11-29,1.5404
2006-12-28,1.5374
2007-01-30,1.5363
2007-02-27,1.5282
2007-03-29,1.5171
2007-04-29,1.5195
2007-05-30,1.5286
2007-06-28,1.5317
2007-07-30,1.5158
2007-08-30,1.5249
2007-09-27,1.4854
2007-10-30,1.4479
2007-11-29,1.4477
2007-12-30,1.4413
2008-01-30,1.4164
2008-02-28,1.3952
2008-03-30,1.3764
2008-04-29,1.3555
2008-05-29,1.3619
2008-06-29,1.3597
2008-07-30,1.3671
2008-08-28,1.4156
2008-09-29,1.4344
2008-10-30,1.482
2008-11-27,1.513
2008-12-30,1.4303
2009-01-29,1.5084
2009-02-26,1.5481
2009-03-30,1.522
2009-04-29,1.4806
2009-05-28,1.4438
2009-06-29,1.4472
2009-07-30,1.438
2009-08-30,1.4406
2009-09-29,1.4086
2009-10-29,1.3984
2009-11-29,1.383
2009-12-30,1.4053
2010-01-28,1.406
2010-02-25,1.4045
2010-03-30,1.3985
2010-04-29,1.3705
2010-05-27,1.4074
2010-06-29,1.3992
2010-07-29,1.3597
2010-08-30,1.3554
2010-09-29,1.3155
2010-10-28,1.2934
2010-11-29,1.32
2010-12-30,1.2825
2011-01-30,1.279
2011-02-27,1.2713
2011-03-30,1.2604
2011-04-28,1.2239
2011-05-30,1.233
2011-06-29,1.2278
2011-07-28,1.2034
2011-08-30,1.2041
2011-09-29,1.3067
2011-10-30,1.2549
2011-11-29,1.2817
2011-12-29,1.2968
2012-01-30,1.258
2012-02-28,1.2509
2012-03-29,1.2574
2012-04-29,1.237
2012-05-30,1.2884
2012-06-28,1.2647
2012-07-30,1.2448
2012-08-30,1.2468
2012-09-27,1.2273
2012-10-30,1.2201
2012-11-29,1.2205
2012-12-30,1.2211
2013-01-30,1.2372
2013-02-27,1.2383
2013-03-27,1.2404
2013-04-29,1.2311
2013-05-30,1.2638
2013-06-27,1.2678
2013-07-30,1.2708
2013-08-29,1.2745
2013-09-29,1.2553
2013-10-30,1.2415
2013-11-28,1.2545
2013-12-30,1.2629
2014-01-30,1.2767
2014-02-27,1.2673
2014-03-30,1.2571
2014-04-29,1.2533
2014-05-29,1.2537
2014-06-29,1.2458
2014-07-30,1.247
2014-08-28,1.248
2014-09-29,1.2753
2014-10-30,1.2856
2014-11-27,1.3041
2014-12-30,1.3248
2015-01-29,1.353
2015-02-26,1.3627
2015-03-30,1.3716
2015-04-29,1.3232
2015-05-28,1.3478
2015-06-29,1.3474
2015-07-30,1.3722
2015-08-30,1.4118
2015-09-29,1.4223
2015-10-29,1.4012
2015-11-29,1.4109
2015-12-30,1.4185
2016-01-28,1.4243
2016-02-28,1.4066
2016-03-30,1.3484
2016-04-28,1.3442
2016-05-30,1.3777
2016-06-29,1.3472
2016-07-28,1.3397
2016-08-30,1.3624
2016-09-29,1.3631
2016-10-30,1.3911
2016-11-29,1.4334
2016-12-29,1.4468
2017-01-30,1.4098
2017-02-27,1.4032
2017-03-30,1.3971
2017-04-27,1.397
2017-05-30,1.3832
2017-06-29,1.3762
2017-07-30,1.3553
2017-08-30,1.3559
2017-09-28,1.3576
2017-10-30,1.3628
2017-11-29,1.3477
2017-12-28,1.336
2018-01-30,1.3121
2018-02-27,1.3252
2018-03-30,1.3111
2018-04-29,1.3257
2018-05-30,1.3385
2018-06-29,1.362
2018-07-30,1.3619
2018-08-30,1.3721
2018-09-28,1.3666
2018-10-30,1.3854
2018-11-29,1.3722
2018-12-30,1.3628
2019-01-30,1.346
2019-02-27,1.352
2019-03-29,1.3553
2019-04-29,1.3609
2019-05-30,1.3739
2019-06-28,1.3528
2019-07-30,1.3738
2019-08-30,1.3875
2019-09-29,1.3818
2019-10-30,1.3607
2019-11-29,1.3677
2019-12-30,1.3521
2020-01-30,1.3649
2020-02-28,1.3933
2020-03-30,1.4227
2020-04-29,1.4118
2020-05-29,1.4137
2020-06-29,1.3936
2020-07-30,1.3752
2020-08-30,1.3605
2020-09-29,1.3645
2020-10-30,1.3661
2020-11-29,1.3412
2020-12-30,1.3217
2021-01-29,1.3292
2021-02-26,1.3324
2021-03-30,1.345
2021-04-29,1.331
2021-05-30,1.3211
2021-06-29,1.3451
2021-07-30,1.3543
2021-08-30,1.3447
2021-09-29,1.3576
2021-10-29,1.3488
2021-11-29,1.3647
2021-12-30,1.3487
2022-01-30,1.3518
2022-02-27,1.355
2022-03-30,1.3549
2022-04-29,1.3832
2022-05-30,1.3702
2022-06-29,1.3903
2022-07-29,1.3807
2022-08-30,1.3973
2022-09-29,1.432
2022-10-30,1.4154
2022-11-29,1.3607
2022-12-30,1.3406
2023-01-30,1.3136
2023-02-27,1.348
2023-03-30,1.3308
2023-04-28,1.3355
2023-05-30,1.3514
2023-06-29,1.3522
2023-07-30,1.3298
2023-08-30,1.3508
2023-09-29,1.3661
2023-10-30,1.3695
2023-11-29,1.3372
2023-12-30,1.3195
2024-01-30,1.3405
2024-02-28,1.346
2024-03-30,1.3478
2024-04-29,1.3653
2024-05-30,1.3535
2024-06-29,1.3552
2024-07-30,1.3362
2024-08-30,1.3067
2024-09-29,1.2851
2024-10-30,1.3197
2024-11-29,1.3395
2024-12-30,1.3594
2025-01-30,1.3573
2025-02-27,1.3513
2025-03-30,1.3433
2025-04-29,1.3057
2025-05-30,1.2918
2025-06-29,1.2711
2025-07-30,1.298
2025-08-29,1.2841
2025-09-29,1.2902
2025-10-30,1.2993
2025-11-28,1.2969
2025-12-16,1.289
