date,value
1971-12-07,7.54
1972-01-03,7.38
1973-12-30,8.05
1974-12-30,9.21
1975-12-30,9.04
1976-12-30,8.86
1977-12-30,8.85
1978-12-30,9.64
1979-12-30,11.21
1980-12-30,13.78
1981-12-30,16.65
1982-12-30,16.06
1983-12-30,13.23
1984-12-30,13.86
1985-12-30,12.41
1986-12-30,10.18
1987-12-30,10.2
1988-12-30,10.34
1989-12-30,10.33
1990-12-30,10.13
1991-12-30,9.24
1992-12-30,8.39
1993-12-30,7.32
1994-12-30,8.38
1995-12-30,7.95
1996-12-30,7.81
1997-12-30,7.59
1998-12-30,6.94
1999-12-30,7.43
2000-12-30,8.07
2001-12-30,6.97
2002-12-30,6.52
2003-12-30,5.82
2004-12-30,5.83
2005-12-30,5.86
2006-12-30,6.41
2007-12-30,6.35
2008-12-30,6.03
2009-12-30,5.04
2010-12-30,4.69
2011-12-30,4.46
2012-12-30,3.66
2013-12-30,3.98
2014-12-30,4.17
2015-12-30,3.85
2016-12-30,3.65
2017-12-30,3.99
2018-12-30,4.55
2019-12-30,3.94
2020-12-30,3.11
2021-12-30,2.97
2022-12-30,5.33
2023-12-30,6.81
2024-12-30,6.73
2025-12-30,6.63
