date,value
1972-01-03,-0.4
1973-12-30,14.9
1974-12-30,11.68
1975-12-30,-4.92
1976-12-30,-3.41
1977-12-30,2.51
1978-12-30,15.33
1979-12-30,24.28
1980-12-30,15.89
1981-12-30,13.98
1982-12-30,-20.36
1983-12-30,-1.03
1984-12-30,-2.16
1985-12-30,-15.6
1986-12-30,-16.23
1987-12-30,14.21
1988-12-30,1.51
1989-12-30,-9.19
1990-12-30,-1.02
1991-12-30,-13.74
1992-12-30,-2.51
1993-12-30,-12.41
1994-12-30,28.75
1995-12-30,-22.55
1996-12-30,7.45
1997-12-30,-8.51
1998-12-30,-2.29
1999-12-30,18.01
2000-12-30,-11.54
2001-12-30,0.42
2002-12-30,-17.18
2003-12-30,-1.35
2004-12-30,-0.68
2005-12-30,7.06
2006-12-30,-0.64
2007-12-30,-0.16
2008-12-30,-17.34
2009-12-30,0.78
2010-12-30,-5.45
2011-12-30,-18.72
2012-12-30,-15.19
2013-12-30,33.73
2014-12-30,-13.62
2015-12-30,3.62
2016-12-30,7.73
2017-12-30,-7.64
2018-12-30,14.04
2019-12-30,-17.8
2020-12-30,-28.61
2021-12-30,16.48
2022-12-30,106.43
2023-12-30,2.96
2024-12-30,3.63
2025-12-30,-9.2
