date,value
1950-02-22,7.29
1951-10-22,7.46
1952-06-20,7.54
1953-04-18,7.69
1954-12-15,7.69
1955-08-13,7.67
1956-06-11,7.63
1957-02-08,7.51
1958-12-07,7.48
1959-08-05,7.4
1960-04-04,7.31
1961-01-31,7.23
1962-09-29,7.33
1963-05-28,7.4
1964-03-25,7.38
1965-11-22,7.4
1966-07-22,7.42
1967-05-20,7.43
1968-01-16,7.42
1969-09-14,7.44
1970-07-13,7.45
1971-03-12,7.43
1972-11-09,7.45
1973-03-29,7.49
1973-04-26,7.56
1973-05-23,7.7
1973-06-28,7.76
1973-07-26,8.18
1973-08-30,8.66
1973-09-27,8.85
1973-10-25,8.68
1973-11-29,8.55
1973-12-27,8.56
1974-01-24,8.52
1974-02-21,8.42
1974-03-28,8.41
1974-04-25,8.73
1974-05-30,9.03
1974-06-27,9.1
1974-07-25,9.42
1974-08-29,9.74
1974-09-26,10.03
1974-10-24,9.94
1974-11-28,9.72
1974-12-26,9.56
1975-01-30,9.29
1975-02-27,9.02
1975-03-27,8.86
1975-04-24,8.84
1975-05-29,8.89
1975-06-26,8.9
1975-07-24,8.89
1975-08-28,9.02
1975-09-25,9.14
1975-10-30,9.24
1975-11-27,9.11
1975-12-25,9.09
1976-01-29,8.9
1976-02-26,8.75
1976-03-25,8.75
1976-04-29,8.75
1976-05-27,8.78
1976-06-24,8.9
1976-07-29,8.98
1976-08-26,9
1976-09-23,8.97
1976-10-28,8.9
1976-11-25,8.8
1976-12-30,8.78
1977-01-27,8.73
1977-02-24,8.65
1977-03-24,8.7
1977-04-28,8.78
1977-05-26,8.85
1977-06-23,8.88
1977-07-28,8.93
1977-08-25,8.93
1977-09-29,8.9
1977-10-27,8.9
1977-11-24,8.93
1977-12-29,9
1978-01-26,9.05
1978-02-23,9.15
1978-03-30,9.25
1978-04-27,9.43
1978-05-25,9.68
1978-06-29,9.73
1978-07-27,9.75
1978-08-24,9.8
1978-09-28,9.78
1978-10-26,9.88
1978-11-23,10.28
1978-12-28,10.38
1979-01-25,10.4
1979-02-22,10.4
1979-03-29,10.45
1979-04-26,10.53
1979-05-24,10.75
1979-06-28,11.1
1979-07-26,11.08
1979-08-30,11.13
1979-09-27,11.35
1979-10-25,12
1979-11-29,12.9
1979-12-27,12.9
1980-01-24,12.89
1980-02-28,13.59
1980-03-27,16.03
1980-04-24,16.25
1980-05-29,13.2
1980-06-26,12.35
1980-07-24,12.18
1980-08-28,12.95
1980-09-25,13.43
1980-10-30,14
1980-11-27,14.28
1980-12-25,14.95
1981-01-29,15.07
1981-02-26,15.3
1981-03-26,15.4
1981-04-23,15.77
1981-05-28,16.8
1981-06-25,16.62
1981-07-30,17.11
1981-08-27,17.48
1981-09-24,18.36
1981-10-29,18.44
1981-11-26,17.21
1981-12-30,17.04
1982-01-28,17.59
1982-02-25,17.52
1982-03-25,17.04
1982-04-29,16.81
1982-05-27,16.63
1982-06-24,16.73
1982-07-29,16.65
1982-08-26,15.88
1982-09-23,15.19
1982-10-28,14.15
1982-11-25,13.77
1982-12-30,13.57
1983-01-27,13.1
1983-02-24,12.98
1983-03-24,12.86
1983-04-28,12.73
1983-05-26,12.68
1983-06-23,12.96
1983-07-28,13.65
1983-08-25,13.78
1983-09-29,13.65
1983-10-27,13.43
1983-11-24,13.43
1983-12-29,13.43
1984-01-26,13.29
1984-02-23,13.25
1984-03-29,13.55
1984-04-26,13.73
1984-05-24,14.08
1984-06-28,14.5
1984-07-26,14.67
1984-08-30,14.38
1984-09-27,14.26
1984-10-25,14.05
1984-11-29,13.42
1984-12-27,13.14
1985-01-24,12.96
1985-02-21,12.94
1985-03-28,13.29
1985-04-25,13.12
1985-05-30,12.71
1985-06-27,12.15
1985-07-25,12.03
1985-08-29,12.11
1985-09-26,12.17
1985-10-24,12.07
1985-11-28,11.58
1985-12-26,11.09
1986-01-30,10.89
1986-02-27,10.51
1986-03-27,10.1
1986-04-24,9.86
1986-05-29,10.38
1986-06-26,10.62
1986-07-24,10.4
1986-08-28,9.93
1986-09-25,10.1
1986-10-30,9.89
1986-11-27,9.5
1986-12-25,9.29
1987-01-29,9.08
1987-02-26,9.07
1987-03-26,9.03
1987-04-23,10.37
1987-05-28,10.7
1987-06-25,10.35
1987-07-30,10.27
1987-08-27,10.33
1987-09-24,11.02
1987-10-29,10.97
1987-11-26,10.55
1987-12-30,10.61
1988-01-28,10.16
1988-02-25,9.87
1988-03-24,9.99
1988-04-28,10.28
1988-05-26,10.58
1988-06-23,10.4
1988-07-28,10.49
1988-08-25,10.67
1988-09-29,10.42
1988-10-27,10.22
1988-11-24,10.39
1988-12-29,10.77
1989-01-26,10.6
1989-02-23,10.78
1989-03-30,11.19
1989-04-27,11.03
1989-05-25,10.5
1989-06-29,10.07
1989-07-27,9.81
1989-08-24,10.21
1989-09-28,10.16
1989-10-26,9.82
1989-11-23,9.74
1989-12-28,9.78
1990-01-25,10.05
1990-02-22,10.31
1990-03-29,10.22
1990-04-26,10.56
1990-05-24,10.33
1990-06-28,10.15
1990-07-26,9.98
1990-08-30,10.24
1990-09-27,10.22
1990-10-25,10.17
1990-11-29,9.9
1990-12-27,9.68
1991-01-24,9.61
1991-02-21,9.29
1991-03-28,9.52
1991-04-25,9.53
1991-05-30,9.45
1991-06-27,9.67
1991-07-25,9.5
1991-08-29,9.15
1991-09-26,8.92
1991-10-24,8.91
1991-11-28,8.7
1991-12-26,8.35
1992-01-30,8.68
1992-02-27,8.83
1992-03-26,8.98
1992-04-23,8.85
1992-05-28,8.6
1992-06-25,8.43
1992-07-30,8.05
1992-08-27,8.01
1992-09-23,8.02
1992-10-29,8.21
1992-11-26,8.29
1992-12-30,8.14
1993-01-28,7.86
1993-02-25,7.53
1993-03-25,7.5
1993-04-29,7.43
1993-05-27,7.5
1993-06-24,7.34
1993-07-29,7.25
1993-08-26,6.97
1993-09-23,6.95
1993-10-28,6.86
1993-11-25,7.31
1993-12-30,7.13
1994-01-27,6.97
1994-02-24,7.32
1994-03-24,7.8
1994-04-28,8.32
1994-05-26,8.53
1994-06-23,8.46
1994-07-28,8.57
1994-08-25,8.56
1994-09-29,8.82
1994-10-27,9.03
1994-11-24,9.25
1994-12-29,9.18
1995-01-26,9.13
1995-02-23,8.73
1995-03-30,8.38
1995-04-27,8.26
1995-05-25,7.85
1995-06-29,7.53
1995-07-27,7.79
1995-08-24,7.88
1995-09-28,7.62
1995-10-26,7.45
1995-11-23,7.35
1995-12-28,7.11
1996-01-25,7
1996-02-22,7.32
1996-03-28,7.69
1996-04-25,7.92
1996-05-30,8.03
1996-06-27,8.29
1996-07-25,8.19
1996-08-29,8.09
1996-09-26,8.16
1996-10-24,7.86
1996-11-28,7.52
1996-12-26,7.64
1997-01-30,7.88
1997-02-27,7.65
1997-03-27,7.97
1997-04-24,8.08
1997-05-29,7.94
1997-06-26,7.58
1997-07-24,7.43
1997-08-28,7.58
1997-09-25,7.28
1997-10-30,7.21
1997-11-27,7.17
1997-12-25,6.99
1998-01-29,7.12
1998-02-27,7.09
1998-03-26,7.08
1998-04-23,7.15
1998-05-28,7.07
1998-06-25,6.96
1998-07-30,6.97
1998-08-27,6.92
1998-09-24,6.64
1998-10-29,6.83
1998-11-26,6.78
1998-12-30,6.83
1999-01-28,6.74
1999-02-25,6.89
1999-03-25,6.98
1999-04-29,6.93
1999-05-27,7.23
1999-06-24,7.63
1999-07-29,7.7
1999-08-26,7.8
1999-09-23,7.76
1999-10-28,7.96
1999-11-25,7.75
1999-12-30,8.06
2000-01-27,8.25
2000-02-24,8.31
2000-03-30,8.23
2000-04-27,8.13
2000-05-25,8.62
2000-06-29,8.22
2000-07-27,8.13
2000-08-24,7.99
2000-09-28,7.88
2000-10-26,7.68
2000-11-23,7.73
2000-12-28,7.13
2001-01-25,7.15
2001-02-22,7.12
2001-03-29,6.91
2001-04-26,7.12
2001-05-24,7.2
2001-06-28,7.11
2001-07-26,7.03
2001-08-30,6.92
2001-09-27,6.72
2001-10-25,6.64
2001-11-29,7.02
2001-12-27,7.16
2002-01-24,6.96
2002-02-21,6.81
2002-03-28,7.18
2002-04-25,6.88
2002-05-30,6.76
2002-06-27,6.55
2002-07-25,6.34
2002-08-29,6.22
2002-09-26,5.99
2002-10-24,6.31
2002-11-28,6.13
2002-12-26,5.93
2003-01-30,5.9
2003-02-27,5.79
2003-03-27,5.91
2003-04-24,5.79
2003-05-29,5.31
2003-06-26,5.24
2003-07-24,5.94
2003-08-28,6.32
2003-09-25,5.98
2003-10-30,5.94
2003-11-27,5.89
2003-12-30,5.85
2004-01-28,5.68
2004-02-25,5.58
2004-03-24,5.4
2004-04-28,6.01
2004-05-26,6.32
2004-06-23,6.25
2004-07-28,6.08
2004-08-25,5.82
2004-09-29,5.72
2004-10-27,5.64
2004-11-23,5.72
2004-12-28,5.81
2005-01-26,5.66
2005-02-23,5.69
2005-03-30,6.04
2005-04-27,5.78
2005-05-25,5.65
2005-06-29,5.53
2005-07-27,5.77
2005-08-24,5.77
2005-09-28,5.91
2005-10-26,6.15
2005-11-22,6.28
2005-12-28,6.22
2006-01-25,6.12
2006-02-22,6.26
2006-03-29,6.35
2006-04-26,6.58
2006-05-24,6.62
2006-06-28,6.78
2006-07-26,6.72
2006-08-30,6.44
2006-09-27,6.31
2006-10-25,6.4
2006-11-29,6.14
2006-12-27,6.18
2007-01-24,6.25
2007-02-21,6.22
2007-03-28,6.16
2007-04-25,6.16
2007-05-30,6.42
2007-06-27,6.67
2007-07-25,6.69
2007-08-29,6.45
2007-09-26,6.42
2007-10-24,6.33
2007-11-28,6.1
2007-12-26,6.17
2008-01-30,5.68
2008-02-27,6.24
2008-03-26,5.85
2008-04-23,6.03
2008-05-28,6.08
2008-06-25,6.45
2008-07-30,6.52
2008-08-27,6.4
2008-09-24,6.09
2008-10-29,6.46
2008-11-25,5.97
2008-12-30,5.1
2009-01-28,5.1
2009-02-25,5.07
2009-03-25,4.85
2009-04-29,4.78
2009-05-27,4.91
2009-06-24,5.42
2009-07-29,5.25
2009-08-26,5.14
2009-09-23,5.04
2009-10-28,5.03
2009-11-24,4.78
2009-12-30,5.14
2010-01-27,4.98
2010-02-24,5.05
2010-03-24,4.99
2010-04-28,5.06
2010-05-26,4.78
2010-06-23,4.69
2010-07-28,4.54
2010-08-25,4.36
2010-09-29,4.32
2010-10-27,4.23
2010-11-23,4.4
2010-12-29,4.86
2011-01-26,4.8
2011-02-23,4.95
2011-03-30,4.86
2011-04-27,4.78
2011-05-25,4.6
2011-06-29,4.51
2011-07-27,4.55
2011-08-24,4.22
2011-09-28,4.01
2011-10-26,4.1
2011-11-22,3.98
2011-12-28,3.95
2012-01-25,3.98
2012-02-22,3.95
2012-03-28,3.99
2012-04-25,3.88
2012-05-30,3.75
2012-06-27,3.66
2012-07-25,3.49
2012-08-29,3.59
2012-09-26,3.4
2012-10-24,3.41
2012-11-28,3.32
2012-12-26,3.35
2013-01-30,3.53
2013-02-27,3.51
2013-03-27,3.57
2013-04-24,3.4
2013-05-29,3.81
2013-06-26,4.46
2013-07-24,4.31
2013-08-28,4.51
2013-09-25,4.32
2013-10-30,4.1
2013-11-26,4.29
2013-12-25,4.48
2014-01-29,4.32
2014-02-26,4.37
2014-03-26,4.4
2014-04-23,4.33
2014-05-28,4.12
2014-06-25,4.14
2014-07-30,4.12
2014-08-27,4.1
2014-09-24,4.2
2014-10-29,3.98
2014-11-25,3.97
2014-12-30,3.87
2015-01-28,3.66
2015-02-25,3.8
2015-03-25,3.69
2015-04-29,3.68
2015-05-27,3.87
2015-06-24,4.02
2015-07-29,3.98
2015-08-26,3.84
2015-09-23,3.86
2015-10-28,3.76
2015-11-24,3.95
2015-12-30,4.01
2016-01-27,3.79
2016-02-24,3.62
2016-03-30,3.71
2016-04-27,3.66
2016-05-25,3.64
2016-06-29,3.48
2016-07-27,3.48
2016-08-24,3.43
2016-09-28,3.42
2016-10-26,3.47
2016-11-22,4.03
2016-12-28,4.32
2017-01-25,4.19
2017-02-22,4.16
2017-03-29,4.14
2017-04-26,4.03
2017-05-24,3.95
2017-06-28,3.88
2017-07-26,3.92
2017-08-30,3.82
2017-09-27,3.83
2017-10-25,3.94
2017-11-29,3.9
2017-12-27,3.99
2018-01-24,4.15
2018-02-21,4.4
2018-03-28,4.44
2018-04-25,4.58
2018-05-30,4.56
2018-06-27,4.55
2018-07-25,4.54
2018-08-29,4.52
2018-09-26,4.72
2018-10-24,4.86
2018-11-28,4.81
2018-12-26,4.55
2019-01-30,4.46
2019-02-27,4.35
2019-03-27,4.06
2019-04-24,4.2
2019-05-29,3.99
2019-06-26,3.73
2019-07-24,3.75
2019-08-28,3.58
2019-09-25,3.64
2019-10-30,3.78
2019-11-26,3.68
2019-12-25,3.74
2020-01-29,3.51
2020-02-26,3.45
2020-03-25,3.5
2020-04-29,3.23
2020-05-27,3.15
2020-06-24,3.13
2020-07-29,2.99
2020-08-26,2.91
2020-09-23,2.9
2020-10-28,2.81
2020-11-24,2.72
2020-12-30,2.67
2021-01-27,2.73
2021-02-24,2.97
2021-03-24,3.17
2021-04-28,2.98
2021-05-26,2.95
2021-06-23,3.02
2021-07-28,2.8
2021-08-25,2.87
2021-09-29,3.01
2021-10-27,3.14
2021-11-23,3.1
2021-12-29,3.11
2022-01-26,3.55
2022-02-23,3.89
2022-03-30,4.67
2022-04-27,5.1
2022-05-25,5.1
2022-06-29,5.7
2022-07-27,5.3
2022-08-24,5.55
2022-09-28,6.7
2022-10-26,7.08
2022-11-22,6.58
2022-12-28,6.42
2023-01-25,6.13
2023-02-22,6.5
2023-03-29,6.32
