date,value
1950-02-22,58.64
1951-10-22,59.71
1952-06-20,59.9
1953-04-18,60.95
1954-12-15,60.8
1955-08-13,60.64
1956-06-11,60.17
1957-02-08,59.23
1958-12-07,58.7
1959-08-05,58.08
1960-04-04,57.09
1961-01-31,56.33
1962-09-29,56.97
1963-05-28,57.38
1964-03-25,57.09
1965-11-22,56.97
1966-07-22,56.99
1967-05-20,56.93
1968-01-16,56.58
1969-09-14,56.6
1970-07-13,56.54
1971-03-12,56.26
1972-11-09,56.02
1973-03-29,55.8
1973-04-26,55.93
1973-05-23,56.58
1973-06-28,56.63
1973-07-26,59.56
1973-08-30,61.94
1973-09-27,63.16
1973-10-25,61.4
1973-11-29,60.08
1973-12-27,59.76
1974-01-24,58.97
1974-02-21,57.54
1974-03-28,56.75
1974-04-25,58.67
1974-05-30,59.93
1974-06-27,59.9
1974-07-25,61.51
1974-08-29,62.83
1974-09-26,63.94
1974-10-24,62.74
1974-11-28,60.88
1974-12-26,59.42
1975-01-30,57.52
1975-02-27,55.42
1975-03-27,54.23
1975-04-24,53.9
1975-05-29,53.9
1975-06-26,53.56
1975-07-24,52.91
1975-08-28,53.58
1975-09-25,54
1975-10-30,54.29
1975-11-27,53.14
1975-12-25,52.83
1976-01-29,51.63
1976-02-26,50.58
1976-03-25,50.49
1976-04-29,50.31
1976-05-27,50.13
1976-06-24,50.54
1976-07-29,50.73
1976-08-26,50.58
1976-09-23,50.23
1976-10-28,49.58
1976-11-25,48.94
1976-12-30,48.66
1977-01-27,48.14
1977-02-24,47.21
1977-03-24,47.16
1977-04-28,47.2
1977-05-26,47.34
1977-06-23,47.19
1977-07-28,47.22
1977-08-25,47.07
1977-09-29,46.76
1977-10-27,46.6
1977-11-24,46.53
1977-12-29,46.75
1978-01-26,46.71
1978-02-23,46.92
1978-03-30,47.06
1978-04-27,47.6
1978-05-25,48.41
1978-06-29,48.14
1978-07-27,47.87
1978-08-24,47.9
1978-09-28,47.44
1978-10-26,47.49
1978-11-23,49.2
1978-12-28,49.46
1979-01-25,49.12
1979-02-22,48.55
1979-03-29,48.29
1979-04-26,48.11
1979-05-24,48.5
1979-06-28,49.52
1979-07-26,48.89
1979-08-30,48.65
1979-09-27,49.08
1979-10-25,51.47
1979-11-29,54.82
1979-12-27,54.25
1980-01-24,53.44
1980-02-28,55.56
1980-03-27,64.55
1980-04-24,64.71
1980-05-29,52.05
1980-06-26,48.17
1980-07-24,47.51
1980-08-28,50.15
1980-09-25,51.57
1980-10-30,53.25
1980-11-27,53.87
1980-12-25,55.88
1981-01-29,55.87
1981-02-26,56.15
1981-03-26,56.13
1981-04-23,57.09
1981-05-28,60.35
1981-06-25,59.17
1981-07-30,60.25
1981-08-27,61.09
1981-09-24,63.54
1981-10-29,63.68
1981-11-26,59.25
1981-12-30,58.47
1982-01-28,60.17
1982-02-25,59.74
1982-03-25,58.16
1982-04-29,57.14
1982-05-27,55.99
1982-06-24,55.63
1982-07-29,55.08
1982-08-26,52.43
1982-09-23,50.05
1982-10-28,46.48
1982-11-25,45.32
1982-12-30,44.85
1983-01-27,43.21
1983-02-24,42.77
1983-03-24,42.37
1983-04-28,41.65
1983-05-26,41.23
1983-06-23,42.01
1983-07-28,44.07
1983-08-25,44.36
1983-09-29,43.72
1983-10-27,42.89
1983-11-24,42.81
1983-12-29,42.76
1984-01-26,42.07
1984-02-23,41.74
1984-03-29,42.6
1984-04-26,42.96
1984-05-24,43.92
1984-06-28,45.1
1984-07-26,45.46
1984-08-30,44.39
1984-09-27,43.81
1984-10-25,43.04
1984-11-29,41.11
1984-12-27,40.25
1985-01-24,39.62
1985-02-21,39.38
1985-03-28,40.29
1985-04-25,39.59
1985-05-30,38.21
1985-06-27,36.42
1985-07-25,36
1985-08-29,36.17
1985-09-26,36.25
1985-10-24,35.82
1985-11-28,34.27
1985-12-26,32.73
1986-01-30,32.05
1986-02-27,31.02
1986-03-27,29.94
1986-04-24,29.29
1986-05-29,30.75
1986-06-26,31.28
1986-07-24,30.64
1986-08-28,29.2
1986-09-25,29.56
1986-10-30,28.92
1986-11-27,27.76
1986-12-25,27.12
1987-01-29,26.34
1987-02-26,26.22
1987-03-26,25.98
1987-04-23,29.68
1987-05-28,30.52
1987-06-25,29.41
1987-07-30,29.11
1987-08-27,29.13
1987-09-24,30.91
1987-10-29,30.69
1987-11-26,29.49
1987-12-30,29.66
1988-01-28,28.33
1988-02-25,27.45
1988-03-24,27.66
1988-04-28,28.32
1988-05-26,29.04
1988-06-23,28.43
1988-07-28,28.55
1988-08-25,28.92
1988-09-29,28.06
1988-10-27,27.43
1988-11-24,27.86
1988-12-29,28.83
1989-01-26,28.23
1989-02-23,28.6
1989-03-30,29.51
1989-04-27,28.9
1989-05-25,27.36
1989-06-29,26.17
1989-07-27,25.44
1989-08-24,26.43
1989-09-28,26.22
1989-10-26,25.22
1989-11-23,24.95
1989-12-28,25.02
1990-01-25,25.45
1990-02-22,25.98
1990-03-29,25.61
1990-04-26,26.43
1990-05-24,25.79
1990-06-28,25.2
1990-07-26,24.69
1990-08-30,25.1
1990-09-27,24.84
1990-10-25,24.57
1990-11-29,23.87
1990-12-27,23.34
1991-01-24,23.03
1991-02-21,22.23
1991-03-28,22.75
1991-04-25,22.74
1991-05-30,22.48
1991-06-27,22.94
1991-07-25,22.5
1991-08-29,21.61
1991-09-26,20.97
1991-10-24,20.92
1991-11-28,20.36
1991-12-26,19.53
1992-01-30,20.27
1992-02-27,20.55
1992-03-26,20.79
1992-04-23,20.46
1992-05-28,19.86
1992-06-25,19.4
1992-07-30,18.48
1992-08-27,18.34
1992-09-23,18.31
1992-10-29,18.68
1992-11-26,18.83
1992-12-30,18.5
1993-01-28,17.78
1993-02-25,16.97
1993-03-25,16.85
1993-04-29,16.64
1993-05-27,16.78
1993-06-24,16.4
1993-07-29,16.2
1993-08-26,15.53
1993-09-23,15.45
1993-10-28,15.19
1993-11-25,16.17
1993-12-30,15.77
1994-01-27,15.38
1994-02-24,16.1
1994-03-24,17.09
1994-04-28,18.21
1994-05-26,18.65
1994-06-23,18.44
1994-07-28,18.63
1994-08-25,18.53
1994-09-29,19.04
1994-10-27,19.48
1994-11-24,19.93
1994-12-29,19.78
1995-01-26,19.59
1995-02-23,18.66
1995-03-30,17.85
1995-04-27,17.54
1995-05-25,16.64
1995-06-29,15.93
1995-07-27,16.48
1995-08-24,16.62
1995-09-28,16.04
1995-10-26,15.63
1995-11-23,15.44
1995-12-28,14.94
1996-01-25,14.62
1996-02-22,15.24
1996-03-28,15.93
1996-04-25,16.34
1996-05-30,16.54
1996-06-27,17.06
1996-07-25,16.83
1996-08-29,16.59
1996-09-26,16.68
1996-10-24,16.02
1996-11-28,15.29
1996-12-26,15.54
1997-01-30,15.98
1997-02-27,15.46
1997-03-27,16.07
1997-04-24,16.27
1997-05-29,16
1997-06-26,15.25
1997-07-24,14.93
1997-08-28,15.21
1997-09-25,14.57
1997-10-30,14.39
1997-11-27,14.32
1997-12-25,13.98
1998-01-29,14.21
1998-02-27,14.13
1998-03-26,14.08
1998-04-23,14.19
1998-05-28,14.01
1998-06-25,13.77
1998-07-30,13.78
1998-08-27,13.66
1998-09-24,13.09
1998-10-29,13.43
1998-11-26,13.34
1998-12-30,13.44
1999-01-28,13.23
1999-02-25,13.51
1999-03-25,13.65
1999-04-29,13.45
1999-05-27,14.03
1999-06-24,14.81
1999-07-29,14.9
1999-08-26,15.06
1999-09-23,14.91
1999-10-28,15.27
1999-11-25,14.85
1999-12-30,15.45
2000-01-27,15.76
2000-02-24,15.79
2000-03-30,15.51
2000-04-27,15.31
2000-05-25,16.21
2000-06-29,15.38
2000-07-27,15.18
2000-08-24,14.91
2000-09-28,14.63
2000-10-26,14.24
2000-11-23,14.32
2000-12-28,13.22
2001-01-25,13.17
2001-02-22,13.06
2001-03-29,12.65
2001-04-26,12.98
2001-05-24,13.07
2001-06-28,12.88
2001-07-26,12.78
2001-08-30,12.58
2001-09-27,12.16
2001-10-25,12.05
2001-11-29,12.76
2001-12-27,13.07
2002-01-24,12.68
2002-02-21,12.35
2002-03-28,12.95
2002-04-25,12.34
2002-05-30,12.13
2002-06-27,11.74
2002-07-25,11.36
2002-08-29,11.1
2002-09-26,10.67
2002-10-24,11.23
2002-11-28,10.91
2002-12-26,10.57
2003-01-30,10.47
2003-02-27,10.2
2003-03-27,10.35
2003-04-24,10.16
2003-05-29,9.33
2003-06-26,9.2
2003-07-24,10.42
2003-08-28,11.04
2003-09-25,10.42
2003-10-30,10.36
2003-11-27,10.3
2003-12-30,10.24
2004-01-28,9.89
2004-02-25,9.67
2004-03-24,9.29
2004-04-28,10.31
2004-05-26,10.78
2004-06-23,10.63
2004-07-28,10.35
2004-08-25,9.91
2004-09-29,9.72
2004-10-27,9.53
2004-11-23,9.66
2004-12-28,9.85
2005-01-26,9.57
2005-02-23,9.57
2005-03-30,10.08
2005-04-27,9.58
2005-05-25,9.37
2005-06-29,9.17
2005-07-27,9.52
2005-08-24,9.48
2005-09-28,9.59
2005-10-26,9.96
2005-11-22,10.25
2005-12-28,10.19
2006-01-25,9.95
2006-02-22,10.16
2006-03-29,10.25
2006-04-26,10.53
2006-05-24,10.54
2006-06-28,10.78
2006-07-26,10.65
2006-08-30,10.19
2006-09-27,10.03
2006-10-25,10.23
2006-11-29,9.83
2006-12-27,9.88
2007-01-24,9.96
2007-02-21,9.86
2007-03-28,9.68
2007-04-25,9.61
2007-05-30,9.96
2007-06-27,10.33
2007-07-25,10.36
2007-08-29,10.01
2007-09-26,9.93
2007-10-24,9.77
2007-11-28,9.36
2007-12-26,9.48
2008-01-30,8.68
2008-02-27,9.51
2008-03-26,8.84
2008-04-23,9.05
2008-05-28,9.05
2008-06-25,9.51
2008-07-30,9.56
2008-08-27,9.42
2008-09-24,8.98
2008-10-29,9.62
2008-11-25,9.07
2008-12-30,7.83
2009-01-28,7.79
2009-02-25,7.71
2009-03-25,7.35
2009-04-29,7.23
2009-05-27,7.41
2009-06-24,8.11
2009-07-29,7.86
2009-08-26,7.68
2009-09-23,7.53
2009-10-28,7.51
2009-11-24,7.13
2009-12-30,7.68
2010-01-27,7.41
2010-02-24,7.52
2010-03-24,7.4
2010-04-28,7.49
2010-05-26,7.07
2010-06-23,6.94
2010-07-28,6.72
2010-08-25,6.44
2010-09-29,6.38
2010-10-27,6.24
2010-11-23,6.49
2010-12-29,7.15
2011-01-26,7.03
2011-02-23,7.21
2011-03-30,7.02
2011-04-27,6.86
2011-05-25,6.57
2011-06-29,6.44
2011-07-27,6.5
2011-08-24,6.01
2011-09-28,5.7
2011-10-26,5.84
2011-11-22,5.67
2011-12-28,5.65
2012-01-25,5.66
2012-02-22,5.6
2012-03-28,5.61
2012-04-25,5.44
2012-05-30,5.26
2012-06-27,5.14
2012-07-25,4.91
2012-08-29,5.03
2012-09-26,4.74
2012-10-24,4.76
2012-11-28,4.65
2012-12-26,4.71
2013-01-30,4.94
2013-02-27,4.88
2013-03-27,4.95
2013-04-24,4.72
2013-05-29,5.28
2013-06-26,6.16
2013-07-24,5.95
2013-08-28,6.22
2013-09-25,5.95
2013-10-30,5.66
2013-11-26,5.94
2013-12-25,6.2
2014-01-29,5.96
2014-02-26,6
2014-03-26,6.01
2014-04-23,5.89
2014-05-28,5.59
2014-06-25,5.6
2014-07-30,5.58
2014-08-27,5.56
2014-09-24,5.69
2014-10-29,5.41
2014-11-25,5.42
2014-12-30,5.32
2015-01-28,5.05
2015-02-25,5.22
2015-03-25,5.04
2015-04-29,5.02
2015-05-27,5.25
2015-06-24,5.43
2015-07-29,5.38
2015-08-26,5.2
