date,value
1986-12-30,0.86
1987-12-30,1.41
1988-12-30,1.31
1989-12-30,1.18
1990-12-30,0.79
1991-12-30,0.61
1992-12-30,0.4
1993-12-30,0.31
1994-12-30,0.5
1995-12-30,0.55
1996-12-30,0.51
1997-12-30,0.68
1998-12-30,0.79
1999-12-30,0.77
2000-12-30,0.71
2001-12-30,0.38
2002-12-30,0.19
2003-12-30,0.21
2004-12-30,0.25
2005-12-30,0.41
2006-12-30,0.47
2007-12-30,0.94
2008-12-30,1.55
2009-12-30,0.54
2010-12-30,0.21
2011-12-30,0.28
2012-12-30,0.34
2013-12-30,0.21
2014-12-30,0.2
2015-12-30,0.26
2016-12-30,0.43
2017-12-30,0.33
2018-12-30,0.37
2019-12-30,0.27
2020-12-30,0.29
2021-12-30,0.12
2022-12-30,0.11
