date,value
1987-12-30,128.57
1988-12-30,-31.25
1989-12-30,-31.4
1990-12-30,37.35
1991-12-30,-67.54
1992-12-30,-2.7
1993-12-30,2.78
1994-12-30,162.16
1995-12-30,-30.93
1996-12-30,-26.87
1997-12-30,20.41
1998-12-30,18.64
1999-12-30,32.86
2000-12-30,-27.96
2001-12-30,-74.63
2002-12-30,5.88
2003-12-30,22.22
2004-12-30,72.73
2005-12-30,44.74
2006-12-30,-14.55
2007-12-30,200
2008-12-30,-6.38
2009-12-30,-85.61
2010-12-30,-5.26
2011-12-30,211.11
2012-12-30,-53.57
2013-12-30,-30.77
2014-12-30,22.22
2015-12-30,104.55
2016-12-30,11.11
2017-12-30,-36
2018-12-30,28.13
2019-12-30,-9.76
2020-12-30,-59.46
2021-12-30,0
2022-12-30,-40
