date,value
1976-12-30,12.97
1977-12-30,14.49
1978-12-30,14.97
1979-12-30,13.77
1980-12-30,11.19
1981-12-30,10.56
1982-12-30,10.36
1983-12-30,12.12
1984-12-30,14.2
1985-12-30,15.44
1986-12-30,16.05
1987-12-30,14.86
1988-12-30,15.44
1989-12-30,14.53
1990-12-30,13.86
1991-12-30,12.31
1992-12-30,12.86
1993-12-30,13.87
1994-12-30,15.04
1995-12-30,14.73
1996-12-30,15.1
1997-12-30,15.12
1998-12-30,15.54
1999-12-30,16.89
2000-12-30,17.35
2001-12-30,17.12
2002-12-30,16.82
2003-12-30,16.64
2004-12-30,16.87
2005-12-30,16.95
2006-12-30,16.5
2007-12-30,16.09
2008-12-30,13.2
2009-12-30,10.4
2010-12-30,11.55
2011-12-30,12.74
2012-12-30,14.43
2013-12-30,15.53
2014-12-30,16.45
2015-12-30,17.41
2016-12-30,17.48
2017-12-30,17.15
2018-12-30,17.22
2019-12-30,16.96
2020-12-30,14.47
2021-12-30,14.95
2022-12-30,13.75
2023-12-30,15.5
2024-12-30,15.86
2025-12-30,16.19
