date,value
1975-12-31,72.59
1976-01-31,75.4
1976-02-29,75.5
1976-03-31,74.26
1976-04-30,72.19
1976-05-31,72.28
1976-06-30,74.13
1976-07-31,70.77
1976-08-31,73.97
1976-09-30,69.84
1976-10-31,72.33
1976-11-30,78.68
1976-12-31,77.3
1977-01-31,78.24
1977-02-28,80.14
1977-03-31,79.31
1977-04-30,78.13
1977-05-31,77.43
1977-06-30,75.65
1977-07-31,76.36
1977-08-31,74.99
1977-09-30,75.99
1977-10-31,75.02
1977-11-30,76.82
1977-12-31,68.82
1978-01-31,71.64
1978-02-28,74.86
1978-03-31,79.54
1978-04-30,79.16
1978-05-31,78.5
1978-06-30,74.07
1978-07-31,76.61
1978-08-31,68.85
1978-09-30,73.99
1978-10-31,71.86
1978-11-30,70.7
1978-12-31,69.07
1979-01-31,69.35
1979-02-28,68.57
1979-03-31,65.35
1979-04-30,63.01
1979-05-31,55.16
1979-06-30,60.51
1979-07-31,61.19
1979-08-31,60.33
1979-09-30,54.62
1979-10-31,53.83
1979-11-30,55.5
1979-12-31,58.52
1980-01-31,53.01
1980-02-29,47.51
1980-03-31,40.61
1980-04-30,36.71
1980-05-31,39.71
1980-06-30,44.39
1980-07-31,42.05
1980-08-31,40.79
1980-09-30,42.4
1980-10-31,41.55
1980-11-30,40.06
1980-12-31,40.92
1981-01-31,44.46
1981-02-28,44.41
1981-03-31,36.97
1981-04-30,36.41
1981-05-31,36.33
1981-06-30,35.94
1981-07-31,43.53
1981-08-31,37.6
1981-09-30,31.8
1981-10-31,31.99
1981-11-30,30.37
1981-12-31,34.46
1982-01-31,36.57
1982-02-28,35.69
1982-03-31,32.43
1982-04-30,36.7
1982-05-31,31.32
1982-06-30,31.71
1982-07-31,32.29
1982-08-31,36.1
1982-09-30,32.78
1982-10-31,39.06
1982-11-30,36.6
1982-12-31,35.25
1983-01-31,34.4
1983-02-28,35.69
1983-03-31,37.64
1983-04-30,38.58
1983-05-31,41.45
1983-06-30,41.11
1983-07-31,38.78
1983-08-31,39.26
1983-09-30,41.85
1983-10-31,41.11
1983-11-30,45.46
1983-12-31,44.31
1984-01-31,44.51
1984-02-29,43.91
1984-03-31,44.09
1984-04-30,45.45
1984-05-31,44.77
1984-06-30,44.79
1984-07-31,43.23
1984-08-31,41.97
1984-09-30,43.93
1984-10-31,44.25
1984-11-30,43.82
1984-12-31,46.67
1985-01-31,46.96
1985-02-28,45.62
1985-03-31,45.94
1985-04-30,45.9
1985-05-31,44.37
1985-06-30,45.55
1985-07-31,49.68
1985-08-31,56.02
1985-09-30,41.21
1985-10-31,42.42
1985-11-30,45.41
1985-12-31,46.44
1986-01-31,44.64
1986-02-28,41.21
1986-03-31,46.27
1986-04-30,47.5
1986-05-31,46.06
1986-06-30,45.57
1986-07-31,50.02
1986-08-31,62.11
1986-09-30,42.45
1986-10-31,42.5
1986-11-30,51.91
1986-12-31,35.26
1987-01-31,42.86
1987-02-28,43.21
1987-03-31,43.41
1987-04-30,40.74
1987-05-31,43.6
1987-06-30,43.57
1987-07-31,47.33
1987-08-31,44.37
1987-09-30,39.1
1987-10-31,39.77
1987-11-30,42.92
1987-12-31,43.97
1988-01-31,44.97
1988-02-29,43.88
1988-03-31,41.87
1988-04-30,42.84
1988-05-31,42.44
1988-06-30,41.85
1988-07-31,40.87
1988-08-31,39.61
1988-09-30,39.76
1988-10-31,40.32
1988-11-30,43.09
1988-12-31,40
1989-01-31,38.91
