date,value
1972-01-03,10.4
1973-12-30,9.43
1974-12-30,10.54
1975-12-30,14.81
1976-12-30,13.95
1977-12-30,14.03
1978-12-30,12.74
1979-12-30,12.34
1980-12-30,14.29
1981-12-30,15.63
1982-12-30,18.91
1983-12-30,19.5
1984-12-30,15.93
1985-12-30,15.09
1986-12-30,14.56
1987-12-30,12.97
1988-12-30,11.71
1989-12-30,11.47
1990-12-30,11.41
1991-12-30,12.49
1992-12-30,14.2
1993-12-30,12.95
1994-12-30,11.49
1995-12-30,10.38
1996-12-30,10.51
1997-12-30,10.06
1998-12-30,8.92
1999-12-30,8
2000-12-30,7.59
2001-12-30,8.65
2002-12-30,10.24
2003-12-30,10.78
2004-12-30,10.38
2005-12-30,9.98
2006-12-30,8.95
2007-12-30,8.26
2008-12-30,10.1
2009-12-30,14.78
2010-12-30,15.96
2011-12-30,15.83
2012-12-30,13.83
2013-12-30,13.07
2014-12-30,11.34
2015-12-30,9.56
2016-12-30,8.43
2017-12-30,7.47
2018-12-30,6.48
2019-12-30,6.07
2020-12-30,11.57
2021-12-30,8.56
2022-12-30,6.11
2023-12-30,5.53
2024-12-30,5.97
2025-12-30,6.8
