date,value
-94694400000,89.3902
-92016000000,87.975
-89596800000,87.0835
-86918400000,87.5089
-84326400000,86.3566
-81648000000,85.9603
-79056000000,85.3833
-76377600000,86.6339
-73699200000,86.1122
-71107200000,86.4325
-68428800000,87.2856
-65836800000,87.8417
-63158400000,87.3848
0053-06-18,87.3505
0132-11-11,87.2771
0217-09-27,87.0597
0299-11-16,87.6912
0384-10-01,87.6698
0466-11-20,87.1949
0551-10-06,87.0994
0636-08-21,87.0919
0718-10-11,86.9292
0803-08-26,87.7164
0885-10-14,87.6575
0970-08-30,87.8611
1055-07-16,88.1058
1132-03-14,88.4785
1217-01-27,87.8384
1299-03-18,87.195
1384-02-01,87.7348
1466-03-23,87.8864
1551-02-06,87.7781
1800-12-22,87.4506
1801-02-10,87.1703
1802-12-27,86.0477
1885-02-14,85.5187
1969-12-31,83.658
2054-11-15,83.3417
2055-07-15,82.9738
2056-05-30,82.5031
2057-07-19,82.1514
2058-06-04,81.6327
2059-07-23,81.5808
2060-06-08,81.1851
2061-04-24,80.3785
2062-06-13,78.53
2063-04-28,77.8167
2064-06-16,79.3621
2065-05-02,79.7493
2066-03-18,79.395
2067-11-15,79.1076
2068-09-30,79.3504
2069-11-18,79.5515
2070-10-04,79.6838
2071-11-23,79.2527
2072-10-09,78.595
1954-08-24,79.6725
1955-10-13,80.0684
1956-08-29,80.208
1957-10-18,80.9324
1958-09-02,82.6617
1959-07-18,83.3036
1960-12-11,83.6835
1961-10-27,84.3072
1962-12-16,84.1065
1963-10-31,84.1147
1964-12-20,83.8181
1965-11-05,84.7411
1966-09-20,85.1601
1967-11-10,86.0048
1968-09-25,86.7608
1969-11-13,87.4648
1970-09-29,87.8201
1971-08-15,88.7918
1972-04-13,88.5335
1973-03-31,88.1132
1973-04-30,88.3877
1973-05-31,88.1945
1973-06-30,88.216
1973-07-31,87.793
1973-08-31,88.1943
1973-09-30,88.6136
1973-10-31,88.732
1973-11-30,88.2077
1973-12-31,87.3558
1974-01-31,86.8371
1974-02-28,86.5891
1974-03-31,86.1068
1974-04-30,86.5741
1974-05-31,86.1998
1974-06-30,86.1758
1974-07-31,85.0768
1974-08-31,84.9128
1974-09-30,84.4745
1974-10-31,81.5419
1974-11-30,78.4687
1974-12-31,77.2476
1975-01-31,75.358
1975-02-28,74.4065
1975-03-31,74.4307
1975-04-30,74.0959
1975-05-31,74.4461
1975-06-30,75.1022
1975-07-31,75.7189
1975-08-31,76.5718
1975-09-30,76.773
1975-10-31,76.744
1975-11-30,77.6451
1975-12-31,78.5312
1976-01-31,79.1705
1976-02-29,79.174
1976-03-31,79.4214
1976-04-30,79.5834
1976-05-31,79.4974
1976-06-30,79.7719
1976-07-31,80.1388
1976-08-31,80.2183
1976-09-30,80.012
1976-10-31,81.0488
1976-11-30,81.719
1976-12-31,80.9557
1977-01-31,82.0259
1977-02-28,82.8357
1977-03-31,83.4184
1977-04-30,83.8383
1977-05-31,84.2431
1977-06-30,84.1164
1977-07-31,83.9516
1977-08-31,84.0465
1977-09-30,83.9313
1977-10-31,83.8462
1977-11-30,83.7459
1977-12-31,82.2914
1978-01-31,82.5033
1978-02-28,83.8599
1978-03-31,85.2903
1978-04-30,85.4734
1978-05-31,85.7913
1978-06-30,85.4956
1978-07-31,85.6075
1978-08-31,85.5854
1978-09-30,86.0076
1978-10-31,86.4334
1978-11-30,86.6336
1978-12-31,85.9296
1979-01-31,86.1169
1979-02-28,86.1486
1979-03-31,84.9029
1979-04-30,85.4247
1979-05-31,85.2142
1979-06-30,84.861
1979-07-31,84.1027
1979-08-31,83.9007
1979-09-30,84.2922
1979-10-31,83.9769
1979-11-30,83.8639
1979-12-31,84.1462
1980-01-31,84.02
1980-02-29,83.516
1980-03-31,81.7161
1980-04-30,79.5737
1980-05-31,78.4079
1980-06-30,77.7106
1980-07-31,77.8165
1980-08-31,78.9666
1980-09-30,79.8138
1980-10-31,80.9797
1980-11-30,81.3443
1980-12-31,80.6568
1981-01-31,80.1474
1981-02-28,80.3697
1981-03-31,79.8469
1981-04-30,80.1126
1981-05-31,80.3378
1981-06-30,80.6666
1981-07-31,80.3719
1981-08-31,79.7957
1981-09-30,78.9918
1981-10-31,77.892
1981-11-30,76.8713
1981-12-31,75.129
1982-01-31,76.4962
1982-02-28,75.821
1982-03-31,74.9732
1982-04-30,74.3382
1982-05-31,74.0174
1982-06-30,73.6498
1982-07-31,72.8767
1982-08-31,72.596
1982-09-30,71.8246
1982-10-31,71.5313
1982-11-30,70.9671
1982-12-31,72.2371
1983-01-31,71.7603
1983-02-28,72.3279
1983-03-31,73.2201
1983-04-30,73.6506
1983-05-31,74.0776
1983-06-30,75.1574
1983-07-31,76.0182
1983-08-31,77.0799
1983-09-30,77.6273
1983-10-31,77.9119
1983-11-30,78.221
1983-12-31,79.6824
1984-01-31,79.9369
1984-02-29,80.1983
1984-03-31,80.5448
1984-04-30,80.8277
1984-05-31,80.9628
1984-06-30,81.02
1984-07-31,80.9418
1984-08-31,80.5325
1984-09-30,80.3146
1984-10-31,80.3938
1984-11-30,80.242
1984-12-31,80.0074
1985-01-31,80.0484
1985-02-28,79.9728
1985-03-31,79.6074
1985-04-30,79.5562
1985-05-31,79.3321
1985-06-30,78.7591
1985-07-31,78.8441
1985-08-31,78.975
1985-09-30,78.5461
1985-10-31,78.6751
1985-11-30,79.3194
1985-12-31,79.6087
1986-01-31,78.9467
1986-02-28,78.2817
1986-03-31,78.2697
1986-04-30,78.3224
1986-05-31,77.9238
1986-06-30,78.3151
1986-07-31,78.0871
1986-08-31,78.204
1986-09-30,78.4345
1986-10-31,78.6327
1986-11-30,79.2674
1986-12-31,78.8411
1987-01-31,79.7613
1987-02-28,79.732
1987-03-31,80.1127
1987-04-30,80.4695
1987-05-31,80.7548
1987-06-30,81.1593
1987-07-31,81.6305
1987-08-31,81.8226
1987-09-30,82.8037
1987-10-31,83.1057
1987-11-30,83.4671
1987-12-31,83.3646
1988-01-31,83.7161
1988-02-29,83.8432
1988-03-31,84.2967
1988-04-30,84.084
1988-05-31,84.288
1988-06-30,84.2603
1988-07-31,84.6355
1988-08-31,84.308
1988-09-30,84.6144
1988-10-31,84.7506
1988-11-30,85.0433
1988-12-31,85.1871
1989-01-31,84.6881
1989-02-28,84.7698
1989-03-31,84.59
1989-04-30,83.9611
1989-05-31,83.784
1989-06-30,82.7913
1989-07-31,83.4055
1989-08-31,82.9302
1989-09-30,82.6235
1989-10-31,82.6971
1989-11-30,82.9629
1989-12-31,82.328
1990-01-31,82.8759
1990-02-28,83.0757
1990-03-31,82.7018
1990-04-30,82.7671
1990-05-31,82.8785
1990-06-30,82.5834
1990-07-31,82.737
1990-08-31,82.6219
1990-09-30,81.9938
1990-10-31,80.8637
1990-11-30,80.2062
1990-12-31,79.8532
1991-01-31,79.1938
1991-02-28,78.6775
1991-03-31,78.813
1991-04-30,79.5366
1991-05-31,80.1091
1991-06-30,80.2553
1991-07-31,80.1865
1991-08-31,80.7568
1991-09-30,80.5727
1991-10-31,80.3561
1991-11-30,79.8698
1991-12-31,79.3038
1992-01-31,79.7133
1992-02-29,80.2192
1992-03-31,80.6613
1992-04-30,80.7461
1992-05-31,80.6077
1992-06-30,81.1531
1992-07-31,80.5215
1992-08-31,80.6052
1992-09-30,80.9878
1992-10-31,81.1373
1992-11-30,81.1101
1992-12-31,81.2846
1993-01-31,81.5417
1993-02-28,81.3332
1993-03-31,81.4361
1993-04-30,81.0138
1993-05-31,81.0769
1993-06-30,81.1612
1993-07-31,80.9411
1993-08-31,81.2154
1993-09-30,81.6695
1993-10-31,81.8847
1993-11-30,82.1813
1993-12-31,82.2458
1994-01-31,82.0964
1994-02-28,82.7001
1994-03-31,82.9607
1994-04-30,83.1048
1994-05-31,83.409
1994-06-30,83.2543
1994-07-31,83.5424
1994-08-31,83.5225
1994-09-30,83.9295
1994-10-31,84.2193
1994-11-30,84.7763
1994-12-31,84.6624
1995-01-31,84.2817
1995-02-28,84.1264
1995-03-31,83.7001
1995-04-30,83.8228
1995-05-31,83.8038
1995-06-30,83.1565
1995-07-31,83.9385
1995-08-31,83.9436
1995-09-30,83.4711
1995-10-31,83.3377
1995-11-30,83.2653
1995-12-31,82.4552
1996-01-31,83.2784
1996-02-29,82.7819
1996-03-31,83.2259
1996-04-30,83.4707
1996-05-31,83.7026
1996-06-30,83.3175
1996-07-31,83.3523
1996-08-31,83.4837
1996-09-30,83.0746
1996-10-31,83.4158
1996-11-30,83.5292
1996-12-31,83.2734
1997-01-31,83.8357
1997-02-28,83.9386
1997-03-31,83.5773
1997-04-30,83.6033
1997-05-31,83.5281
1997-06-30,83.75
1997-07-31,84.0989
1997-08-31,84.3562
1997-09-30,84.5733
1997-10-31,84.6992
1997-11-30,84.5069
1997-12-31,84.3255
1998-01-31,83.9236
1998-02-28,83.4139
1998-03-31,83.1697
1998-04-30,83.1957
1998-05-31,82.2129
1998-06-30,81.4369
1998-07-31,82.6826
1998-08-31,82.1974
1998-09-30,82.3679
1998-10-31,81.9145
1998-11-30,81.8823
1998-12-31,81.8698
1999-01-31,82.0031
1999-02-28,81.8486
1999-03-31,81.7151
1999-04-30,81.9082
1999-05-31,81.5543
1999-06-30,81.7388
1999-07-31,81.8026
1999-08-31,81.1741
1999-09-30,81.9218
1999-10-31,82.0702
1999-11-30,82.4391
1999-12-31,82.0932
2000-01-31,82.0943
2000-02-29,82.134
2000-03-31,82.3741
2000-04-30,82.335
2000-05-31,82.1191
2000-06-30,81.7036
2000-07-31,81.2193
2000-08-31,81.2955
2000-09-30,80.7298
2000-10-31,80.4815
2000-11-30,79.9449
2000-12-31,79.2915
2001-01-31,78.5159
2001-02-28,78.0741
2001-03-31,77.561
2001-04-30,76.9249
2001-05-31,76.3013
2001-06-30,75.6377
2001-07-31,75.3826
2001-08-31,74.7982
2001-09-30,74.4059
2001-10-31,73.8179
2001-11-30,73.6523
2001-12-31,74.042
2002-01-31,73.9315
2002-02-28,74.401
2002-03-31,74.683
2002-04-30,74.948
2002-05-31,75.5244
2002-06-30,75.4765
2002-07-31,75.39
2002-08-31,75.4643
2002-09-30,75.2771
2002-10-31,75.7113
2002-11-30,75.3192
2002-12-31,75.9737
2003-01-31,76.0964
2003-02-28,75.9158
2003-03-31,75.471
2003-04-30,75.4753
2003-05-31,75.6024
2003-06-30,76.0121
2003-07-31,75.865
2003-08-31,76.3685
2003-09-30,76.4833
2003-10-31,77.0141
2003-11-30,77.0642
2003-12-31,77.2041
2004-01-31,77.6963
2004-02-29,77.4077
2004-03-31,77.7236
2004-04-30,78.3145
2004-05-31,77.724
2004-06-30,78.305
2004-07-31,78.3738
2004-08-31,78.4547
2004-09-30,79.1352
2004-10-31,79.3
2004-11-30,79.8779
2004-12-31,80.1076
2005-01-31,80.6185
2005-02-28,80.4254
2005-03-31,80.5049
2005-04-30,80.4835
2005-05-31,80.7304
2005-06-30,80.3636
2005-07-31,80.5144
2005-08-31,78.8408
2005-09-30,79.6882
2005-10-31,80.4459
2005-11-30,80.7149
2005-12-31,80.7219
2006-01-31,80.6346
2006-02-28,80.693
2006-03-31,80.8033
2006-04-30,80.6874
2006-05-31,80.8131
2006-06-30,80.6047
2006-07-31,80.7869
2006-08-31,80.4643
2006-09-30,80.1979
2006-10-31,79.9873
2006-11-30,80.6149
2006-12-31,80.1358
2007-01-31,80.7193
2007-02-28,80.6791
2007-03-31,81.0476
2007-04-30,80.9347
2007-05-31,80.8222
2007-06-30,80.5906
2007-07-31,80.6774
2007-08-31,80.8326
2007-09-30,80.5829
2007-10-31,81.0492
2007-11-30,81.1309
2007-12-31,81.0828
2008-01-31,80.8474
2008-02-29,80.6547
2008-03-31,80.1636
2008-04-30,79.7148
2008-05-31,79.5288
2008-06-30,79.1573
2008-07-31,77.8633
2008-08-31,74.3831
2008-09-30,75.0459
2008-10-31,73.9671
2008-11-30,71.7765
2008-12-31,69.8882
2009-01-31,69.3805
2009-02-28,68.2145
2009-03-31,67.6067
2009-04-30,66.8861
2009-05-31,66.6446
2009-06-30,67.4381
2009-07-31,68.2152
2009-08-31,68.8533
2009-09-30,69.0873
2009-10-31,69.468
2009-11-30,69.823
2009-12-31,70.7084
2010-01-31,71.1021
2010-02-28,71.7572
2010-03-31,72.1775
2010-04-30,73.3305
2010-05-31,73.6492
2010-06-30,74.0764
2010-07-31,74.479
2010-08-31,74.8001
2010-09-30,74.6921
2010-10-31,74.8191
2010-11-30,75.6199
2010-12-31,75.4919
2011-01-31,75.1957
2011-02-28,75.9692
2011-03-31,75.6918
2011-04-30,75.7389
2011-05-31,75.8967
2011-06-30,76.1727
2011-07-31,76.557
2011-08-31,76.3854
2011-09-30,76.7959
2011-10-31,76.6551
2011-11-30,76.9204
