date,value
-94694400000,876.41
-92016000000,862.53
-89596800000,851.2
-86918400000,852.78
-84326400000,839.01
-81648000000,832.66
-79056000000,824.59
-76377600000,834.17
-73699200000,826.68
-71107200000,827.29
-68428800000,832.99
-65836800000,835.82
-63158400000,826.6
0053-06-18,823.86
0132-11-11,820.76
0217-09-27,816.34
0299-11-16,819.88
0384-10-01,814.95
0466-11-20,805.89
0551-10-06,802.71
0636-08-21,800.35
0718-10-11,794.33
0803-08-26,799.26
0885-10-14,796.48
0970-08-30,796.08
1055-07-16,793.84
1132-03-14,790.57
1217-01-27,780.53
1299-03-18,772.68
1384-02-01,773.22
1466-03-23,770.35
1551-02-06,765.24
1800-12-22,760.33
1801-02-10,753.83
1802-12-27,740.15
1885-02-14,731.7
1969-12-31,713.88
2054-11-15,707.44
2055-07-15,700.63
2056-05-30,691.23
2057-07-19,686.5
2058-06-04,678.65
2059-07-23,674.74
2060-06-08,671.47
2061-04-24,661.4
2062-06-13,642.91
2063-04-28,633.85
2064-06-16,643.19
2065-05-02,646.33
2066-03-18,641.85
2067-11-15,637.93
2068-09-30,638.29
2069-11-18,636.73
2070-10-04,633.08
2071-11-23,628.1
2072-10-09,621.36
1954-08-24,629.88
1955-10-13,631.47
1956-08-29,632.57
1957-10-18,635.17
1958-09-02,648.75
1959-07-18,650.62
1960-12-11,652.01
1961-10-27,655.28
1962-12-16,652.15
1963-10-31,650.65
1964-12-20,645.26
1965-11-05,650.81
1966-09-20,652.48
1967-11-10,655.83
1968-09-25,660.04
1969-11-13,663.83
1970-09-29,664.96
1971-08-15,667.62
1972-04-13,659.53
1973-03-31,651.88
1973-04-30,649.44
1973-05-31,643.62
1973-06-30,642.33
1973-07-31,627.91
1973-08-31,629.38
1973-09-30,626.83
1973-10-31,623.56
1973-11-30,615.85
1973-12-31,604.67
1974-01-31,593.44
1974-02-28,584.32
1974-03-31,578.64
1974-04-30,574.6
1974-05-31,567.44
1974-06-30,562.69
1974-07-31,548.85
1974-08-31,541.3
1974-09-30,533.23
1974-10-31,510.72
1974-11-30,487.69
1974-12-31,478.25
1975-01-31,463
1975-02-28,455.42
1975-03-31,453.85
1975-04-30,449.26
1975-05-31,448.01
1975-06-30,446.96
1975-07-31,449.8
1975-08-31,452.36
1975-09-30,451.07
1975-10-31,447.64
1975-11-30,451.27
1975-12-31,455.6
1976-01-31,457.66
1976-02-29,456.86
1976-03-31,456.65
1976-04-30,454.35
1976-05-31,451.46
1976-06-30,450.64
1976-07-31,450.34
1976-08-31,449.22
1976-09-30,445.75
1976-10-31,450.74
1976-11-30,452.91
1976-12-31,446.38
1977-01-31,447.69
1977-02-28,449.07
1977-03-31,448.46
1977-04-30,448.47
1977-05-31,447.67
1977-06-30,444.8
1977-07-31,442.48
1977-08-31,441.53
1977-09-30,439.5
1977-10-31,436.92
1977-11-30,434.99
1977-12-31,424.7
1978-01-31,423.09
1978-02-28,426.66
1978-03-31,430.54
1978-04-30,427.45
1978-05-31,424.43
1978-06-30,419.75
1978-07-31,418.39
1978-08-31,415.14
1978-09-30,413.45
1978-10-31,413.65
1978-11-30,412.77
1978-12-31,405.82
1979-01-31,402
1979-02-28,398.11
1979-03-31,387.91
1979-04-30,385.38
1979-05-31,380.18
1979-06-30,374.46
1979-07-31,367.59
1979-08-31,362.78
1979-09-30,361.56
1979-10-31,356.89
1979-11-30,352.69
1979-12-31,348.87
1980-01-31,343.49
1980-02-29,336.32
1980-03-31,325.41
1980-04-30,313.78
1980-05-31,305.82
1980-06-30,303.1
1980-07-31,301.33
1980-08-31,303.23
1980-09-30,303.59
1980-10-31,305.51
1980-11-30,304.04
1980-12-31,299.04
1981-01-31,294.11
1981-02-28,292.93
1981-03-31,289.06
1981-04-30,287.76
1981-05-31,286.02
1981-06-30,284.06
1981-07-31,280.88
1981-08-31,276.17
1981-09-30,272.8
1981-10-31,268.14
1981-11-30,263.78
1981-12-31,256.98
1982-01-31,260.83
1982-02-28,258.8
1982-03-31,254.83
1982-04-30,250.3
1982-05-31,246.14
1982-06-30,243.66
1982-07-31,240.61
1982-08-31,239.19
1982-09-30,235.92
1982-10-31,235.44
1982-11-30,234.54
1982-12-31,238.25
1983-01-31,236.44
1983-02-28,238.31
