date,value
1965-12-30,1202532.26
1966-12-04,1087396.83
1967-04-06,1091409.84
1968-08-06,1849873.02
1971-12-07,2149968.25
1972-01-03,1837951.61
1973-12-30,1626306.45
1974-12-30,2289206.35
1975-12-30,3961672.13
1976-12-30,2975365.08
1977-12-30,2639682.54
1978-12-30,2339096.77
1979-12-30,2425016.13
1980-12-30,3379548.39
1981-12-30,3038301.59
1982-12-30,4094571.43
1983-12-30,3326126.98
1984-12-30,2450419.35
1985-12-30,2585603.17
1986-12-30,2632836.07
1987-12-30,2273571.43
1988-12-30,2076750
1989-12-30,2175741.94
1990-12-30,2533532.26
1991-12-30,3338984.13
1992-12-30,3206887.1
1993-12-30,2766238.1
1994-12-30,2665904.76
1995-12-30,2590258.06
1996-12-30,2551587.3
1997-12-30,2300950.82
1998-12-30,2215523.81
1999-12-30,2182365.08
2000-12-30,2115806.45
2001-12-30,3007209.68
2002-12-30,3569746.03
2003-12-30,3538491.8
2004-12-30,2926063.49
2005-12-30,2655873.02
2006-12-30,2456677.42
2007-12-30,2546080.65
2008-12-30,3341919.35
2009-12-30,5809555.56
2010-12-30,4533460.32
2011-12-30,3738333.33
2012-12-30,3319516.13
2013-12-30,2976523.81
2014-12-30,2592163.93
2015-12-30,2266714.29
2016-12-30,2132359.38
2017-12-30,1958161.29
2018-12-30,1754258.06
2019-12-30,1687015.87
2020-12-30,10502709.68
2021-12-30,3197666.67
2022-12-30,1473888.89
2023-12-30,1746693.55
2024-12-30,1831730.16
2025-12-30,1909392.16
