date,value
1966-12-04,-4.37
1967-04-06,16.85
1968-08-06,64.65
1971-12-07,-5.12
1972-01-03,-18.36
1973-12-30,8.54
1974-12-30,88.14
1975-12-30,-9.54
1976-12-30,-8.14
1977-12-30,-12.79
1978-12-30,-6.99
1979-12-30,19.05
1980-12-30,15.08
1981-12-30,15.94
1982-12-30,20.49
1983-12-30,-39.65
1984-12-30,-4.08
1985-12-30,2.84
1986-12-30,-1.65
1987-12-30,-16.57
1988-12-30,-2.24
1989-12-30,10.04
1990-12-30,27.63
1991-12-30,13.68
1992-12-30,-16.17
1993-12-30,-2.86
1994-12-30,-8.13
1995-12-30,2.36
1996-12-30,-2.38
1997-12-30,-8.25
1998-12-30,-1.09
1999-12-30,-7.24
2000-12-30,13.13
2001-12-30,46.09
2002-12-30,-0.35
2003-12-30,-5.89
2004-12-30,-14.95
2005-12-30,-4.01
2006-12-30,-7.71
2007-12-30,12.42
2008-12-30,69.53
2009-12-30,6.58
2010-12-30,-18.03
2011-12-30,-12.77
2012-12-30,-12.31
2013-12-30,-10.23
2014-12-30,-13.72
2015-12-30,-8.88
2016-12-30,-8.11
2017-12-30,-4.68
2018-12-30,-7.76
2019-12-30,3.37
2020-12-30,181.12
2021-12-30,-67.09
2022-12-30,-7.04
2023-12-30,10.54
2024-12-30,6.79
2025-12-30,-1.76
