date,value
1845-12-30,1103000
1846-12-30,1199000
1847-12-30,1268000
1848-12-30,1286000
1849-12-30,1253000
1850-12-30,1220000
1851-12-30,1280000
1852-12-30,1180000
1853-12-30,1157000
1854-12-30,1161000
1855-12-30,1142000
1856-12-30,1167000
1857-10-10,1157000
1858-06-08,1165000
1859-04-06,1119000
1860-12-03,1087000
1861-08-02,1073000
1862-05-30,1038000
1863-01-27,1036000
1864-11-25,1064000
1865-07-25,1048000
1866-03-23,1033000
1867-01-18,1056000
1868-09-17,1116000
1869-05-16,1077000
1870-01-13,1092000
1871-11-10,1041000
1872-07-09,992000
1873-05-07,988000
1874-01-04,1021000
1875-09-03,1110000
1876-07-01,1074000
1877-02-28,1086000
1878-10-27,1136000
1879-08-25,1211000
1956-04-23,1304000
2052-02-19,1385000
2053-10-18,1430000
2054-06-17,1537000
2055-02-13,1748000
2056-12-12,1807000
2057-08-10,1866000
2058-04-09,1918000
2059-02-05,2005000
2060-10-05,2092000
2061-08-02,2233000
2062-03-30,2292000
2063-11-27,2147000
2064-09-25,2086000
2065-05-25,2081000
2066-01-21,2157000
2067-09-19,2127000
2068-07-18,2171000
2069-03-17,2172000
2070-01-13,2150000
1954-09-11,2188000
1955-05-10,2233000
1956-03-07,2194000
1957-11-04,2111000
1958-07-04,2037000
1959-05-01,1921000
1960-12-29,1903000
1961-08-27,1877000
1962-06-25,1870000
1963-02-22,1871000
1964-10-21,1871000
1965-08-19,1928000
1966-04-17,1792000
1967-02-14,1763000
1968-10-12,1750000
1969-06-10,1743000
1970-04-08,1663000
1971-12-06,1601000
1972-08-05,1582000
1973-03-30,1547000
1973-04-27,1551000
1973-05-25,1567000
1973-06-29,1571000
1973-07-27,1603000
1973-08-24,1675000
1973-09-28,1658000
1973-10-26,1675000
1973-11-23,1755000
1973-12-28,1805000
1974-01-25,1950000
1974-02-22,2027000
1974-03-29,2062000
1974-04-26,2045000
1974-05-24,2057000
1974-06-28,2074000
1974-07-26,2097000
1974-08-30,2211000
1974-09-27,2306000
1974-10-25,2520000
1974-11-29,3086000
1974-12-27,3396000
1975-01-24,3708000
1975-02-21,3969000
1975-03-28,4310000
1975-04-25,4520000
1975-05-30,4637000
1975-06-27,4090000
1975-07-25,4075000
1975-08-29,3854000
1975-09-26,3851000
1975-10-24,3662000
1975-11-28,3391000
1975-12-26,3072000
1976-01-30,2895000
1976-02-27,2822000
1976-03-26,2830000
1976-04-23,2900000
1976-05-28,2916000
1976-06-25,3035000
1976-07-30,2996000
1976-08-27,3081000
1976-09-24,3103000
1976-10-29,3080000
1976-11-26,3019000
1976-12-24,2822000
1977-01-28,2879000
1977-02-25,2764000
1977-03-25,2671000
1977-04-29,2644000
1977-05-27,2625000
1977-06-24,2616000
1977-07-29,2605000
1977-08-26,2607000
1977-09-23,2581000
1977-10-28,2587000
1977-11-25,2620000
1977-12-30,2461000
1978-01-27,2578000
1978-02-24,2553000
1978-03-24,2473000
1978-04-28,2272000
1978-05-26,2211000
1978-06-23,2249000
1978-07-28,2344000
1978-08-25,2370000
1978-09-29,2217000
1978-10-27,2222000
1978-11-24,2349000
1978-12-29,2289000
1979-01-26,2393000
