date,value
1993-12-30,5.94
1994-12-30,14.17
1995-12-30,7.08
1996-12-30,-0.58
1997-12-30,7.05
1998-12-30,2.68
1999-12-30,10.04
2000-12-30,-3.91
2001-12-30,-12.38
2002-12-30,-0.81
2003-12-30,10.7
2004-12-30,6.65
2005-12-30,14.42
2006-12-30,3.5
2007-12-30,6.63
2008-12-30,-28.88
2009-12-30,-7.67
2010-12-30,20.52
2011-12-30,15.71
2012-12-30,3.28
2013-12-30,3.16
2014-12-30,-5.61
2015-12-30,-3.35
2016-12-30,0.9
2017-12-30,10.11
2018-12-30,0.7
2019-12-30,-8.68
2020-12-30,8.8
2021-12-30,14.75
2022-12-30,5.72
2023-12-30,3.74
2024-12-30,-4.52
2025-12-30,7.97
