date,value
1992-01-31,114535
1992-02-29,120025
1992-03-31,124470
1992-04-30,125822
1992-05-31,122834
1992-06-30,122590
1992-07-31,120411
1992-08-31,120711
1992-09-30,127392
1992-10-31,122374
1992-11-30,126080
1992-12-31,121637
1993-01-31,128854
1993-02-28,126762
1993-03-31,127395
1993-04-30,126529
1993-05-31,130212
1993-06-30,128111
1993-07-31,129378
1993-08-31,127233
1993-09-30,133168
1993-10-31,130391
1993-11-30,133565
1993-12-31,138498
1994-01-31,137141
1994-02-28,136548
1994-03-31,140336
1994-04-30,142630
1994-05-31,145063
1994-06-30,145013
1994-07-31,145884
1994-08-31,145487
1994-09-30,149547
1994-10-31,150038
1994-11-30,152489
1994-12-31,150459
1995-01-31,153856
1995-02-28,152888
1995-03-31,151401
1995-04-30,152838
1995-05-31,150051
1995-06-30,148915
1995-07-31,154372
1995-08-31,160175
1995-09-30,155473
1995-10-31,156146
1995-11-30,163279
1995-12-31,155806
1996-01-31,150773
1996-02-29,164976
1996-03-31,156830
1996-04-30,164502
1996-05-31,164599
1996-06-30,163588
1996-07-31,157310
1996-08-31,165442
1996-09-30,165266
1996-10-31,170783
1996-11-30,162332
1996-12-31,161827
1997-01-31,170221
1997-02-28,167568
1997-03-31,174054
1997-04-30,168586
1997-05-31,174828
1997-06-30,178860
1997-07-31,177302
1997-08-31,177835
1997-09-30,177801
1997-10-31,191187
1997-11-30,173770
1997-12-31,174288
1998-01-31,181270
1998-02-28,176886
1998-03-31,180915
1998-04-30,180634
1998-05-31,172189
1998-06-30,170459
1998-07-31,179033
1998-08-31,181422
1998-09-30,178527
1998-10-31,182400
1998-11-30,178424
1998-12-31,186527
1999-01-31,185546
1999-02-28,184689
1999-03-31,182993
1999-04-30,185963
1999-05-31,182590
1999-06-30,189083
1999-07-31,189414
1999-08-31,188910
1999-09-30,194547
1999-10-31,186597
1999-11-30,196344
1999-12-31,201360
2000-01-31,183911
2000-02-29,192130
2000-03-31,195044
2000-04-30,188606
2000-05-31,219745
2000-06-30,189265
2000-07-31,188730
2000-08-31,199947
2000-09-30,186158
2000-10-31,189392
2000-11-30,188659
2000-12-31,177056
2001-01-31,180276
2001-02-28,182209
2001-03-31,171850
2001-04-30,177749
2001-05-31,176350
2001-06-30,170129
2001-07-31,170484
2001-08-31,164123
2001-09-30,171530
2001-10-31,163811
2001-11-30,165304
2001-12-31,163324
2002-01-31,172406
2002-02-28,167853
2002-03-31,171852
2002-04-30,171854
2002-05-31,166070
2002-06-30,174282
2002-07-31,177126
2002-08-31,166838
2002-09-30,169134
2002-10-31,170023
2002-11-30,163962
2002-12-31,169994
2003-01-31,174113
2003-02-28,172245
2003-03-31,169347
2003-04-30,171542
2003-05-31,173507
2003-06-30,173320
2003-07-31,173044
2003-08-31,178690
2003-09-30,183704
2003-10-31,181685
2003-11-30,181513
2003-12-31,178696
2004-01-31,181662
2004-02-29,190869
2004-03-31,184368
2004-04-30,183459
2004-05-31,185640
2004-06-30,186835
2004-07-31,183728
2004-08-31,188444
2004-09-30,185187
2004-10-31,192545
2004-11-30,193578
2004-12-31,194875
2005-01-31,196475
2005-02-28,186608
2005-03-31,194847
2005-04-30,206623
2005-05-31,210020
2005-06-30,194475
2005-07-31,204839
