date,value
1920-12-30,-17.8
1921-12-30,-1.27
1922-12-30,42.58
1923-12-30,-2.71
1924-12-30,2.79
1925-12-30,9.96
1926-12-30,2.47
1927-12-30,-4.82
1928-12-30,16.03
1929-12-30,-5.82
1930-12-30,-20.85
1931-12-30,-15.61
1932-12-30,-12.14
1933-12-30,19.08
1934-12-30,10.5
1935-12-30,23.5
1936-12-30,21.46
1937-12-30,-24.67
1938-12-30,15.93
1939-12-30,22.52
1940-12-30,13.08
1941-12-30,21.21
1942-12-30,19.77
1943-12-30,15.94
1944-12-30,0.49
1945-12-30,-27.04
1946-12-30,12.05
1947-12-30,5.58
1948-12-30,0.19
1949-12-30,-3.58
1950-12-30,24.22
1951-12-30,0.16
1952-12-30,11.62
1953-12-30,-4.78
1954-12-30,3.54
1955-12-30,13.12
1956-12-30,3.4
1957-12-30,-6.83
1958-12-30,5.37
1959-12-30,8.82
1960-12-30,-6.16
1961-12-30,12.53
1962-12-30,3.46
1963-12-30,6.9
1964-12-30,8.9
1965-12-30,9.69
1966-12-30,6.55
1965-12-30,3.69
1966-12-04,4.59
1967-04-06,1.81
1968-08-06,-3.68
1971-12-07,5.14
1972-01-03,11.57
1973-12-30,4.96
1974-12-30,-8.46
1975-12-30,0.94
1976-12-30,7.99
1977-12-30,5.96
1978-12-30,6.91
1979-12-30,-0.26
1980-12-30,-0.8
1981-12-30,-2.83
1982-12-30,-5.9
1983-12-30,10.89
1984-12-30,4.96
1985-12-30,1.47
1986-12-30,1.54
1987-12-30,7.32
1988-12-30,2.75
1989-12-30,-0.04
1990-12-30,-1.08
1991-12-30,0.84
1992-12-30,4.13
1993-12-30,3.41
1994-12-30,6.87
1995-12-30,2.58
1996-12-30,6.05
1997-12-30,8.28
1998-12-30,3.67
1999-12-30,5.32
2000-12-30,0.95
2001-12-30,-4.87
2002-12-30,2.89
2003-12-30,1.97
2004-12-30,3.65
2005-12-30,2.54
2006-12-30,2.18
2007-12-30,2.16
2008-12-30,-11.39
2009-12-30,-2.63
2010-12-30,6.06
2011-12-30,2.77
2012-12-30,2.09
2013-12-30,2.23
2014-12-30,3.23
2015-12-30,-4.51
2016-12-30,0.09
2017-12-30,2.47
2018-12-30,2.52
2019-12-30,-2.02
2020-12-30,-3.67
2021-12-30,3.05
2022-12-30,0.62
2023-12-30,-1.2
2024-12-30,-0.27
2025-12-30,1.1
