date,value
2003-01-30,2.13
2003-02-27,2.13
2003-03-30,1.95
2003-04-29,2.01
2003-05-29,1.94
2003-06-29,1.83
2003-07-30,2.41
2003-08-28,2.33
2003-09-29,2.16
2003-10-30,2.74
2003-11-27,2.6
2003-12-30,2.51
2004-01-29,2.46
2004-02-26,2.38
2004-03-30,2.47
2004-04-29,2.5
2004-05-27,2.77
2004-06-29,2.61
2004-07-29,2.57
2004-08-30,2.43
2004-09-29,2.41
2004-10-28,2.35
2004-11-29,2.46
2004-12-30,2.48
2005-01-30,2.4
2005-02-27,2.5
2005-03-30,2.55
2005-04-28,2.47
2005-05-30,2.27
2005-06-29,2.23
2005-07-28,2.4
2005-08-30,2.3
2005-09-29,2.4
2005-10-30,2.5
2005-11-29,2.39
2005-12-29,2.36
2006-01-30,2.48
2006-02-27,2.38
2006-03-30,2.44
2006-04-27,2.69
2006-05-30,2.6
2006-06-29,2.59
2006-07-30,2.62
2006-08-30,2.56
2006-09-28,2.49
2006-10-30,2.44
2006-11-29,2.36
2006-12-28,2.34
2007-01-30,2.44
2007-02-27,2.32
2007-03-29,2.37
2007-04-29,2.41
2007-05-30,2.39
2007-06-28,2.43
2007-07-30,2.51
2007-08-30,2.43
2007-09-27,2.53
2007-10-30,2.42
2007-11-29,2.44
2007-12-30,2.35
2008-01-30,2.53
2008-02-28,2.56
2008-03-30,2.49
2008-04-29,2.28
2008-05-29,2.56
2008-06-29,2.39
2008-07-30,2.52
2008-08-28,2.41
2008-09-29,2.23
2008-10-30,2.73
2008-11-27,2.97
2008-12-30,0.48
2009-01-29,1.91
2009-02-26,1.34
2009-03-30,1.83
2009-04-29,2.12
2009-05-28,2.24
2009-06-29,2.16
2009-07-30,2.3
2009-08-30,2.16
2009-09-29,2.13
2009-10-29,2.39
2009-11-29,2.41
2009-12-30,2.61
2010-01-28,2.75
2010-02-25,2.43
2010-03-30,2.65
2010-04-29,2.79
2010-05-27,2.29
2010-06-29,2.1
2010-07-29,2.17
2010-08-30,1.85
2010-09-29,2.26
2010-10-28,2.78
2010-11-29,2.6
2010-12-30,2.77
2011-01-30,2.72
2011-02-27,2.63
2011-03-30,2.75
2011-04-28,2.69
2011-05-30,2.5
2011-06-29,2.83
2011-07-28,2.81
2011-08-30,2.38
2011-09-29,2
2011-10-30,2.3
2011-11-29,2.34
2011-12-29,2.33
2012-01-30,2.34
2012-02-28,2.53
2012-03-29,2.62
2012-04-29,2.44
2012-05-30,2.46
2012-06-28,2.54
2012-07-30,2.57
2012-08-30,2.55
2012-09-27,2.73
2012-10-30,2.88
2012-11-29,2.81
2012-12-30,2.81
2013-01-30,2.85
2013-02-27,2.88
2013-03-27,2.78
2013-04-29,2.62
2013-05-30,2.55
2013-06-27,2.22
2013-07-30,2.57
2013-08-29,2.42
2013-09-29,2.64
2013-10-30,2.6
2013-11-28,2.61
2013-12-30,2.79
2014-01-30,2.56
2014-02-27,2.55
2014-03-30,2.56
2014-04-29,2.4
2014-05-29,2.51
2014-06-29,2.52
2014-07-30,2.61
2014-08-28,2.48
2014-09-29,2.38
2014-10-30,2.31
2014-11-27,2.19
2014-12-30,2.09
2015-01-29,2.01
2015-02-26,2.17
2015-03-30,2.01
2015-04-29,2.16
2015-05-28,2.03
2015-06-29,2.13
2015-07-30,2.12
2015-08-30,2
2015-09-29,1.75
2015-10-29,1.86
2015-11-29,1.88
2015-12-30,1.77
2016-01-28,1.63
2016-02-28,1.61
2016-03-30,1.75
2016-04-28,1.82
2016-05-30,1.61
2016-06-29,1.42
2016-07-28,1.67
2016-08-30,1.67
2016-09-29,1.75
2016-10-30,1.87
2016-11-29,2.11
2016-12-29,2.06
2017-01-30,2.16
2017-02-27,2.15
2017-03-30,2.17
2017-04-27,2.03
2017-05-30,1.9
2017-06-29,1.83
2017-07-30,1.97
2017-08-30,1.94
2017-09-28,2
2017-10-30,1.97
2017-11-29,1.99
2017-12-28,2.06
2018-01-30,2.24
2018-02-27,2.2
2018-03-28,2.18
2018-04-29,2.24
2018-05-30,2.11
2018-06-28,2.16
2018-07-30,2.24
2018-08-30,2.18
2018-09-27,2.25
2018-10-30,2.2
2018-11-29,2.17
2018-12-30,1.91
2019-01-30,2
2019-02-27,2.06
2019-03-28,1.98
2019-04-29,2.05
2019-05-30,1.9
2019-06-27,1.85
2019-07-30,1.96
2019-08-29,1.75
2019-09-29,1.71
2019-10-30,1.64
2019-11-28,1.72
2019-12-30,1.86
2020-01-30,1.7
2020-02-27,1.49
2020-03-30,1.25
2020-04-29,1.42
2020-05-28,1.47
2020-06-29,1.52
2020-07-30,1.7
2020-08-30,1.91
2020-09-29,1.76
2020-10-29,1.81
2020-11-29,1.86
2020-12-30,2.03
2021-01-28,2.05
2021-02-25,1.91
2021-03-30,2.2
2021-04-29,2.25
2021-05-27,2.27
2021-06-29,2.17
2021-07-29,2.24
2021-08-30,2.18
2021-09-29,2.23
2021-10-28,2.13
2021-11-29,2.2
2021-12-30,2.25
2022-01-30,2.06
2022-02-27,2.13
2022-03-30,2.34
2022-04-28,2.46
2022-05-30,2.32
2022-06-29,2.08
2022-07-28,2.33
2022-08-30,2.38
2022-09-29,2.16
2022-10-30,2.37
2022-11-29,2.27
2022-12-29,2.27
2023-01-30,2.21
2023-02-27,2.28
2023-03-30,2.24
2023-04-27,2.16
2023-05-30,2.29
2023-06-29,2.26
2023-07-30,2.47
