date,value
1965-12-30,225338.71
1966-12-04,197206.35
1967-04-06,196393.44
1968-08-06,297206.35
1971-12-07,294714.29
1972-01-03,261612.9
1973-12-30,242338.71
1974-12-30,353349.21
1975-12-30,471901.64
1976-12-30,382507.94
1977-12-30,372714.29
1978-12-30,340983.87
1979-12-30,381564.52
1980-12-30,490241.94
1981-12-30,452841.27
1982-12-30,587190.48
1983-12-30,440126.98
1984-12-30,373709.68
1985-12-30,391698.41
1986-12-30,377065.57
1987-12-30,324873.02
1988-12-30,310031.25
1989-12-30,330048.39
1990-12-30,384080.65
1991-12-30,447936.51
1992-12-30,409629.03
1993-12-30,343507.94
1994-12-30,338873.02
1995-12-30,358177.42
1996-12-30,351888.89
1997-12-30,321442.62
1998-12-30,317809.52
1999-12-30,296714.29
2000-12-30,300112.9
2001-12-30,406225.81
2002-12-30,404603.17
2003-12-30,402442.62
2004-12-30,342492.06
2005-12-30,330063.49
2006-12-30,312790.32
2007-12-30,320290.32
2008-12-30,418532.26
2009-12-30,574714.29
2010-12-30,458968.25
2011-12-30,408587.3
2012-12-30,374209.68
2013-12-30,342666.67
2014-12-30,308065.57
2015-12-30,277603.17
2016-12-30,262265.63
2017-12-30,244129.03
2018-12-30,219725.81
2019-12-30,217634.92
2020-12-30,1413419.35
2021-12-30,459952.38
2022-12-30,213031.75
2023-12-30,222112.9
2024-12-30,222904.76
2025-12-30,227096.15
