date,value
1966-12-04,3.24
1967-04-06,0
1968-08-06,43.95
1971-12-07,-23.99
1972-01-03,-7.79
1973-12-30,33.33
1974-12-30,79
1975-12-30,-27.19
1976-12-30,-14.83
1977-12-30,9.31
1978-12-30,-1.65
1979-12-30,19.55
1980-12-30,-6.78
1981-12-30,39.35
1982-12-30,-12.05
1983-12-30,-23.93
1984-12-30,1.88
1985-12-30,2.9
1986-12-30,-11.54
1987-12-30,-8.41
1988-12-30,-3.8
1989-12-30,17.76
1990-12-30,26.82
1991-12-30,-2.86
1992-12-30,-29.02
1993-12-30,-7.35
1994-12-30,10
1995-12-30,12.54
1996-12-30,-0.56
1997-12-30,-15.13
1998-12-30,10.89
1999-12-30,-20.24
2000-12-30,31.72
2001-12-30,19.26
2002-12-30,-2.85
2003-12-30,-14.67
2004-12-30,-8.31
2005-12-30,-5.63
2006-12-30,12.91
2007-12-30,5.57
2008-12-30,48.06
2009-12-30,-12.2
2010-12-30,-13.68
2011-12-30,-6.93
2012-12-30,-3.72
2013-12-30,-8.29
2014-12-30,-14.16
2015-12-30,-3.16
2016-12-30,-11.59
2017-12-30,1.64
2018-12-30,-4.03
2019-12-30,-2.94
2020-12-30,234.63
2021-12-30,-72.06
2022-12-30,-5.56
2023-12-30,-2.94
2024-12-30,5.56
2025-12-30,12.92
