date,value
1966-12-04,-7.21
1967-04-06,10.15
1968-08-06,39.25
1971-12-07,-10.78
1972-01-03,-9.71
1973-12-30,18.05
1974-12-30,80.07
1975-12-30,-28.58
1976-12-30,-0.13
1977-12-30,-4.28
1978-12-30,-2.1
1979-12-30,23.13
1980-12-30,-4.93
1981-12-30,34.39
1982-12-30,-4.95
1983-12-30,-29.4
1984-12-30,3.25
1985-12-30,0.92
1986-12-30,-7.01
1987-12-30,-11.03
1988-12-30,-8.39
1989-12-30,22.6
1990-12-30,27.37
1991-12-30,0.16
1992-12-30,-25.78
1993-12-30,-4.72
1994-12-30,0
1995-12-30,12.38
1996-12-30,-2.62
1997-12-30,-11.39
1998-12-30,0.88
1999-12-30,-11.87
2000-12-30,24.96
2001-12-30,16.31
2002-12-30,2.35
2003-12-30,-13.52
2004-12-30,-9.21
2005-12-30,-3.07
2006-12-30,2.54
2007-12-30,8.04
2008-12-30,61.49
2009-12-30,-13.92
2010-12-30,-13.44
2011-12-30,-10.89
2012-12-30,-5.21
2013-12-30,-2.54
2014-12-30,-17.77
2015-12-30,-4.75
2016-12-30,-6.55
2017-12-30,-4.05
2018-12-30,-8.33
2019-12-30,5.95
2020-12-30,254.56
2021-12-30,-74.16
2022-12-30,-3.93
2023-12-30,-1.2
2024-12-30,8.28
2025-12-30,-2.47
