date,value
1845-12-30,209000
1846-12-30,229000
1847-12-30,260750
1848-12-30,264000
1849-12-30,235750
1850-12-30,232000
1851-12-30,232500
1852-12-30,212750
1853-12-30,216000
1854-12-30,216750
1855-12-30,206250
1856-12-30,215000
1857-10-10,215750
1858-06-08,210750
1859-04-06,196500
1860-12-03,199000
1861-08-02,199000
1862-05-30,192250
1863-01-27,196250
1864-11-25,197750
1865-07-25,191000
1866-03-23,186000
1867-01-18,184000
1868-09-17,199500
1869-05-16,191500
1870-01-13,196000
1871-11-10,186000
1872-07-09,184000
1873-05-07,182250
1874-01-04,192000
1875-09-03,208750
1876-07-01,199000
1877-02-28,194750
1878-10-27,199250
1879-08-25,206750
1956-04-23,219750
2052-02-19,251250
2053-10-18,258500
2054-06-17,268250
2055-02-13,325250
2056-12-12,304500
2057-08-10,296500
2058-04-09,286500
2059-02-05,291500
2060-10-05,318500
2061-08-02,329500
2062-03-30,325250
2063-11-27,306000
2064-09-25,297750
2065-05-25,284000
2066-01-21,293750
2067-09-19,287500
2068-07-18,292750
2069-03-17,296500
2070-01-13,297250
1954-09-11,325250
1955-05-10,320250
1956-03-07,297250
1957-11-04,287000
1958-07-04,273000
1959-05-01,269250
1960-12-29,263500
1961-08-27,262750
1962-06-25,264250
1963-02-22,267750
1964-10-21,273250
1965-08-19,284500
1966-04-17,253500
1967-02-14,255750
1968-10-12,251000
1969-06-10,250750
1970-04-08,246500
1971-12-06,228500
1972-08-05,222000
1973-03-30,227750
1973-04-27,239000
1973-05-25,240250
1973-06-29,240500
1973-07-27,242750
1973-08-24,258250
1973-09-28,248000
1973-10-26,241500
1973-11-23,253750
1973-12-28,291000
1974-01-25,305250
1974-02-22,318500
1974-03-29,314250
1974-04-26,293000
1974-05-24,297500
1974-06-28,312500
1974-07-26,309500
1974-08-30,343000
1974-09-27,360750
1974-10-25,396750
1974-11-29,470500
1974-12-27,524000
1975-01-24,535000
1975-02-21,544500
1975-03-28,546750
1975-04-25,525250
1975-05-30,497250
1975-06-27,495500
1975-07-25,442000
1975-08-29,451500
1975-09-26,445250
1975-10-24,421250
1975-11-28,397250
1975-12-26,374250
1976-01-30,373500
1976-02-27,348250
1976-03-26,360500
1976-04-23,370250
1976-05-28,393250
1976-06-25,393750
1976-07-30,390000
1976-08-27,388500
1976-09-24,407500
1976-10-29,409250
1976-11-26,389500
1976-12-24,373750
1977-01-28,407250
1977-02-25,450750
1977-03-25,360250
1977-04-29,371750
1977-05-27,380250
1977-06-24,361250
1977-07-29,364250
1977-08-26,367250
1977-09-23,368750
1977-10-28,361750
1977-11-25,353500
1977-12-30,357750
1978-01-27,351000
1978-02-24,383250
1978-03-24,349000
1978-04-28,324250
1978-05-26,327000
1978-06-23,324250
1978-07-28,350750
