date,value
1845-12-30,2049095.71
1846-12-30,2245181.43
1847-12-30,2548720.63
1848-12-30,2572691.96
1849-12-30,2290474.57
1850-12-30,2247271.83
1851-12-30,2245372.23
1852-12-30,2048503.07
1853-12-30,2073606.43
1854-12-30,2074631.95
1855-12-30,1968290.13
1856-12-30,2045740.86
1857-10-10,2040836.83
1858-06-08,1987711.43
1859-04-06,1847907.77
1860-12-03,1865977.88
1861-08-02,1860569.25
1862-05-30,1787099.49
1863-01-27,1813827.97
1864-11-25,1822469.65
1865-07-25,1755246.47
1866-03-23,1699613.2
1867-01-18,1676588.25
1868-09-17,1812701.96
1869-05-16,1735124.48
1870-01-13,1765976.42
1871-11-10,1661948.64
1872-07-09,1635019.94
1873-05-07,1615020.39
1874-01-04,1692123.28
1875-09-03,1829744.8
1876-07-01,1734855.11
1877-02-28,1693227.89
1878-10-27,1723063.79
1879-08-25,1778386.31
1956-04-23,1880179.83
2052-02-19,2144006.65
2053-10-18,2194263.64
2054-06-17,2265104.4
2055-02-13,2725012.08
2056-12-12,2544555.04
2057-08-10,2464931.35
2058-04-09,2369582.73
2059-02-05,2410936.71
2060-10-05,2620808.13
2061-08-02,2697559.63
2062-03-30,2649317.3
2063-11-27,2479991.61
2064-09-25,2413129.09
2065-05-25,2295922.91
2066-01-21,2368807.34
2067-09-19,2312625.62
2068-07-18,2343169.55
2069-03-17,2355648.68
2070-01-13,2355804.85
1954-09-11,2571396.21
1955-05-10,2531866.67
1956-03-07,2344285.02
1957-11-04,2263447.6
1958-07-04,2142558.47
1959-05-01,2113127.72
1960-12-29,2057986.04
1961-08-27,2047171.56
1962-06-25,2053897.45
1963-02-22,2076098.74
1964-10-21,2113664.11
1965-08-19,2190181.49
1966-04-17,1946886.04
1967-02-14,1959500.61
1968-10-12,1914014.44
1969-06-10,1907598.37
1970-04-08,1870853.8
1971-12-06,1730168.74
1972-08-05,1669196.78
1973-03-30,1696611.26
1973-04-27,1768166.95
1973-05-25,1765268.34
1973-06-29,1755111.32
1973-07-27,1767532.34
1973-08-24,1847037.21
1973-09-28,1769803.72
1973-10-26,1708300.03
1973-11-23,1783221.21
1973-12-28,2031715.39
1974-01-25,2112912.99
1974-02-22,2176603.36
1974-03-29,2120602.39
1974-04-26,1968966.1
1974-05-24,1974524.64
1974-06-28,2057149.23
1974-07-26,2020903.43
1974-08-30,2212768.46
1974-09-27,2299681.44
1974-10-25,2504424.2
1974-11-29,2946892.24
1974-12-27,3256685.24
1975-01-24,3312286.66
1975-02-21,3345418.37
1975-03-28,3346493.87
1975-04-25,3202744.14
1975-05-30,3014914.61
1975-06-27,2981883.87
1975-07-25,2630479
1975-08-29,2682067.98
1975-09-26,2630408.15
1975-10-24,2475024.07
1975-11-28,2317131.23
1975-12-26,2175107.28
1976-01-30,2166844.13
1976-02-27,2013115.92
1976-03-26,2080201.08
1976-04-23,2128845.1
1976-05-28,2245081.65
1976-06-25,2236063.27
1976-07-30,2203131.17
1976-08-27,2183187.26
1976-09-24,2282007.07
1976-10-29,2279932.46
1976-11-26,2166163.96
1976-12-24,2071429.1
1977-01-28,2245520.81
1977-02-25,2460141.64
1977-03-25,1952984.88
1977-04-29,1998534.2
1977-05-27,2034060.04
1977-06-24,1919689.64
1977-07-29,1926112.2
1977-08-26,1935629.53
1977-09-23,1937204.7
1977-10-28,1894260.42
1977-11-25,1842089.07
1977-12-30,1858231.85
1978-01-27,1811502.58
1978-02-24,1965365.71
1978-03-24,1775611.81
1978-04-28,1636782.54
1978-05-26,1635309.26
1978-06-23,1604147.3
1978-07-28,1722043.69
1978-08-25,1704441.65
1978-09-29,1576425.94
1978-10-27,1577953.03
