date,value
1845-12-30,204000
1846-12-30,242000
1847-12-30,247000
1848-12-30,255000
1849-12-30,228000
1850-12-30,218000
1851-12-30,209000
1852-12-30,213000
1853-12-30,204000
1854-12-30,207000
1855-12-30,191000
1856-12-30,216000
1857-10-10,198000
1858-06-08,193000
1859-04-06,192000
1860-12-03,251000
1861-08-02,194000
1862-05-30,194000
1863-01-27,205000
1864-11-25,188000
1865-07-25,189000
1866-03-23,182000
1867-01-18,162000
1868-09-17,223000
1869-05-16,193000
1870-01-13,192000
1871-11-10,183000
1872-07-09,177000
1873-05-07,187000
1874-01-04,203000
1875-09-03,192000
1876-07-01,195000
1877-02-28,193000
1878-10-27,205000
1879-08-25,202000
1956-04-23,223000
2052-02-19,239000
2053-10-18,242000
2054-06-17,276000
2055-02-13,349000
2056-12-12,301000
2057-08-10,291000
2058-04-09,287000
2059-02-05,297000
2060-10-05,333000
2061-08-02,327000
2062-03-30,337000
2063-11-27,321000
2064-09-25,292000
2065-05-25,290000
2066-01-21,300000
2067-09-19,288000
2068-07-18,299000
2069-03-17,291000
2070-01-13,308000
1954-09-11,307000
1955-05-10,308000
1956-03-07,283000
1957-11-04,278000
1958-07-04,244000
1959-05-01,269000
1960-12-29,254000
1961-08-27,264000
1962-06-25,265000
1963-02-22,267000
1964-10-21,286000
1965-08-19,247000
1966-04-17,262000
1967-02-14,251000
1968-10-12,234000
1969-06-10,235000
1970-04-08,225000
1971-12-06,214000
1972-08-05,218000
1973-03-30,222000
1973-04-27,236000
1973-05-25,238000
1973-06-29,237000
1973-07-27,250000
1973-08-24,254000
1973-09-28,249000
1973-10-26,235000
1973-11-23,233000
1973-12-28,300000
1974-01-25,291000
1974-02-22,292000
1974-03-29,323000
1974-04-26,283000
1974-05-24,309000
1974-06-28,325000
1974-07-26,320000
1974-08-30,350000
1974-09-27,366000
1974-10-25,414000
1974-11-29,474000
1974-12-27,537000
1975-01-24,555000
1975-02-21,544000
1975-03-28,555000
1975-04-25,513000
1975-05-30,475000
1975-06-27,459000
1975-07-25,454000
1975-08-29,446000
1975-09-26,445000
1975-10-24,426000
1975-11-28,387000
1975-12-26,391000
1976-01-30,359000
1976-02-27,349000
1976-03-26,366000
1976-04-23,367000
1976-05-28,402000
1976-06-25,387000
1976-07-30,388000
1976-08-27,394000
1976-09-24,423000
1976-10-29,414000
1976-11-26,377000
1976-12-24,333000
1977-01-28,422000
1977-02-25,362000
1977-03-25,356000
1977-04-29,375000
1977-05-27,381000
1977-06-24,365000
1977-07-29,365000
1977-08-26,365000
1977-09-23,380000
1977-10-28,349000
1977-11-25,354000
1977-12-30,364000
1978-01-27,363000
1978-02-24,371000
1978-03-24,335000
1978-04-28,324000
1978-05-26,318000
1978-06-23,330000
1978-07-28,346000
1978-08-25,333000
1978-09-29,318000
1978-10-27,316000
1978-11-24,359000
1978-12-29,358000
1979-01-26,342000
1979-02-23,360000
1979-03-30,360000
1979-04-27,357000
1979-05-25,349000
1979-06-29,369000
1979-07-27,386000
1979-08-24,390000
1979-09-28,390000
1979-10-26,398000
1979-11-23,414000
1979-12-28,428000
1980-01-25,412000
1980-02-22,428000
1980-03-28,475000
1980-04-25,563000
1980-05-30,637000
1980-06-27,627000
1980-07-25,558000
1980-08-29,502000
1980-09-26,463000
1980-10-24,418000
1980-11-28,412000
1980-12-26,399000
1981-01-30,419000
1981-02-27,434000
1981-03-27,412000
1981-04-24,436000
1981-05-29,417000
1981-06-26,444000
1981-07-24,407000
1981-08-28,451000
1981-09-25,491000
1981-10-30,514000
1981-11-27,552000
1981-12-25,556000
1982-01-29,583000
1982-02-26,528000
1982-03-26,574000
1982-04-23,588000
1982-05-28,588000
1982-06-25,582000
1982-07-30,605000
1982-08-27,647000
1982-09-24,671000
1982-10-29,637000
1982-11-26,612000
1982-12-24,489000
1983-01-28,503000
1983-02-25,481000
1983-03-25,481000
1983-04-29,490000
1983-05-27,454000
1983-06-24,442000
1983-07-29,415000
1983-08-26,426000
1983-09-23,416000
1983-10-28,404000
1983-11-25,398000
1983-12-30,372000
