date,value
1845-12-30,2000074.29
1846-12-30,2372637.14
1847-12-30,2414320.21
1848-12-30,2484986.56
1849-12-30,2215177.95
1850-12-30,2111660.6
1851-12-30,2018420.63
1852-12-30,2050910.24
1853-12-30,1958406.07
1854-12-30,1981309.41
1855-12-30,1822755.95
1856-12-30,2055255.93
1857-10-10,1872934.84
1858-06-08,1820300.38
1859-04-06,1805589.27
1860-12-03,2353570.09
1861-08-02,1813821.28
1862-05-30,1803366.97
1863-01-27,1894699.28
1864-11-25,1732613.37
1865-07-25,1736866.92
1866-03-23,1663062.38
1867-01-18,1476126.61
1868-09-17,2026228.25
1869-05-16,1748715.53
1870-01-13,1729936.09
1871-11-10,1635143.02
1872-07-09,1572818.1
1873-05-07,1657112.83
1874-01-04,1789067.84
1875-09-03,1682926.96
1876-07-01,1699983.65
1877-02-28,1678012.75
1878-10-27,1772788.34
1879-08-25,1737528.59
1956-04-23,1907986.82
2052-02-19,2039472.99
2053-10-18,2054204.26
2054-06-17,2330545.45
2055-02-13,2923994.52
2056-12-12,2515307.28
2057-08-10,2419207.5
2058-04-09,2373718.13
2059-02-05,2456426.08
2060-10-05,2740122.78
2061-08-02,2677092.56
2062-03-30,2745026.69
2063-11-27,2601559.82
2064-09-25,2366527.94
2065-05-25,2344428.32
2066-01-21,2419207.5
2067-09-19,2316647.58
2068-07-18,2393194.52
2069-03-17,2311952
2070-01-13,2441002.16
1954-09-11,2427113.41
1955-05-10,2435019.31
1956-03-07,2231901.3
1957-11-04,2192468.41
1958-07-04,1914960.68
1959-05-01,2111165.67
1960-12-29,1983789.2
1961-08-27,2056910.72
1962-06-25,2059726.87
1963-02-22,2070283.34
1964-10-21,2212288.87
1965-08-19,1901493.25
1966-04-17,2012166.24
1967-02-14,1923107.15
1968-10-12,1784380
1969-06-10,1787779.13
1970-04-08,1707675.88
1971-12-06,1620376.85
1972-08-05,1639121.17
1973-03-30,1653776.95
1973-04-27,1745972.39
1973-05-25,1748736.17
1973-06-29,1729569.16
1973-07-27,1820321.67
1973-08-24,1816640.67
1973-09-28,1776940.02
1973-10-26,1662320.94
1973-11-23,1637401.15
1973-12-28,2094551.95
1974-01-25,2014275.77
1974-02-22,1995504.49
1974-03-29,2179648.6
1974-04-26,1901765.9
1974-05-24,2050850.8
1974-06-28,2139435.2
1974-07-26,2089463.97
1974-08-30,2257927
1974-09-27,2333148.74
1974-10-25,2613312.21
1974-11-29,2968813.86
1974-12-27,3337480.87
1975-01-24,3436110.46
1975-02-21,3342346.36
1975-03-28,3396989.66
1975-04-25,3128049.02
1975-05-30,2880008.93
1975-06-27,2762229.46
1975-07-25,2701894.72
1975-08-29,2649396.06
1975-09-26,2628931.23
1975-10-24,2502932.35
1975-11-28,2257343.71
1975-12-26,2272456.77
1976-01-30,2082723
1976-02-27,2017451.42
1976-03-26,2111937.85
1976-04-23,2110158.41
1976-05-28,2295035.79
1976-06-25,2197730.76
1976-07-30,2191833.06
1976-08-27,2214094.67
1976-09-24,2368807.34
1976-10-29,2306394.72
1976-11-26,2096646.5
1976-12-24,1845580.98
1977-01-28,2326850.29
1977-02-25,1975754.35
1977-03-25,1929944.81
1977-04-29,2016006.25
1977-05-27,2038071.99
1977-06-24,1939617.22
1977-07-29,1930078.11
1977-08-26,1923770.67
1977-09-23,1996305.86
1977-10-28,1827496.57
1977-11-25,1844694.57
1977-12-30,1890695.72
1978-01-27,1873434.29
1978-02-24,1902545.8
1978-03-24,1704383.83
1978-04-28,1635520.56
1978-05-26,1590300.74
1978-06-23,1632594.02
1978-07-28,1698723.07
1978-08-25,1627466.86
1978-09-29,1542472.15
1978-10-27,1519065.22
1978-11-24,1718091.97
1978-12-29,1705714
1979-01-26,1615166.35
1979-02-23,1680491.46
1979-03-30,1663638.4
1979-04-27,1631080.41
1979-05-25,1574458.59
1979-06-29,1646265.68
1979-07-27,1703263.28
1979-08-24,1704590.65
1979-09-28,1686310.86
1979-10-26,1707171.25
1979-11-23,1759423.64
1979-12-28,1799949.26
1980-01-25,1708163.65
1980-02-22,1749760.56
1980-03-28,1912814.92
1980-04-25,2241998.06
1980-05-30,2511874.78
1980-06-27,2445535.03
1980-07-25,2176409.17
1980-08-29,1943885.02
1980-09-26,1777925.51
1980-10-24,1589982.29
1980-11-28,1554329.03
1980-12-26,1491330.7
1981-01-30,1553483.44
1981-02-27,1592622
1981-03-27,1501639.91
1981-04-24,1578412.97
1981-05-29,1497861.21
1981-06-26,1580762.52
1981-07-24,1433213.18
1981-08-28,1576110.63
1981-09-25,1699328.87
1981-10-30,1775121.56
1981-11-27,1900252.64
1981-12-25,1907914
1982-01-29,1994200.03
1982-02-26,1800340.47
1982-03-26,1959259.41
1982-04-23,1998586.6
1982-05-28,1979810.73
1982-06-25,1935366
1982-07-30,2001532.36
1982-08-27,2136099.97
1982-09-24,2210811.35
1982-10-29,2092376.34
1982-11-26,2014360.53
1982-12-24,1616109.93
1983-01-28,1658979.38
1983-02-25,1584799.19
1983-03-25,1584799.19
1983-04-29,1602990.77
1983-05-27,1476236.83
1983-06-24,1432884.04
1983-07-29,1339968.12
1983-08-26,1371367.13
1983-09-23,1332526.08
1983-10-28,1290244
1983-11-25,1268569.94
1983-12-30,1184528.06
1984-01-27,1152229.68
1984-02-24,1080453.35
1984-03-30,1072059.46
1984-04-27,1173233.51
1984-05-25,1104319.09
1984-06-29,1119787.46
1984-07-27,1112386.16
1984-08-24,1219249.71
1984-09-28,1234947.83
1984-10-26,1301884.38
1984-11-23,1314137.41
1984-12-28,1160974.54
1985-01-25,1125141.69
1985-02-22,1186781.04
1985-03-29,1170193.1
1985-04-26,1164719.79
1985-05-24,1190439.48
1985-06-28,1169133.74
1985-07-26,1083182.58
1985-08-30,1221550.45
1985-09-27,1188382.63
1985-10-25,1240390.97
1985-11-29,1162995.17
1985-12-27,1150949.59
1986-01-24,1012417.74
1986-02-21,1150949.59
1986-03-28,1174027.17
1986-04-25,1161338.41
1986-05-30,1104823.26
1986-06-27,1092877.91
1986-07-25,1066366.05
1986-08-29,1179097.18
1986-09-26,1138622.77
1986-10-24,1082026.93
1986-11-28,1069359.84
1986-12-26,1007090.9
1987-01-30,1073269.51
1987-02-27,1005835.38
1987-03-27,938045.37
1987-04-24,938775.58
1987-05-29,929751.42
1987-06-26,926474.77
1987-07-24,918363.48
1987-08-28,907907.71
1987-09-25,889146.41
1987-10-30,808500.69
1987-11-27,855317.73
1987-12-25,883269.29
1988-01-29,953464.67
1988-02-26,887042.75
1988-03-25,841704.24
1988-04-29,862182.69
1988-05-27,859247.6
1988-06-24,839205.31
1988-07-29,900993.17
1988-08-26,853837.94
1988-09-23,810441.24
1988-10-28,788959.52
1988-11-25,801710.22
1988-12-30,813763.85
1989-01-27,785759.66
1989-02-24,795791.94
1989-03-24,841348.81
1989-04-28,814918.53
1989-05-26,846787.76
1989-06-23,878530.36
1989-07-28,873818.79
1989-08-25,859472.33
1989-09-29,895429.34
1989-10-27,909128.93
1989-11-24,876218.13
1989-12-29,915756.05
1990-01-26,873497.21
1990-02-23,882002.73
1990-03-30,867180.31
1990-04-27,908375.82
1990-05-25,896280.18
1990-06-29,903866.08
1990-07-27,912768.47
1990-08-24,965722.14
1990-09-28,982024.45
1990-10-26,1063122.4
1990-11-23,1113775.65
1990-12-28,1094489.49
1991-01-25,1107155.88
1991-02-22,1194049.99
1991-03-29,1192281.03
1991-04-26,1102242.47
1991-05-24,1053794.42
1991-06-28,991400.72
1991-07-26,1001786.37
1991-08-30,1003575.59
1991-09-27,1027399.1
1991-10-25,993037.14
1991-11-29,1039311.2
1991-12-27,1031540.25
1992-01-24,1030046.35
1992-02-28,1033312.29
1992-03-27,972545.73
1992-04-24,980400.46
1992-05-29,948980.47
1992-06-26,966302.57
1992-07-24,1294835.62
1992-08-28,934030.43
1992-09-25,933669.14
1992-10-30,830287.48
1992-11-27,774600.71
