date,value
1993-12-30,5.03
1994-12-30,4.93
1995-12-30,2.08
1996-12-30,2.26
1997-12-30,2.68
1998-12-30,4.93
1999-12-30,6.79
2000-12-30,-1.48
2001-12-30,1.34
2002-12-30,1.23
2003-12-30,2.81
2004-12-30,4.48
2005-12-30,1.31
2006-12-30,2.27
2007-12-30,-1.2
2008-12-30,-11.38
2009-12-30,1.45
2010-12-30,5.35
2011-12-30,2.93
2012-12-30,2.65
2013-12-30,1.88
2014-12-30,3.02
2015-12-30,2.15
2016-12-30,1.79
2017-12-30,3.09
2018-12-30,-0.84
2019-12-30,3.08
2020-12-30,3.04
2021-12-30,7.42
2022-12-30,-1.2
2023-12-30,1.91
2024-12-30,1.65
2025-12-30,-0.07
