date,value
1991-12-31,115095
1992-01-31,114855
1992-02-29,114052
1992-03-31,114721
1992-04-30,114868
1992-05-31,115064
1992-06-30,115911
1992-07-31,115349
1992-08-31,116485
1992-09-30,117193
1992-10-31,116906
1992-11-30,117843
1992-12-31,118697
1993-01-31,117987
1993-02-28,117015
1993-03-31,119682
1993-04-30,119945
1993-05-31,119902
1993-06-30,121676
1993-07-31,121017
1993-08-31,121799
1993-09-30,121970
1993-10-31,123122
1993-11-30,123771
1993-12-31,122772
1994-01-31,124813
1994-02-28,126935
1994-03-31,126646
1994-04-30,125841
1994-05-31,126978
1994-06-30,126726
1994-07-31,128034
1994-08-31,128992
1994-09-30,129795
1994-10-31,129790
1994-11-30,129873
1994-12-31,130171
1995-01-31,127944
1995-02-28,129087
1995-03-31,128663
1995-04-30,130217
1995-05-31,131485
1995-06-30,130478
1995-07-31,131509
1995-08-31,131507
1995-09-30,130682
1995-10-31,132430
1995-11-30,132574
1995-12-31,131734
1996-01-31,133468
1996-02-29,133537
1996-03-31,134077
1996-04-30,135011
1996-05-31,133678
1996-06-30,134285
1996-07-31,134126
1996-08-31,135214
1996-09-30,136236
1996-10-31,135581
1996-11-30,135569
1996-12-31,136841
1997-01-31,137500
1997-02-28,138416
1997-03-31,136288
1997-04-30,136192
1997-05-31,137474
1997-06-30,139018
1997-07-31,138756
1997-08-31,139274
1997-09-30,138885
1997-10-31,138354
1997-11-30,139206
1997-12-31,139478
1998-01-31,139349
1998-02-28,140055
1998-03-31,142052
1998-04-30,142063
1998-05-31,143248
1998-06-30,141882
1998-07-31,140632
1998-08-31,142084
1998-09-30,144096
1998-10-31,144785
1998-11-30,146071
1998-12-31,145883
1999-01-31,147751
1999-02-28,148475
1999-03-31,148661
1999-04-30,149619
1999-05-31,150198
1999-06-30,150728
1999-07-31,151911
1999-08-31,151984
1999-09-30,151586
1999-10-31,153286
1999-11-30,155990
1999-12-31,154486
2000-01-31,156286
2000-02-29,157321
2000-03-31,154516
2000-04-30,155369
2000-05-31,155488
2000-06-30,153841
2000-07-31,154537
2000-08-31,155831
2000-09-30,155457
2000-10-31,154334
2000-11-30,153687
2000-12-31,155399
2001-01-31,154902
2001-02-28,153220
2001-03-31,155561
2001-04-30,155538
2001-05-31,154459
2001-06-30,153945
2001-07-31,155388
2001-08-31,150843
2001-09-30,162518
2001-10-31,157765
2001-11-30,155751
2001-12-31,155957
2002-01-31,156668
2002-02-28,155787
2002-03-31,156803
2002-04-30,155413
2002-05-31,156139
2002-06-30,157867
2002-07-31,158384
2002-08-31,155456
2002-09-30,156148
2002-10-31,156148
2002-11-30,157671
2002-12-31,158082
2003-01-31,155063
2003-02-28,156703
2003-03-31,157780
2003-04-30,158348
2003-05-31,160388
2003-06-30,161245
2003-07-31,162380
2003-08-31,161492
2003-09-30,161279
2003-10-31,161856
