date,value
1991-12-31,268828.08
1992-01-31,267299.74
1992-02-29,264097.11
1992-03-31,265265.38
1992-04-30,265225.03
1992-05-31,264730.09
1992-06-30,266109.38
1992-07-31,264067.34
1992-08-31,265913.08
1992-09-30,266585.98
1992-10-31,265558.57
1992-11-30,267875.66
1992-12-31,268492.45
1993-01-31,265953.91
1993-02-28,262844.54
1993-03-31,268088.51
1993-04-30,268304.99
1993-05-31,267837.32
1993-06-30,271800.08
1993-07-31,269581.25
1993-08-31,270762.28
1993-09-30,270025.84
1993-10-31,272389.27
1993-11-30,273825.09
1993-12-31,270871.81
1994-01-31,274436.31
1994-02-28,278154.08
1994-03-31,277144.24
1994-04-30,275195.92
1994-05-31,276744.26
1994-06-30,275450.57
1994-07-31,277172.99
1994-08-31,278499.25
1994-09-30,280045.52
1994-10-31,279660.6
1994-11-30,279839.44
1994-12-31,279361.86
1995-01-31,273490.69
1995-02-28,275022.67
1995-03-31,273217.02
1995-04-30,275971.92
1995-05-31,278111.04
1995-06-30,275981.08
1995-07-31,277434.1
1995-08-31,276886.62
1995-09-30,274254.5
1995-10-31,278103.86
1995-11-30,278587.64
1995-12-31,275208.88
1996-01-31,277931.39
1996-02-29,276646.3
1996-03-31,276698.73
1996-04-30,278092.49
1996-05-31,275171.09
1996-06-30,275892.38
1996-07-31,275040.16
1996-08-31,276392.67
1996-09-30,277602.15
1996-10-31,275744.91
1996-11-30,275720.51
1996-12-31,277432.87
1997-01-31,277895.6
1997-02-28,279047.52
1997-03-31,274414.44
1997-04-30,274392.43
1997-05-31,276629.76
1997-06-30,279388.07
1997-07-31,278341.26
1997-08-31,278687.1
1997-09-30,277220.82
1997-10-31,276331.92
1997-11-30,278378.34
1997-12-31,278404.47
1998-01-31,277631.58
1998-02-28,278522.08
1998-03-31,281971.91
1998-04-30,281474.1
1998-05-31,283473.73
1998-06-30,280426.47
1998-07-31,277615.66
1998-08-31,280139.1
1998-09-30,283413.11
1998-10-31,284768.26
1998-11-30,287472.9
1998-12-31,286403.93
1999-01-31,289718.6
1999-02-28,290256.03
1999-03-31,288521.3
1999-04-30,290380.59
1999-05-31,291504.31
1999-06-30,291655.52
1999-07-31,293240.96
1999-08-31,291983.98
1999-09-30,290699.95
1999-10-31,293785.42
1999-11-30,298967.86
1999-12-31,295208.29
2000-01-31,296889.1
2000-02-29,296411.33
2000-03-31,290956.42
2000-04-30,292221.46
2000-05-31,290918.59
2000-06-30,287170.76
2000-07-31,288469.96
2000-08-31,289378.26
2000-09-30,288186.01
2000-10-31,285939.86
