date,value
1995-12-30,-0.99
1996-12-30,-4
1997-12-30,-11.46
1998-12-30,-10.59
1999-12-30,-6.58
2000-12-30,-2.82
2001-12-30,39.13
2002-12-30,2.08
2003-12-30,0
2004-12-30,-5.1
2005-12-30,-7.53
2006-12-30,-8.14
2007-12-30,11.39
2008-12-30,54.55
2009-12-30,26.47
2010-12-30,-3.49
2011-12-30,-8.43
2012-12-30,-5.26
2013-12-30,-9.03
2014-12-30,-14.5
2015-12-30,-11.61
2016-12-30,-7.07
2017-12-30,-11.96
2018-12-30,-6.17
2019-12-30,-10.53
2020-12-30,72.06
2021-12-30,-37.61
2022-12-30,-9.59
2023-12-30,9.09
2024-12-30,4.17
2025-12-30,16
