date,value
1993-12-31,25.81
1994-01-31,25.07
1994-02-28,25.2
1994-03-31,24.73
1994-04-30,23.84
1994-05-31,23.97
1994-06-30,23.47
1994-07-31,22.95
1994-08-31,22.45
1994-09-30,22.44
1994-10-31,21.76
1994-11-30,21.76
1994-12-31,21.68
1995-01-31,21.16
1995-02-28,21.09
1995-03-31,21.45
1995-04-30,21.41
1995-05-31,21.36
1995-06-30,21.36
1995-07-31,21.31
1995-08-31,21.48
1995-09-30,20.99
1995-10-31,21.21
1995-11-30,21.01
1995-12-31,20.47
1996-01-31,20.82
1996-02-29,20.51
1996-03-31,20.64
1996-04-30,20.19
1996-05-31,19.97
1996-06-30,19.93
1996-07-31,19.28
1996-08-31,19.42
1996-09-30,19.36
1996-10-31,19.12
1996-11-30,19.52
1996-12-31,19.06
1997-01-31,18.8
1997-02-28,18.35
1997-03-31,18.73
1997-04-30,17.93
1997-05-31,17.91
1997-06-30,17.48
1997-07-31,17.45
1997-08-31,17.41
1997-09-30,16.97
1997-10-31,16.78
1997-11-30,17
1997-12-31,16.77
1998-01-31,16.54
1998-02-28,16.7
1998-03-31,15.88
1998-04-30,15.85
1998-05-31,16.03
1998-06-30,16.21
1998-07-31,15.6
1998-08-31,15.77
1998-09-30,15.54
1998-10-31,15.14
1998-11-30,14.96
1998-12-31,14.92
1999-01-31,15.1
1999-02-28,14.66
1999-03-31,14.94
1999-04-30,14.36
1999-05-31,14.56
1999-06-30,14.51
1999-07-31,14.09
1999-08-31,14.22
1999-09-30,13.81
1999-10-31,13.8
1999-11-30,13.61
1999-12-31,13.38
2000-01-31,13.49
2000-02-29,13.38
2000-03-31,12.99
2000-04-30,13.35
2000-05-31,13.1
2000-06-30,13.07
2000-07-31,13.25
2000-08-31,13
2000-09-30,12.61
2000-10-31,13.15
2000-11-30,12.79
2000-12-31,13.45
2001-01-31,13.39
2001-02-28,13.36
2001-03-31,13.49
2001-04-30,13.61
2001-05-31,14.32
2001-06-30,14.36
2001-07-31,14.9
2001-08-31,15.74
2001-09-30,16.88
2001-10-31,17.09
2001-11-30,17.52
2001-12-31,17.12
2002-01-31,17.23
2002-02-28,16.96
2002-03-31,17.4
2002-04-30,17.22
2002-05-31,17.03
2002-06-30,17.19
2002-07-31,17.14
2002-08-31,17.11
2002-09-30,17.08
2002-10-31,17.44
2002-11-30,17.47
2002-12-31,17.57
2003-01-31,17.79
2003-02-28,17.51
2003-03-31,17.9
2003-04-30,17.75
2003-05-31,18.09
2003-06-30,18.07
2003-07-31,17.65
2003-08-31,18.11
2003-09-30,17.78
2003-10-31,17.66
2003-11-30,17.15
2003-12-31,17.07
2004-01-31,16.8
2004-02-29,17.21
2004-03-31,16.47
2004-04-30,16.55
2004-05-31,16.32
2004-06-30,16.18
2004-07-31,16
2004-08-31,15.97
2004-09-30,16.39
2004-10-31,15.87
2004-11-30,15.76
2004-12-31,15.56
2005-01-31,15.47
2005-02-28,15.19
2005-03-31,14.92
2005-04-30,14.77
2005-05-31,14.93
2005-06-30,14.53
2005-07-31,14.62
2005-08-31,14.6
2005-09-30,14.09
2005-10-31,14.2
2005-11-30,14.1
2005-12-31,13.66
2006-01-31,13.64
2006-02-28,13.24
2006-03-31,12.97
2006-04-30,13.06
2006-05-31,13.35
2006-06-30,13.47
2006-07-31,13.29
2006-08-31,12.72
2006-09-30,13.11
2006-10-31,12.97
2006-11-30,12.63
2006-12-31,13.23
2007-01-31,12.84
2007-02-28,12.57
2007-03-31,12.8
2007-04-30,12.72
2007-05-31,12.85
2007-06-30,13.01
2007-07-31,13.03
2007-08-31,13
2007-09-30,12.97
2007-10-31,13.05
2007-11-30,13.51
2007-12-31,13.91
2008-01-31,13.71
2008-02-29,13.75
2008-03-31,13.81
2008-04-30,14.44
2008-05-31,14.74
2008-06-30,15.4
2008-07-31,15.9
2008-08-31,16.37
2008-09-30,17.57
2008-10-31,19.28
2008-11-30,20.87
2008-12-31,21.54
2009-01-31,22.95
2009-02-28,23.96
2009-03-31,24.05
2009-04-30,24.89
2009-05-31,24.68
2009-06-30,24.56
2009-07-31,24.96
