date,value
1949-12-30,65
1950-12-30,-34.85
1951-12-30,-27.91
1952-12-30,-12.9
1953-12-30,66.67
1954-12-30,11.11
1955-12-30,-16
1956-12-30,0
1957-12-30,23.81
1958-12-30,19.23
1959-12-30,-14.52
1960-12-30,24.53
1961-12-30,-9.09
1962-12-30,-8.33
1963-12-30,0
1964-12-30,-9.09
1965-12-30,-20
1966-12-30,-5
1965-12-30,0
1966-12-04,-10.53
1967-04-06,2.94
1968-08-06,74.29
1971-12-07,-1.64
1972-01-03,-13.33
1973-12-30,-5.77
1974-12-30,46.94
1975-12-30,13.89
1976-12-30,-4.88
1977-12-30,-17.95
1978-12-30,-6.25
1979-12-30,0
1980-12-30,20
1981-12-30,18.06
1982-12-30,27.06
1983-12-30,-23.15
1984-12-30,-12.05
1985-12-30,-4.11
1986-12-30,-5.71
1987-12-30,-13.64
1988-12-30,-7.02
1989-12-30,1.89
1990-12-30,16.67
1991-12-30,15.87
1992-12-30,1.37
1993-12-30,-12.16
1994-12-30,-15.38
1995-12-30,1.82
1996-12-30,-3.57
1997-12-30,-12.96
1998-12-30,-6.38
1999-12-30,-9.09
2000-12-30,-2.5
2001-12-30,46.15
2002-12-30,5.26
2003-12-30,-5
2004-12-30,-5.26
2005-12-30,-9.26
2006-12-30,-10.2
2007-12-30,13.64
2008-12-30,46
2009-12-30,35.62
2010-12-30,-6.06
2011-12-30,-8.6
2012-12-30,-7.06
2013-12-30,-15.19
2014-12-30,-16.42
2015-12-30,-10.71
2016-12-30,-6
2017-12-30,-12.77
2018-12-30,-4.88
2019-12-30,-7.69
2020-12-30,86.11
2021-12-30,-41.79
2022-12-30,-10.26
2023-12-30,8.57
2024-12-30,7.89
2025-12-30,12.2
