date,LNS14027659,LNS14027660,LNS14027689,LNS14027662
1992-01-01,10.80,6.80,5.60,3.10
1992-02-01,11.00,7.00,5.60,3.20
1992-03-01,11.20,6.90,5.70,2.90
1992-04-01,10.80,6.90,5.70,3.20
1992-05-01,12.20,6.90,5.70,3.20
1992-06-01,11.90,6.80,5.80,3.20
1992-07-01,11.90,6.60,5.70,3.10
1992-08-01,11.80,7.30,5.60,3.00
1992-09-01,11.70,6.70,5.60,3.20
1992-10-01,11.50,6.60,5.60,3.30
1992-11-01,11.60,6.70,5.50,3.40
1992-12-01,11.30,6.80,5.70,3.30
1993-01-01,11.10,6.60,5.60,3.10
1993-02-01,11.10,6.30,5.50,3.20
1993-03-01,10.90,6.40,5.30,3.20
1993-04-01,10.90,6.30,5.20,3.20
1993-05-01,10.80,6.40,5.10,3.00
1993-06-01,11.20,6.40,5.30,2.90
1993-07-01,10.40,6.30,5.20,2.80
1993-08-01,10.50,6.10,5.50,2.60
1993-09-01,10.70,6.20,5.10,2.80
1993-10-01,10.70,6.30,5.10,2.90
1993-11-01,10.50,6.00,5.00,2.90
1993-12-01,11.00,5.90,4.90,2.80
1994-01-01,10.70,5.80,4.80,2.90
1994-02-01,10.40,6.10,4.80,2.80
1994-03-01,10.50,5.80,4.60,2.80
1994-04-01,10.10,5.60,4.70,2.50
1994-05-01,9.30,5.30,4.60,2.50
1994-06-01,9.70,5.40,4.40,2.60
1994-07-01,9.80,5.20,4.30,2.70
1994-08-01,9.80,5.40,4.30,2.50
1994-09-01,9.60,5.00,4.30,2.50
1994-10-01,9.70,4.90,4.20,2.40
1994-11-01,9.20,4.80,4.30,2.30
1994-12-01,8.50,4.70,4.00,2.30
1995-01-01,9.20,5.00,4.00,2.40
1995-02-01,8.90,4.70,3.70,2.30
1995-03-01,8.00,4.50,4.10,2.50
1995-04-01,8.80,5.10,4.10,2.70
1995-05-01,8.70,5.00,4.20,2.50
1995-06-01,8.70,4.70,4.10,2.60
1995-07-01,9.00,4.70,4.10,2.50
1995-08-01,9.50,4.50,4.00,2.50
1995-09-01,9.10,4.70,3.80,2.40
1995-10-01,9.10,4.50,3.90,2.40
1995-11-01,9.30,4.80,4.10,2.30
1995-12-01,9.20,4.70,3.70,2.40
1996-01-01,8.70,4.90,3.90,2.40
1996-02-01,8.90,4.70,3.80,2.30
1996-03-01,9.20,4.70,3.70,2.20
1996-04-01,9.10,4.80,3.80,2.30
1996-05-01,9.70,4.80,3.80,2.30
1996-06-01,8.60,4.60,3.80,2.20
1996-07-01,8.80,4.70,3.70,2.20
1996-08-01,8.50,4.40,3.70,2.10
1996-09-01,8.20,4.50,3.70,2.20
1996-10-01,7.80,4.60,3.70,2.20
1996-11-01,8.40,4.60,3.70,2.30
1996-12-01,8.30,4.50,3.70,2.30
1997-01-01,8.80,4.50,3.50,2.10
1997-02-01,8.80,4.60,3.50,2.10
1997-03-01,8.30,4.40,3.50,2.00
1997-04-01,8.40,4.30,3.40,2.00
1997-05-01,8.50,4.20,3.00,2.20
1997-06-01,8.20,4.30,3.30,2.00
1997-07-01,7.70,4.20,3.10,2.10
1997-08-01,7.60,4.20,3.20,2.10
1997-09-01,8.00,4.10,3.30,2.10
1997-10-01,7.80,4.10,2.90,1.90
1997-11-01,7.40,3.80,3.10,1.70
1997-12-01,7.50,4.00,3.30,1.80
1998-01-01,7.00,4.00,3.20,1.90
1998-02-01,7.10,4.00,3.10,1.90
1998-03-01,7.10,4.20,3.20,1.80
1998-04-01,7.20,3.90,2.70,1.70
1998-05-01,7.00,3.70,3.20,1.70
1998-06-01,7.20,4.00,2.80,1.70
1998-07-01,7.20,4.10,2.90,1.70
1998-08-01,7.10,3.90,2.70,1.80
1998-09-01,6.90,4.10,3.00,1.70
1998-10-01,6.90,4.00,3.00,1.90
1998-11-01,7.10,3.90,2.90,1.90
1998-12-01,6.90,3.80,2.90,1.80
1999-01-01,7.10,3.50,2.90,1.80
1999-02-01,7.50,3.50,3.10,1.90
1999-03-01,6.10,3.50,2.90,1.90
1999-04-01,6.90,3.50,3.00,2.00
1999-05-01,6.80,3.50,2.90,1.90
1999-06-01,6.80,3.80,2.40,2.00
1999-07-01,6.90,3.60,3.00,1.80
1999-08-01,7.10,3.50,3.00,1.60
1999-09-01,6.90,3.70,2.70,1.70
1999-10-01,6.60,3.40,2.70,1.70
1999-11-01,6.40,3.20,2.70,1.70
1999-12-01,5.80,3.50,2.50,1.70
2000-01-01,6.40,3.40,2.60,1.80
2000-02-01,6.00,3.40,3.00,1.60
2000-03-01,6.60,3.30,2.80,1.70
2000-04-01,6.20,3.30,2.60,1.50
2000-05-01,6.90,3.40,2.60,1.60
2000-06-01,6.30,3.40,2.70,1.60
2000-07-01,6.40,3.40,2.80,1.70
2000-08-01,6.20,3.70,2.80,1.90
2000-09-01,6.20,3.50,2.60,1.90
2000-10-01,6.40,3.60,2.40,1.60
2000-11-01,6.50,3.50,2.60,1.50
2000-12-01,5.90,3.50,2.70,1.50
2001-01-01,6.70,3.80,3.00,1.60
2001-02-01,7.50,3.70,2.80,1.60
2001-03-01,6.80,3.80,2.70,2.00
2001-04-01,6.80,3.70,2.90,2.10
2001-05-01,6.60,3.90,3.00,2.10
2001-06-01,6.90,3.80,3.00,2.20
2001-07-01,6.80,4.10,3.00,2.20
2001-08-01,7.20,4.40,3.30,2.30
