date,LNS14000006,LNS14000009,LNS14000003
1973-03-01,9.40,7.30,4.40
1973-04-01,9.90,7.90,4.50
1973-05-01,9.60,8.10,4.30
1973-06-01,9.80,7.90,4.30
1973-07-01,9.80,7.20,4.20
1973-08-01,9.20,7.40,4.30
1973-09-01,9.70,7.70,4.30
1973-10-01,8.80,8.00,4.10
1973-11-01,9.30,8.10,4.30
1973-12-01,9.00,7.60,4.40
1974-01-01,9.50,7.60,4.60
1974-02-01,9.80,7.80,4.60
1974-03-01,9.80,7.60,4.50
1974-04-01,9.50,7.00,4.50
1974-05-01,9.70,7.30,4.60
1974-06-01,10.10,8.60,4.80
1974-07-01,10.40,8.80,4.90
1974-08-01,9.90,8.10,5.00
1974-09-01,10.80,8.10,5.40
1974-10-01,11.50,8.20,5.40
1974-11-01,12.40,8.60,6.00
1974-12-01,13.10,9.10,6.40
1975-01-01,14.10,10.70,7.40
1975-02-01,14.40,11.20,7.40
1975-03-01,15.10,12.10,7.80
1975-04-01,15.30,12.40,8.00
1975-05-01,15.10,14.30,8.40
1975-06-01,15.00,11.70,8.10
1975-07-01,14.10,11.60,8.00
1975-08-01,15.20,12.10,7.70
1975-09-01,15.40,12.70,7.70
1975-10-01,14.90,13.00,7.70
1975-11-01,14.60,12.40,7.60
1975-12-01,14.50,12.10,7.40
1976-01-01,14.30,11.40,7.20
1976-02-01,14.40,10.70,6.90
1976-03-01,13.50,11.00,6.90
1976-04-01,13.80,11.70,6.90
1976-05-01,13.20,10.50,6.70
1976-06-01,14.30,11.10,6.90
1976-07-01,13.90,11.70,7.10
1976-08-01,14.30,12.40,7.10
1976-09-01,13.70,11.80,7.00
1976-10-01,13.90,11.60,7.00
1976-11-01,14.00,11.70,7.10
1976-12-01,14.10,11.70,7.00
1977-01-01,13.80,11.20,6.80
1977-02-01,14.20,11.40,6.90
1977-03-01,13.90,11.20,6.70
1977-04-01,12.80,9.60,6.40
1977-05-01,13.50,9.90,6.30
1977-06-01,13.90,10.10,6.40
1977-07-01,13.90,9.50,6.00
1977-08-01,15.10,9.40,6.00
1977-09-01,14.50,9.70,6.00
1977-10-01,14.50,9.40,5.90
1977-11-01,14.70,9.30,5.80
1977-12-01,13.60,8.80,5.50
1978-01-01,13.90,9.30,5.50
1978-02-01,13.10,9.90,5.50
1978-03-01,13.10,9.50,5.40
1978-04-01,12.90,8.50,5.30
1978-05-01,13.00,9.60,5.20
1978-06-01,12.80,9.10,5.00
1978-07-01,13.00,9.50,5.30
1978-08-01,12.30,9.10,5.10
1978-09-01,11.90,8.90,5.20
1978-10-01,11.80,8.50,5.00
1978-11-01,12.70,8.40,5.00
1978-12-01,12.40,8.70,5.20
1979-01-01,12.40,8.20,5.10
1979-02-01,13.10,7.70,5.10
1979-03-01,12.50,7.90,5.10
1979-04-01,12.90,8.20,5.00
1979-05-01,12.40,7.90,4.80
1979-06-01,12.20,8.40,4.90
1979-07-01,12.10,8.10,4.90
1979-08-01,12.40,8.70,5.30
1979-09-01,11.70,7.60,5.20
1979-10-01,12.30,8.70,5.20
1979-11-01,11.90,9.20,5.20
1979-12-01,12.20,9.10,5.20
1980-01-01,13.00,8.70,5.50
1980-02-01,12.90,8.90,5.50
1980-03-01,12.90,9.20,5.60
1980-04-01,13.80,10.40,6.10
1980-05-01,14.40,10.10,6.60
1980-06-01,14.60,10.10,6.70
1980-07-01,15.30,10.80,6.90
1980-08-01,14.60,10.80,6.90
1980-09-01,14.80,11.40,6.60
1980-10-01,15.10,10.60,6.60
1980-11-01,15.10,9.90,6.50
1980-12-01,15.00,10.30,6.30
1981-01-01,14.60,10.60,6.70
1981-02-01,14.70,11.30,6.60
1981-03-01,15.10,10.20,6.50
1981-04-01,14.70,9.50,6.40
1981-05-01,14.80,10.00,6.60
1981-06-01,15.70,10.30,6.50
1981-07-01,15.00,10.00,6.30
1981-08-01,16.30,10.00,6.30
1981-09-01,15.90,9.60,6.60
1981-10-01,16.70,10.70,6.90
1981-11-01,16.80,11.20,7.30
1981-12-01,17.20,11.70,7.50
1982-01-01,17.30,11.70,7.60
1982-02-01,17.70,12.10,7.80
1982-03-01,18.10,12.20,8.00
1982-04-01,18.20,12.90,8.30
1982-05-01,18.50,13.90,8.20
1982-06-01,18.50,13.80,8.50
1982-07-01,18.80,14.20,8.70
1982-08-01,18.90,14.80,8.70
1982-09-01,19.70,14.40,9.00
1982-10-01,20.10,15.00,9.20
1982-11-01,20.20,15.20,9.60
1982-12-01,20.90,15.70,9.70
1983-01-01,21.20,15.30,9.10
1983-02-01,19.90,15.50,9.30
1983-03-01,20.10,15.60,9.10
1983-04-01,20.40,14.80,8.90
1983-05-01,20.30,14.00,8.80
1983-06-01,20.70,14.30,8.70
1983-07-01,19.40,12.40,8.20
1983-08-01,19.70,13.00,8.20
1983-09-01,18.80,12.90,8.00
1983-10-01,18.20,12.10,7.70
1983-11-01,17.50,12.30,7.40
1983-12-01,17.80,11.60,7.10
1984-01-01,17.30,11.40,6.90
1984-02-01,16.20,10.40,6.80
1984-03-01,16.60,11.50,6.70
1984-04-01,16.50,11.60,6.70
