date,value
-52790400000,366.63
-50112000000,392.68
-47692800000,380.66
-44841600000,359.53
-42249600000,367.26
-39571200000,364.83
-36892800000,358.2
-34387200000,363.11
-31622400000,381.17
-28944000000,385.53
-26524800000,385.45
-23846400000,385.11
-21254400000,387.43
-18662400000,382.38
-15984000000,363.37
-13305600000,363.32
-10800000000,357
-8035200000,353.43
-5356800000,344.61
-2937600000,305.79
-86400000,301.26
2505600000,298.5
4924800000,297.1
7689600000,298.07
10281600000,300.36
12787200000,296.66
15552000000,295.21
18230400000,291.88
20649600000,295.93
23500800000,298.2
26092800000,306.19
28771200000,306.27
31449600000,302.95
33955200000,307.97
36374400000,313.59
39225600000,312.88
41817600000,318.54
44236800000,326.56
47088000000,319.38
49680000000,336.67
52444800000,324.14
55036800000,335.84
57542400000,334.39
60307200000,343.46
62899200000,341.4
65664000000,368.47
68169600000,378.01
70761600000,376.94
73267200000,384.74
76118400000,459.8
78710400000,495.83
81388800000,530.42
84067200000,513.03
86572800000,491.12
89337600000,491.31
91929600000,483.84
94435200000,491.05
97286400000,499.74
99705600000,641.36
102297600000,672.31
104976000000,671.02
107654400000,841.3
110160000000,901.27
112924800000,838.8
115603200000,743.82
118022400000,715.41
120873600000,687.92
123465600000,704.5
126144000000,783.71
128822400000,922.34
131241600000,1158.35
133747200000,1167.43
136512000000,1132.32
139190400000,1038.7
141609600000,966.04
144460800000,1005.55
147052800000,1001.55
149731200000,940.27
152409600000,1050.37
154915200000,1139.92
157680000000,1165.32
160358400000,1091.2
162777600000,1116.68
165110400000,1087.95
168048000000,1020.73
170640000000,1017.1
173318400000,998.98
175996800000,990.3
178502400000,959.37
181267200000,816.74
183945600000,842.54
186364800000,806.4
189216000000,815.12
191808000000,742.59
194227200000,764.78
197078400000,747.26
199670400000,736.83
202089600000,715.06
204940800000,703.05
207532800000,634.95
210297600000,579.09
212889600000,650.16
215395200000,681.33
218160000000,723.54
220838400000,745.71
223516800000,728.38
225936000000,776.38
228614400000,812.09
231120000000,787.59
233884800000,766.02
236476800000,759.64
238982400000,764.1
241833600000,769.51
244425600000,808.5
247104000000,842.01
249696000000,832.72
252288000000,860.16
255052800000,904.2
257472000000,933.32
260150400000,919.6
262569600000,858.14
265420800000,924.67
268012800000,906.34
270691200000,976.52
273369600000,1013.13
275875200000,1054.75
278640000000,1171.27
281232000000,927
283737600000,1069.64
286588800000,1100.63
289008000000,1171.21
291600000000,1107.47
294278400000,1112.29
296956800000,1250.32
299462400000,1233.36
302227200000,1303.26
304905600000,1388.8
307324800000,1716.58
310176000000,1628.89
312768000000,1773.02
315446400000,2203.68
318124800000,2769.55
320630400000,2616.46
323308800000,2026.58
325900800000,2067.78
328492800000,2095.46
331171200000,2584
333849600000,2410.43
336355200000,2454.06
339120000000,2572.81
341798400000,2419.21
344217600000,2344.7
347068800000,2203.36
349660800000,1881.61
352080000000,1799.04
354844800000,1874.32
357436800000,1741.32
359942400000,1719.67
362707200000,1500.66
365385600000,1427.05
367804800000,1487
370656000000,1476.1
373248000000,1481.57
375926400000,1430.35
378604800000,1372.6
381110400000,1328.04
383529600000,1238.59
386380800000,1093.98
388972800000,1212.58
391392000000,1095.97
394243200000,1044.17
396835200000,1133.1
399600000000,1352.31
402192000000,1300.62
404697600000,1386.16
407462400000,1409.56
410140800000,1480.61
412819200000,1658.98
415238400000,1382.99
417916800000,1364.87
420422400000,1401.8
423187200000,1427.46
425779200000,1351.03
428284800000,1363.38
431136000000,1334.35
433728000000,1294.09
436406400000,1224.77
438998400000,1293.27
441590400000,1214.78
444355200000,1177.24
446860800000,1249.29
449452800000,1221.39
452131200000,1176.99
454809600000,1196.19
457315200000,1167.22
460080000000,1058.47
462758400000,1073.25
465177600000,1057.23
468028800000,1024.66
470620800000,1006.59
473299200000,946.55
475977600000,932.22
478396800000,884
480902400000,999.82
483667200000,979.6
486345600000,941.38
488764800000,948.8
491616000000,981.75
494208000000,1002.78
496886400000,972.45
499564800000,966.64
502070400000,968.87
504835200000,965.03
507513600000,1041.85
509932800000,998.23
512265600000,1024.31
515203200000,1023.97
517795200000,1017
520473600000,1017.76
523152000000,1053.85
525657600000,1134.99
528422400000,1232.87
531100800000,1174.15
533520000000,1139.48
536371200000,1141.08
538963200000,1181.47
541382400000,1172.75
544147200000,1205.65
546739200000,1300.83
549244800000,1288.39
552009600000,1270.63
554688000000,1315.9
557107200000,1285.45
559958400000,1287.86
562550400000,1309.27
565228800000,1380.53
567907200000,1359.84
570412800000,1297.07
573091200000,1178.32
575769600000,1268.09
578275200000,1238.87
581040000000,1246.32
583632000000,1194.16
586137600000,1177.82
588988800000,1155.66
591580800000,1066.63
594259200000,1106.42
596851200000,1129.63
599443200000,1097.91
602208000000,1051.72
604627200000,1025.91
607305600000,1008.3
609724800000,999.13
612576000000,947.1
615168000000,964.69
617846400000,957.05
620524800000,930.92
623030400000,952.2
625795200000,965.76
628387200000,1042.24
630892800000,1025.75
633744000000,1057.18
636163200000,1030.94
638755200000,932.85
641433600000,929.77
644112000000,908.01
646617600000,875.06
649382400000,917.96
652060800000,951.26
654480000000,987.13
657331200000,916.34
659923200000,927.66
662601600000,942.61
665280000000,885.72
667699200000,868.62
670118400000,845.83
672969600000,843.26
675648000000,860.04
678067200000,870.2
680918400000,861.11
683510400000,819.39
686188800000,824.04
688867200000,839.03
691372800000,858.72
694137600000,826.64
696816000000,827.19
699235200000,821.65
702000000000,790.77
704592000000,777.5
707097600000,779.39
709862400000,790.07
712540800000,821.78
714960000000,779.5
717811200000,796.7
720403200000,770.69
723081600000,758.02
725760000000,756.73
728265600000,748.16
730684800000,741.03
733536000000,756.76
736128000000,791.73
738547200000,852.26
741398400000,846.61
743990400000,901.79
746755200000,825.56
749347200000,783.95
751852800000,817.14
754617600000,820.34
757296000000,864.26
759974400000,834.42
762393600000,837.19
765072000000,853.95
767577600000,823.8
770342400000,844.67
772934400000,839.97
775440000000,834.77
778291200000,836.17
780883200000,853.58
783561600000,835.85
786153600000,826.01
788745600000,824.18
791510400000,806.62
793929600000,803.09
796608000000,823.55
799027200000,827.11
801878400000,814.35
804470400000,819.83
807148800000,810.84
809827200000,805.14
812332800000,807.98
815097600000,802.52
817689600000,814.49
820195200000,812.6
823046400000,842.34
825552000000,833.68
828057600000,821.84
830822400000,805.16
833500800000,804.45
835920000000,784.89
838771200000,792.02
841363200000,794.1
844041600000,775.33
846720000000,772.88
849225600000,756.37
851990400000,751.59
854668800000,699.46
857088000000,728.79
859420800000,704.59
862358400000,685.49
864950400000,696.6
867628800000,672.19
870307200000,655.17
872812800000,652.74
875577600000,657.83
878256000000,619.57
880675200000,592.99
883526400000,578.33
886118400000,602.41
888537600000,590.83
891302400000,596.4
893894400000,616.74
896400000000,579.34
899164800000,585.26
901843200000,571.99
904262400000,539.71
907113600000,579.86
909705600000,576.48
912384000000,581.69
915062400000,565.71
917568000000,560.8
919987200000,562.37
922838400000,546.99
925430400000,554.78
927849600000,526.05
930700800000,506.94
933292800000,496.81
936057600000,491.47
938649600000,583.55
941155200000,573.11
943920000000,559.64
946512000000,557.44
949276800000,540.88
951782400000,558.5
954460800000,519.83
956880000000,519.43
959731200000,512.05
962323200000,541
965001600000,517.81
967680000000,513.24
970185600000,509
972950400000,489.03
975542400000,494.68
978048000000,505.44
980899200000,490.38
983318400000,486.23
985910400000,474.23
988588800000,480.38
991267200000,483.02
993772800000,489.1
996537600000,482.57
999216000000,500.38
1001635200000,526.17
1004486400000,509.98
1007078400000,499.48
1009756800000,504.74
1012435200000,512.71
1014854400000,537.99
1017273600000,546.62
1020124800000,554.97
1022803200000,587.09
1025222400000,572.06
1028073600000,547.15
1030665600000,557.65
1033344000000,574.55
1036022400000,562.84
1038528000000,566.22
1041292800000,611.15
1043971200000,657.46
1046390400000,612.44
1049068800000,587.25
1051660800000,589.67
1054252800000,643.01
1056931200000,606.05
1059609600000,623.99
1062115200000,648.27
1064880000000,669.68
1067558400000,670.58
1069977600000,696
1072828800000,730.27
1075420800000,698.94
1077840000000,679.51
1080691200000,728.09
1083283200000,664.51
1085702400000,671.82
1088553600000,669.52
1091145600000,663.52
1093910400000,694.66
1096502400000,700.41
1099008000000,720.14
1101772800000,763.34
1104451200000,742.42
1107129600000,716.84
1109548800000,734.17
1112227200000,713.37
1114732800000,718.05
1117497600000,691.75
1120089600000,724.39
1122595200000,705.13
1125446400000,711.15
1128038400000,768.11
1130716800000,765.35
1133308800000,806.08
1135900800000,840.82
1138665600000,926.85
1141084800000,903.4
1143763200000,942.82
1146182400000,1021.71
1149033600000,1041.75
1151625600000,954.49
1154304000000,1009.69
1156982400000,983.58
1159488000000,956.63
1162252800000,960.49
1164844800000,1021.95
1167350400000,1016.12
1170201600000,1029.04
1172620800000,1073.1
1175212800000,1042.21
1177891200000,1058.11
1180569600000,1018.49
1183075200000,1003.98
1185840000000,1032.49
1188518400000,1036.33
1190937600000,1141.39
1193788800000,1208.82
1196380800000,1219.71
1199059200000,1284.65
1201737600000,1411.62
1204243200000,1476.49
1206921600000,1415.83
1209513600000,1302.94
1212105600000,1309.56
1214784000000,1374.99
1217462400000,1337.38
1219968000000,1231.58
1222732800000,1322.48
1225411200000,1085.02
1227830400000,1235.28
1230681600000,1327.2
1233273600000,1403.18
1235692800000,1434.62
1238457600000,1392.85
1241049600000,1344.76
1243555200000,1466.08
1246320000000,1407.23
1248998400000,1402.73
1251417600000,1420.88
1254268800000,1495.42
1256860800000,1558.51
1259539200000,1747.52
1262217600000,1649.03
1264723200000,1611.79
1267142400000,1655.66
1269993600000,1644.44
1272585600000,1738.87
1275004800000,1794.81
1277856000000,1835.79
1280448000000,1728.13
1283212800000,1822.52
1285804800000,1935.91
1288310400000,1971.48
1291075200000,2027.04
1293753600000,2075.43
1296432000000,1953.18
1298851200000,2054.73
1301529600000,2065.56
1303948800000,2195.77
1306800000000,2194.05
1309392000000,2154.96
1311897600000,2304.04
1314748800000,2599.91
1317340800000,2315.9
1320019200000,2447.48
1322611200000,2429.58
1325203200000,2250.49
1327968000000,2473.3
1330473600000,2533.3
1333065600000,2335.27
1335744000000,2330.69
1338422400000,2200.09
1340928000000,2206.14
1343692800000,2284.71
1346371200000,2321.07
1348790400000,2482.56
1351641600000,2395.67
1354233600000,2421.44
1356912000000,2337.71
1359590400000,2345.53
1362009600000,2210.46
1364428800000,2220.64
1367280000000,2042.96
1369958400000,1952.79
1372377600000,1662.16
1375228800000,1838.6
1377820800000,1920.87
1380499200000,1840.11
1383177600000,1842.1
1385683200000,1723.39
1388448000000,1662.99
1391126400000,1718.87
1393545600000,1824.17
1396224000000,1766.43
1398816000000,1757.9
1401408000000,1700.26
1404086400000,1776.95
1406764800000,1753.27
1409270400000,1743.66
1412035200000,1639.7
1414713600000,1593.9
1417132800000,1617.92
1419984000000,1647.41
1422576000000,1743.88
1424995200000,1655.94
1427760000000,1610.97
1430352000000,1641.85
1432857600000,1613.86
1435622400000,1583.89
1438300800000,1480.12
1440979200000,1532.84
1443571200000,1511.78
1446163200000,1547.99
1448841600000,1447.84
1451520000000,1445.85
1454025600000,1519.98
1456704000000,1679.25
1459382400000,1673.68
1461888000000,1739.79
1464652800000,1634.77
1467244800000,1767.4
1469750400000,1819.72
1472601600000,1756.31
1475193600000,1759.72
1477872000000,1698.81
1480464000000,1568.88
1483056000000,1538.71
1485820800000,1609.09
1488240000000,1660.32
1490918400000,1655.4
1493337600000,1673.06
1496188800000,1680.99
1498780800000,1635.88
1501459200000,1677.99
1504137600000,1737.1
1506643200000,1679.07
1509408000000,1661.43
1512000000000,1676.63
1514505600000,1696.39
1517356800000,1748.16
1519776000000,1710.41
1522281600000,1711.21
1525046400000,1694.58
1527724800000,1671.22
1530230400000,1600.78
1532995200000,1560.54
1535673600000,1543.88
1538092800000,1512.25
1540944000000,1553.21
1543536000000,1561.95
1546214400000,1645.53
1548892800000,1694.74
1551312000000,1691.37
1553817600000,1638.36
1556582400000,1622.16
1559260800000,1632.38
1561680000000,1779.64
1564531200000,1798.49
1567123200000,1919.28
1569801600000,1868.84
1572480000000,1888.14
1574985600000,1826.39
1577750400000,1911.71
1580428800000,1976.66
1582848000000,2027.99
1585612800000,2005.3
1588204800000,2159.83
1590710400000,2170.98
1593475200000,2215.54
1596153600000,2454.59
1598832000000,2445.41
1601424000000,2347.08
1604016000000,2328.76
1606694400000,2206.19
1609372800000,2346.82
1611878400000,2280.9
1614297600000,2120.2
1617148800000,2088.78
1619740800000,2135.12
1622160000000,2282.34
1625011200000,2103.27
1627603200000,2143.44
1630368000000,2141
1632960000000,2065.66
1635465600000,2080.4
1638230400000,2060.97
1640908800000,2115.61
1643587200000,2060.69
1646006400000,2160.93
1648684800000,2191.19
1651190400000,2132.9
1653955200000,2038.53
1656547200000,1978.46
1659052800000,1923.15
1661904000000,1860.82
1664496000000,1804.99
1667174400000,1766.85
1669766400000,1916.24
1672358400000,1982.69
1675123200000,2078.87
1677542400000,1958.63
1680220800000,2104.78
1682640000000,2116.57
1685491200000,2084.32
1688083200000,2029.37
1690761600000,2072.74
1693440000000,2037.98
1695945600000,1937.21
1698710400000,2080.03
1701302400000,2148.19
1703808000000,2169.28
1706659200000,2132.67
1709164800000,2124.79
1711670400000,2304.64
1714435200000,2351.7
1717113600000,2390.21
1719532800000,2388.82
1722384000000,2471.14
1724976000000,2565.13
1727654400000,2725.76
1730332800000,2806.72
1732838400000,2710.64
1735603200000,2682.45
1738281600000,2841.27
1740700800000,2907.57
1743379200000,3113
1745971200000,3291.53
1748563200000,3300.77
1751241600000,3266.41
1753920000000,3280.82
1756425600000,3400.85
1759190400000,3809.79
1761868800000,3996.74
1764288000000,4217.36
