date,value
-86400000,-16.07
31449600000,6.16
62985600000,16.37
94608000000,48.74
126144000000,73.49
157680000000,67.04
189216000000,-25.2
220838400000,-4.06
252374400000,23.08
283910400000,35.57
315446400000,133.41
347068800000,12.5
378604800000,-32.15
410140800000,12
441676800000,-14.84
473299200000,-19
504835200000,5.83
536371200000,19.54
567907200000,24.46
599529600000,-15.69
631065600000,-2.23
662601600000,-2.49
694137600000,-9.62
725760000000,-5.8
757296000000,17.35
788832000000,-2.09
820368000000,1.1
851990400000,-4.43
883526400000,-21.74
915062400000,-0.61
946598400000,1.18
978220800000,-6.26
1009756800000,1.41
1041292800000,23.96
1072828800000,21.74
1104451200000,4.97
1135987200000,17.12
1167523200000,23.92
1199059200000,31.59
1230681600000,3.41
1262217600000,27.63
1293753600000,27.74
1325289600000,11.65
1356912000000,5.68
1388448000000,-27.79
1419984000000,-0.19
1451520000000,-11.59
1483142400000,8.63
1514678400000,12.57
1546214400000,-1.15
1577750400000,18.83
1609372800000,24.43
1640908800000,-3.51
1672444800000,-0.23
1703980800000,13.08
1735603200000,27.23
1767139200000,64.36
