date,value
-28944000000,2135.61
-26524800000,2031.77
-24105600000,1934.47
-21254400000,1612.81
-18748800000,1612.81
-15984000000,1398.65
-13305600000,1369.13
-10800000000,1390.5
-8035200000,1444.13
-5356800000,1504.71
-2937600000,1569.8
-86400000,1423.72
2505600000,1448.96
4924800000,1468.5
7689600000,1501.01
10281600000,1323.76
12700800000,1228.41
15552000000,1221.91
18230400000,1186.86
20908800000,1149.64
23500800000,1026.11
26092800000,941.49
28771200000,925.33
31449600000,985.03
33955200000,790.19
36374400000,865.01
39225600000,876.88
41817600000,823.7
44236800000,899.65
47088000000,884.1
49680000000,934.4
52444800000,893.37
55036800000,899.06
57542400000,820.2
60307200000,851.75
62899200000,860.16
65664000000,784.82
68169600000,765.4
70761600000,813.26
73267200000,778.81
76118400000,845.17
78710400000,1110.01
81388800000,1097.79
84067200000,1186.56
86572800000,1061.16
89337600000,1002
91929600000,1073.43
94435200000,1092.46
97286400000,1041.13
99705600000,1233.1
102297600000,1059.46
104976000000,1035.75
107654400000,1127.86
110160000000,1178.59
112924800000,1274.23
115603200000,1194.41
118022400000,1229.59
120873600000,1156.55
123465600000,1099.8
125884800000,1145.02
128822400000,1339.39
131241600000,1869.08
133747200000,1667.46
136512000000,1602.72
139190400000,1400.42
141609600000,1336.98
144460800000,1413.65
147052800000,1196.7
149731200000,1222.03
152409600000,1186.72
154915200000,1158.71
157680000000,1018.65
160358400000,922.49
162777600000,949.25
165456000000,960.34
168048000000,885.37
170640000000,908.26
173318400000,943.61
175996800000,1033.74
178502400000,968.28
181267200000,929.52
183945600000,854.29
186364800000,845.77
189216000000,865.39
191808000000,812.2
194227200000,800.04
197078400000,801.27
199670400000,925.71
202089600000,936.28
204940800000,1001.3
207532800000,943.39
210297600000,873.84
212889600000,915.04
215395200000,876.32
218160000000,868.13
220752000000,839.99
223516800000,881.12
225936000000,903.83
228614400000,889.18
231120000000,855.32
233884800000,824.86
236476800000,815.49
238982400000,799
241833600000,784.27
244425600000,819.22
247104000000,898.56
249696000000,905.67
252288000000,979.63
255052800000,1133.87
257472000000,1181.01
260150400000,1164.68
262569600000,1072.68
265420800000,1271.74
268012800000,1191.5
270691200000,1318.72
273369600000,1267.76
275875200000,1388.71
278640000000,1829.61
281232000000,1539.58
283737600000,1684.18
286588800000,1816.83
289008000000,1935.37
291600000000,1782.59
294278400000,1866.38
296956800000,2018.37
299462400000,1882.54
302227200000,1680.32
304905600000,1858.88
307324800000,2460.72
310176000000,2065.33
312768000000,2317
315187200000,2912.72
318124800000,3449.5
320630400000,3761.58
323308800000,2333.07
325900800000,2257.93
328492800000,2347.44
331171200000,2706.08
333849600000,2500.14
336355200000,2568.1
339120000000,2719.5
341798400000,2500.23
344217600000,2429.21
347068800000,2244.1
349660800000,1718.1
352080000000,1694.27
354844800000,1881.2
357436800000,1728.29
359942400000,1693.98
362707200000,1491.9
365385600000,1436.38
368064000000,1493.64
370656000000,1434.22
373248000000,1434.26
375926400000,1363.91
378604800000,1310.56
381110400000,1259.46
383529600000,1173.97
386380800000,1101.21
388972800000,1093.1
391392000000,970.71
394243200000,944.6
396835200000,945.52
399600000000,1046.92
402192000000,940.34
404697600000,1146.7
407462400000,1250.09
410054400000,1291.24
412819200000,1644.8
415238400000,1305.73
417916800000,1317.26
420422400000,1403.11
423187200000,1470.38
425779200000,1382.31
428284800000,1432.64
431136000000,1415.15
433728000000,1304.53
436406400000,1204.33
438998400000,1310.64
441590400000,1266.36
444355200000,1238.65
446860800000,1271.97
449452800000,1256.92
452131200000,1232.99
454809600000,1238.77
457315200000,1187.16
460080000000,1026.56
462758400000,1055.04
465177600000,1000.8
468028800000,995.25
470620800000,967.68
473040000000,894.29
475977600000,857.61
478396800000,758.63
480902400000,867.16
483667200000,824.36
486345600000,802.64
488764800000,802.87
491616000000,850.54
494208000000,1000.54
496886400000,902.46
499564800000,952.55
502070400000,1017.99
504835200000,1004.28
507513600000,1088.94
509932800000,1184.89
512611200000,1193.3
515203200000,1245.25
517795200000,1255.88
520473600000,1266.68
523152000000,1365.36
525657600000,1834.8
528422400000,1606.95
531100800000,1659.6
533520000000,1396.6
536371200000,1393.87
538963200000,1519.98
541382400000,1515.98
544147200000,1601.3
546739200000,1733.01
549244800000,1648.45
552009600000,1571.6
554688000000,1743.19
557366400000,1672.02
559958400000,1575.22
562550400000,1472.93
565228800000,1440.2
567907200000,1397.58
570412800000,1269.89
573091200000,1329.17
575769600000,1467.44
578275200000,1435.13
581040000000,1689.67
583632000000,1521.23
586137600000,1426.35
588988800000,1446.1
591580800000,1357.02
594259200000,1479.97
596851200000,1630.9
599443200000,1393.3
602208000000,1379.74
604627200000,1427.12
607305600000,1396.53
609724800000,1391.39
612576000000,1302.75
615168000000,1291.8
617846400000,1295.17
620524800000,1220.61
623030400000,1273.47
625795200000,1253.26
628387200000,1306.64
630892800000,1249.57
633744000000,1279.86
636163200000,1280.16
638755200000,1193
641433600000,1182.39
644112000000,1227.7
646617600000,1208.05
649382400000,1202.18
652060800000,1178.97
654480000000,1059.81
657331200000,1059.5
659923200000,1029.4
662601600000,992.63
665280000000,938.21
667699200000,972.71
670118400000,940.21
672969600000,940.01
675648000000,895.61
678067200000,900.09
680918400000,862.06
683510400000,801.68
686188800000,829.91
688867200000,851.01
691372800000,868.43
694137600000,791.2
696816000000,837.35
699235200000,836.66
702000000000,834.77
704592000000,804.67
707097600000,846.23
709862400000,873.12
712540800000,882.74
715219200000,826.43
717811200000,838.93
720403200000,809.81
723081600000,823.44
725760000000,803.56
728265600000,821.11
730684800000,780.48
733536000000,814.26
736128000000,871.36
738547200000,890.29
741398400000,861.69
743990400000,929.82
746755200000,853.18
749347200000,801.4
751852800000,823.56
754617600000,810.27
757296000000,871.67
759974400000,843.91
762393600000,869.62
765072000000,927.47
767577600000,874.24
770342400000,879.12
772934400000,879.41
775440000000,917.26
778291200000,895.16
780883200000,900.32
783561600000,896.48
786153600000,871.58
788745600000,898.52
791510400000,889.56
793929600000,878.55
796608000000,940.63
799027200000,948.15
801878400000,917.67
804470400000,935.96
807148800000,897.14
809827200000,902.39
812332800000,891.67
815097600000,860.44
817689600000,867.3
820195200000,836.87
823046400000,877.43
825552000000,859.5
828057600000,846.59
830822400000,827.04
833500800000,822.37
835920000000,801.46
838771200000,821.3
841363200000,813.58
844041600000,782.9
846720000000,776.35
849225600000,762.17
851990400000,751.49
854668800000,712.13
857088000000,792.26
859766400000,752.98
862358400000,753.55
864950400000,804.89
867628800000,865.26
870307200000,874.23
872812800000,820.44
875577600000,868.93
878256000000,809.9
880675200000,766.96
883526400000,725.91
886118400000,771.47
888537600000,764.07
891302400000,809.39
893894400000,799.95
896400000000,715.26
899164800000,706.96
901843200000,746.12
904521600000,690.92
907113600000,690.08
909705600000,657.41
912384000000,696.26
915062400000,708.98
917568000000,676.34
919987200000,741.2
922838400000,705.72
925430400000,679.28
927849600000,706.45
930700800000,677.34
933292800000,669.5
936057600000,673.69
938649600000,755.01
941155200000,801.61
943920000000,837.55
946598400000,849.05
949276800000,924.88
951782400000,930.83
954460800000,908.14
956880000000,988.58
959731200000,1036.33
962323200000,1044.02
965001600000,1086.4
967680000000,1097.6
970185600000,1056.63
972950400000,1082.62
975542400000,1120.9
978048000000,1147.5
980899200000,1112.66
983318400000,1119.24
985910400000,1030.66
988588800000,1083.1
991267200000,1101.83
993772800000,1011.17
996537600000,865.01
999216000000,810.49
1001635200000,776.1
1004486400000,767.83
1007078400000,805.49
1009756800000,876.23
1012435200000,830.54
1014854400000,894.39
1017273600000,930.88
1020124800000,961.58
1022803200000,983.11
1025222400000,977.19
1028073600000,947.44
1030665600000,1006.78
1033344000000,1003.33
1036022400000,1030.13
1038528000000,1053.26
1041292800000,1066.29
1043971200000,1184.08
1046390400000,1199.69
1049068800000,1124.24
1051660800000,1058.24
1054252800000,1128.52
1056931200000,1171.19
1059609600000,1199.74
1062115200000,1235.38
1064880000000,1236.6
1067558400000,1312.91
1069977600000,1337.45
1072828800000,1422.91
1075420800000,1457.79
1077840000000,1519.26
1080691200000,1554.28
1083283200000,1369.17
1085702400000,1419.2
1088553600000,1348.4
1091145600000,1393.11
1093910400000,1470.67
1096502400000,1450.59
1099008000000,1410.89
1101772800000,1464.19
1104451200000,1459.41
1107129600000,1469.88
1109548800000,1453.04
1112227200000,1441.76
1114732800000,1437.1
1117497600000,1431.95
1120089600000,1466.04
1122595200000,1482.39
1125446400000,1458.42
1128038400000,1507.34
1130716800000,1518.89
1133308800000,1598.11
1135900800000,1581.66
1138665600000,1743.75
1141084800000,1706.15
1143763200000,1737.12
1146182400000,1832.91
1149033600000,2038.9
1151625600000,1949.04
1154304000000,1946.46
1156982400000,1969.54
1159488000000,1812.32
1162252800000,1715.1
1164844800000,1874.54
1167350400000,1787.03
1170201600000,1862.87
1172620800000,1963.91
1175212800000,1954.04
1177891200000,2006.97
1180569600000,1957.56
1183075200000,1970.8
1185840000000,2000.72
1188518400000,1967.17
1190937600000,2130.4
1193788800000,2223.11
1196380800000,2209.98
1199059200000,2355.83
1201737600000,2645.22
1204243200000,3276
1206921600000,3081.68
1209513600000,2896.43
1212105600000,2989.87
1214784000000,3042.6
1217462400000,2577.98
1219968000000,2177.54
1222732800000,1480.24
1225411200000,1212.36
1227830400000,1330.18
1230681600000,1377.84
1233273600000,1501.72
1235692800000,1609.82
1238457600000,1704.48
1241049600000,1653.34
1243555200000,1772.26
1246320000000,1773.62
1248998400000,1776.44
1251676800000,1859.14
1254268800000,1922.2
1256860800000,1969.59
1259539200000,2150.11
