date,value
31449600000,-26.96
62985600000,-9.82
94608000000,31.33
126144000000,13.94
157680000000,-0.06
189216000000,-9.15
220838400000,1.79
252374400000,24.44
283910400000,87.42
315446400000,95.94
347068800000,-13.31
378604800000,-36.39
410140800000,2.3
441676800000,1.79
473299200000,-26.59
504835200000,16.57
536371200000,40.32
567907200000,4.71
599529600000,4.1
631065600000,-6.15
662601600000,-15.71
694137600000,-17.85
725760000000,4.51
757296000000,11.46
788832000000,5.84
820368000000,-4.5
851990400000,-7.22
883526400000,-1.76
915062400000,-0.76
946598400000,22.97
978220800000,39.73
1009756800000,-22.46
1041292800000,24.58
1072828800000,35.95
1104451200000,5.9
1135987200000,12.08
1167523200000,15.85
1199059200000,37.21
1230681600000,-41.46
1262217600000,62.69
1293753600000,20.12
1325289600000,-22.85
1356912000000,12.78
1388448000000,-11.13
1419984000000,-11.13
1451520000000,-26.07
1483142400000,1.3
1514678400000,3.81
1546214400000,-14.7
1577750400000,22.12
1609372800000,10.44
1640908800000,-10.44
1672444800000,10.68
1703980800000,-6.99
1735603200000,-9.86
1767139200000,107.98
