date,value
-28944000000,235.7
-26524800000,225.5
-24105600000,216.5
-21254400000,181.5
-18748800000,182
-15984000000,158.7
-13305600000,156.2
-10800000000,159.5
-8035200000,166.1
-5356800000,174
-2937600000,182.5
-86400000,166.4
2505600000,169.8
4924800000,173
7689600000,177.76
10281600000,158
12700800000,147
15552000000,146.98
18230400000,143.5
20908800000,139
23500800000,124.7
26092800000,115
28771200000,113.6
31449600000,121.54
33955200000,97.5
36374400000,107
39225600000,108.74
41817600000,102.4
44236800000,112.4
47088000000,111.28
49680000000,117.9
52444800000,113
55036800000,113.72
57542400000,104
60307200000,108
62899200000,109.6
65664000000,100
68169600000,98
70761600000,104.38
73267200000,100.2
76118400000,109
78710400000,143.5
81388800000,142.6
84067200000,154.5
86572800000,138.5
89337600000,131.4
91929600000,141.1
94435200000,143.94
97286400000,137.5
99705600000,164
102297600000,142.22
104976000000,140
107654400000,153.5
110160000000,161.5
112924800000,175
115603200000,167
118022400000,172.3
120873600000,163.5
123465600000,156.5
125884800000,164
128822400000,193.5
131241600000,273.5
133747200000,247.1
136512000000,238.5
139190400000,211
141609600000,203.1
144460800000,216.5
147052800000,185.5
149731200000,191.7
152409600000,188
154915200000,185
157680000000,163.9
160358400000,149
162777600000,154.5
165456000000,156.9
168048000000,145.2
170640000000,149.8
173318400000,156.8
175996800000,173.7
178502400000,163
181267200000,157.34
183945600000,145.4
186364800000,145
189216000000,148.9
191808000000,140
194227200000,138.4
197078400000,138.86
199670400000,161
202089600000,164
204940800000,176.32
207532800000,167
210297600000,155.5
212889600000,163.4
215395200000,157.3
218160000000,156.1
220752000000,151.56
223516800000,159.8
225936000000,165.6
228614400000,164.02
231120000000,159.1
233884800000,154.2
236476800000,153.46
238982400000,151.1
241833600000,148.8
244425600000,155.94
247104000000,171.6
249696000000,173.8
252288000000,188.6
255052800000,219.7
257472000000,230.3
260150400000,228.92
262569600000,212.5
265420800000,254.3
268012800000,240.84
270691200000,268.6
273369600000,259.4
275875200000,286.3
278640000000,380.6
281232000000,321.7
283737600000,353.48
286588800000,384.7
289008000000,414.6
291600000000,385.74
294278400000,408.5
296956800000,447.4
299462400000,421.96
302227200000,380.8
304905600000,425.3
307324800000,569.1
310176000000,481.5
312768000000,545.2
315187200000,692.6
318124800000,832
320630400000,920.1
323308800000,579.36
325900800000,567
328492800000,595.3
331171200000,693.8
333849600000,641
336355200000,663.2
