date,value
-31622400000,39.84
-86400000,41.1
31449600000,35.96
62985600000,40.8
94608000000,58.17
126144000000,97.12
157680000000,158.76
189216000000,160.87
220838400000,124.8
252374400000,147.84
283910400000,193.57
315446400000,307.01
347068800000,614.75
378604800000,459.16
410140800000,376.11
441676800000,423.71
473299200000,360.65
504835200000,317.42
536371200000,368.2
567907200000,446.84
599529600000,436.78
631065600000,381.27
662601600000,383.73
694137600000,362.34
725760000000,343.87
757296000000,360.05
788832000000,384.16
820368000000,384.07
851990400000,387.73
883526400000,331
915062400000,294.12
946598400000,278.86
978220800000,279.29
1009756800000,271.19
1041292800000,310.08
1072828800000,363.83
1104451200000,409.53
1135987200000,444.99
1167523200000,604.34
1199059200000,696.43
1230681600000,872.37
1262217600000,973.66
1293753600000,1226.66
1325289600000,1573.16
1356912000000,1668.86
1388448000000,1409.51
1419984000000,1266.06
1451520000000,1158.86
1483142400000,1251.92
1514678400000,1260.39
1546214400000,1268.93
1577750400000,1393.34
1609372800000,1773.73
1640908800000,1798.89
1672444800000,1801.87
1703980800000,1943
1735603200000,2378.83
1767139200000,3404.35
