date,value
-52790400000,39.1
-50112000000,42
-47692800000,40.95
-44841600000,38.9
-42249600000,39.85
-39571200000,39.7
-36892800000,39.2
-34387200000,39.85
-31622400000,41.95
-28944000000,42.55
-26524800000,42.78
-23846400000,43.1
-21254400000,43.6
-18662400000,43.15
-15984000000,41.23
-13305600000,41.45
-10800000000,40.95
-8035200000,40.65
-5356800000,39.85
-2937600000,35.55
-86400000,35.21
2505600000,34.98
4924800000,35
7689600000,35.3
10281600000,35.85
12787200000,35.5
15552000000,35.51
18230400000,35.29
20649600000,35.78
23500800000,36.24
26092800000,37.4
28771200000,37.6
31449600000,37.38
33955200000,38
36374400000,38.79
39225600000,38.8
41817600000,39.6
44236800000,40.8
47088000000,40.2
49680000000,42.48
52444800000,41
55036800000,42.48
57542400000,42.4
60307200000,43.55
62899200000,43.5
65664000000,46.95
68169600000,48.4
70761600000,48.38
73267200000,49.5
76118400000,59.3
78710400000,64.1
81388800000,68.9
84067200000,66.8
86572800000,64.1
89337600000,64.43
91929600000,63.6
94435200000,64.7
97286400000,66
99705600000,85.3
102297600000,90.25
104976000000,90.7
107654400000,114.5
110160000000,123.5
112924800000,115.2
115603200000,104
118022400000,100.25
120873600000,97.25
123465600000,100.25
126144000000,112.25
128822400000,133.25
131241600000,169.5
133747200000,173
136512000000,168.5
139190400000,156.5
141609600000,146.75
144460800000,154
147052800000,155.25
149731200000,147.5
152409600000,166.4
154915200000,182
157680000000,187.5
160358400000,176.25
162777600000,181.75
165110400000,177.75
168048000000,167.4
170640000000,167.75
173318400000,166
175996800000,166.4
178502400000,161.5
181267200000,138.25
183945600000,143.4
186364800000,138.25
189216000000,140.25
191808000000,128
194227200000,132.3
197078400000,129.5
199670400000,128.15
202089600000,125.25
204940800000,123.8
207532800000,112.4
210297600000,103.05
212889600000,116.1
215395200000,122.3
218160000000,130.1
220838400000,134.55
223516800000,132.1
225936000000,142.25
228614400000,149.8
231120000000,146.5
233884800000,143.2
236476800000,142.95
238982400000,144.5
241833600000,146
244425600000,153.9
247104000000,160.8
249696000000,159.8
252288000000,165.6
255052800000,175.2
257472000000,182
260150400000,180.75
262569600000,170
265420800000,184.9
268012800000,183.2
270691200000,198.9
273369600000,207.3
275875200000,217.45
278640000000,243.65
281232000000,193.7
283737600000,224.5
286588800000,233.05
289008000000,250.9
291600000000,239.65
294278400000,243.45
296956800000,277.15
299462400000,276.45
302227200000,295.35
304905600000,317.75
307324800000,397
310176000000,379.75
312768000000,417.2
315446400000,524
318124800000,668
320630400000,640
323308800000,503.25
325900800000,519.25
328492800000,531.4
331171200000,662.5
333849600000,618
336355200000,633.75
339120000000,670
341798400000,636
344217600000,621.5
347068800000,589.5
349660800000,507.5
352080000000,490.25
354844800000,514.25
357436800000,481
359942400000,478.75
362707200000,421.5
365385600000,405.25
367804800000,425.5
370656000000,426.5
373248000000,429
375926400000,415.5
378604800000,400
381110400000,388.25
383529600000,363.25
386380800000,320.5
388972800000,356.75
391392000000,325.5
394243200000,314
396835200000,342.5
399600000000,409.6
402192000000,394.75
404697600000,422
407462400000,428.25
410140800000,448
412819200000,503
415238400000,419.75
417916800000,414.25
420422400000,428.5
423187200000,439
425779200000,416.75
428284800000,422.25
431136000000,414.5
433728000000,404
436406400000,383.5
438998400000,405.75
441590400000,381.5
444355200000,371.9
446860800000,396.6
449452800000,388.5
452131200000,376.2
454809600000,383.45
457315200000,375.25
460080000000,341.6
462758400000,347.7
465177600000,344.15
468028800000,334.5
470620800000,328.6
473299200000,309
475977600000,304.9
478396800000,290.5
480902400000,329.8
483667200000,324.65
486345600000,313.15
488764800000,316.5
491616000000,328.1
494208000000,335.75
496886400000,326.5
499564800000,325.75
502070400000,327.4
504835200000,327
507513600000,354
509932800000,338.25
512265600000,345.5
515203200000,344.75
517795200000,343.35
520473600000,345.5
523152000000,357.75
525657600000,386
528422400000,421.2
531100800000,401.5
533520000000,390
536371200000,390.9
538963200000,407.3
541382400000,405.75
544147200000,419
546739200000,454.5
549244800000,451.75
552009600000,447.1
554688000000,464.25
557107200000,455.9
559958400000,459.15
562550400000,468
565228800000,493.9
567907200000,486.5
570412800000,465.25
573091200000,423.75
575769600000,458
578275200000,449.75
581040000000,454
583632000000,436.85
586137600000,432.7
588988800000,426.35
591580800000,396.15
594259200000,412.3
596851200000,421.3
599443200000,410.15
602208000000,394.85
604627200000,386.75
607305600000,382.3
609724800000,381.3
612576000000,363.5
615168000000,371.15
617846400000,369.1
620524800000,359.6
623030400000,369
625795200000,376.05
628387200000,406.8
630892800000,401
633744000000,417.55
636163200000,409.1
638755200000,372.2
641433600000,371.55
644112000000,363.7
646617600000,352.4
649382400000,371.1
652060800000,388.1
654480000000,406.1
657331200000,379.25
659923200000,384.8
662601600000,391
665280000000,369.6
667699200000,363
670118400000,354
672969600000,353.45
675648000000,361.55
678067200000,366.9
680918400000,363.6
683510400000,347
686188800000,350.5
688867200000,357.4
691372800000,366.85
694137600000,353.4
696816000000,354.15
699235200000,353.05
702000000000,341.5
704592000000,336.25
707097600000,337.55
709862400000,343.4
712540800000,357.95
714960000000,340.5
717811200000,349
720403200000,338.8
723081600000,333.7
725760000000,332.9
728265600000,330.75
730684800000,328.75
733536000000,336.9
736128000000,353.45
738547200000,381
741398400000,379
743990400000,403.7
746755200000,370.6
749347200000,352.65
751852800000,369.1
754617600000,370.8
757296000000,390.65
