date,value
-1735689600000,614.78
-1733011200000,620.93
-1730592000000,627.2
-1727913600000,620.93
-1725321600000,614.78
-1722643200000,614.78
-1720051200000,614.78
-1717372800000,614.78
-1714694400000,614.78
-1712102400000,608.75
-1709424000000,602.84
-1706832000000,602.84
-1704153600000,603.87
-1701475200000,603.87
-1698969600000,598.12
-1696291200000,592.48
-1693699200000,586.94
-1691020800000,581.51
-1688428800000,581.51
-1685750400000,576.17
-1683072000000,565.79
-1680480000000,555.78
-1677801600000,546.11
-1675209600000,541.4
-1672531200000,542.01
-1669852800000,528.46
-1667433600000,528.46
-1664755200000,503.3
-1662163200000,495.43
-1659484800000,487.81
-1656892800000,495.43
-1654214400000,487.81
-1651536000000,476.81
-1648944000000,469.74
-1646265600000,469.74
-1643673600000,462.89
-1640995200000,457.12
-1638316800000,453.87
-1635897600000,457.12
-1633219200000,450.68
-1630627200000,441.35
-1627948800000,435.35
-1625356800000,423.82
-1622678400000,415.56
-1620000000000,407.62
-1617408000000,399.98
-1614729600000,392.61
-1612137600000,387.86
-1609459200000,391.57
-1606780800000,398.82
-1604361600000,393.96
-1601683200000,386.88
-1599091200000,382.3
-1596412800000,382.3
-1593820800000,371.32
-1591142400000,365.02
-1588464000000,362.97
-1585872000000,356.96
-1583193600000,349.24
-1580601600000,341.85
-1577923200000,344.79
-1575244800000,341.25
-1572739200000,337.79
-1570060800000,327.8
-1567468800000,323.03
-1564790400000,318.39
-1562198400000,319.92
-1559520000000,327.8
-1556841600000,332.72
-1554249600000,334.39
-1551571200000,336.08
-1548979200000,343.01
-1546300800000,351.25
-1543622400000,362.71
-1541203200000,364.69
-1538524800000,368.72
-1535932800000,377.05
-1533254400000,379.19
-1530662400000,377.05
-1527984000000,377.05
-1525305600000,381.36
-1522713600000,381.36
-1520035200000,383.55
-1517443200000,385.77
-1514764800000,397.76
-1512086400000,397.76
-1509667200000,402.53
-1506988800000,402.53
-1504396800000,402.53
-1501718400000,402.53
-1499126400000,400.13
-1496448000000,404.95
-1493769600000,404.95
-1491177600000,402.53
-1488499200000,400.13
-1485907200000,397.76
-1483228800000,398.4
-1480550400000,398.4
-1478131200000,398.4
-1475452800000,396.04
-1472860800000,396.04
-1470182400000,393.71
-1467590400000,389.14
-1464912000000,391.41
-1462233600000,389.14
-1459641600000,386.89
-1456963200000,386.89
-1454371200000,386.89
-1451692800000,387.45
-1449014400000,389.7
-1446508800000,391.98
-1443830400000,394.28
-1441238400000,394.28
-1438560000000,394.28
-1435968000000,391.98
-1433289600000,394.28
-1430611200000,391.98
-1428019200000,389.7
-1425340800000,389.7
-1422748800000,387.45
-1420070400000,386.89
-1417392000000,389.14
-1414972800000,386.89
-1412294400000,389.14
-1409702400000,386.89
-1407024000000,382.47
-1404432000000,378.14
-1401753600000,378.14
-1399075200000,378.14
-1396483200000,378.14
-1393804800000,371.84
-1391212800000,373.92
-1388534400000,373.38
-1385856000000,373.38
-1383436800000,375.48
-1380758400000,373.38
-1378166400000,375.48
-1375488000000,377.6
-1372896000000,381.91
-1370217600000,384.11
-1367539200000,381.91
-1364947200000,379.74
-1362268800000,377.6
-1359676800000,377.6
-1356998400000,382.47
-1354320000000,384.66
-1351900800000,386.89
-1349222400000,386.89
-1346630400000,384.66
-1343952000000,380.29
-1341360000000,386.89
-1338681600000,389.14
-1336003200000,386.89
-1333411200000,384.66
-1330732800000,386.89
-1328140800000,386.89
-1325462400000,387.45
-1322784000000,391.98
-1320278400000,391.98
-1317600000000,391.98
-1315008000000,389.7
-1312329600000,391.98
-1309737600000,391.98
-1307059200000,391.98
-1304380800000,387.45
-1301788800000,389.7
-1299110400000,389.7
-1296518400000,391.98
-1293840000000,390.85
-1291161600000,390.85
-1288742400000,393.14
-1286064000000,395.47
-1283472000000,393.14
-1280793600000,390.85
-1278201600000,386.33
