date,value
-1672617600000,1.14
-1641081600000,0.98
-1609545600000,0.92
-1578009600000,0.96
-1546387200000,3
-1514851200000,0.29
-1483315200000,0.72
-1451779200000,-0.43
-1420156800000,0.14
-1388620800000,-0.14
-1357084800000,-0.14
-1325548800000,0.14
-1293926400000,0.14
-1262390400000,-0.29
-1230854400000,-0.14
-1199318400000,9.18
-1167696000000,-8.01
-1136160000000,27.38
-1104624000000,32.23
-1073088000000,0
-1041465600000,0
-1009929600000,0
-978393600000,0
-946857600000,-0.89
-915235200000,-1.82
-883699200000,0
-852163200000,0
-820627200000,0
-789004800000,0
-757468800000,2.76
-725932800000,0
-694396800000,0
-662774400000,0
-631238400000,-8.91
-599702400000,9.79
-568166400000,0
-536544000000,-0.89
-505008000000,0.89
-473472000000,0.89
-441936000000,0
-410313600000,0
-378777600000,-0.88
-347241600000,0.89
-315705600000,0
-284083200000,0
-252547200000,0
-221011200000,0
-189475200000,0
-157852800000,0
-126316800000,0
-94780800000,0
-63244800000,0
-31622400000,18.8
-86400000,-16.07
31449600000,6.16
62985600000,16.37
94608000000,48.74
126144000000,73.49
157680000000,67.04
189216000000,-25.2
220838400000,-4.06
252374400000,23.08
283910400000,35.57
315446400000,133.41
347068800000,12.5
378604800000,-32.15
410140800000,12
441676800000,-14.84
473299200000,-19
504835200000,5.83
536371200000,19.54
567907200000,24.46
599529600000,-15.69
631065600000,-2.23
662601600000,-2.49
694137600000,-9.62
725760000000,-5.8
757296000000,17.35
788832000000,-2.09
820368000000,1.1
851990400000,-4.43
883526400000,-21.74
915062400000,-0.61
946598400000,1.18
978220800000,-6.26
1009756800000,1.41
1041292800000,23.96
1072828800000,21.74
1104451200000,4.97
1135987200000,17.12
1167523200000,23.92
1199059200000,31.59
1230681600000,3.41
1262217600000,27.63
1293753600000,27.74
1325289600000,11.65
1356912000000,5.68
1388448000000,-27.79
1419984000000,-0.19
1451520000000,-11.59
1483142400000,8.63
1514678400000,12.57
1546214400000,-1.15
1577750400000,18.83
1609372800000,24.43
1640908800000,-3.51
1672444800000,-0.23
1703980800000,13.08
1735603200000,27.23
1767139200000,64.36
