date,value
-86400000,184.99
31449600000,147.1
62985600000,109.98
94608000000,124.63
126144000000,156.94
157680000000,201.09
189216000000,153.86
220838400000,155.35
252374400000,159.62
283910400000,261.91
315446400000,440.14
347068800000,687.77
378604800000,450.07
410140800000,328.92
441676800000,428.14
473299200000,362.29
504835200000,293.16
536371200000,465.29
567907200000,556.63
599529600000,530.29
631065600000,509.68
662601600000,471.29
694137600000,376.11
725760000000,360.02
757296000000,374.54
788832000000,405.6
820368000000,424.59
851990400000,397.26
883526400000,395.19
915062400000,371.82
946598400000,377.2
978220800000,544.42
1009756800000,528.26
1041292800000,539.99
1072828800000,692.03
1104451200000,845.83
1135987200000,896.92
1167523200000,1142.4
1199059200000,1305.01
1230681600000,1573.92
1262217600000,1204.28
1293753600000,1611.51
1325289600000,1719.03
1356912000000,1550.89
1388448000000,1484.73
1419984000000,1383.62
1451520000000,1050.61
1483142400000,988.9
1514678400000,950.49
1546214400000,882.18
1577750400000,868.04
1609372800000,893.39
1640908800000,1088.51
1672444800000,958.06
1703980800000,965.28
1735603200000,950.02
1767139200000,1250.27
