date,close,close1
1985-07-30,279.00,323.25
1985-07-31,284.25,328.10
1985-08-01,278.00,326.75
1985-08-02,282.00,319.65
1985-08-05,281.50,323.00
1985-08-06,276.75,321.40
1985-08-07,279.50,320.65
1985-08-08,278.50,322.90
1985-08-09,292.50,322.40
1985-08-12,292.00,326.60
1985-08-13,294.50,328.50
1985-08-14,295.00,326.20
1985-08-15,302.00,328.90
1985-08-16,327.50,335.40
1985-08-19,336.00,339.25
1985-08-20,331.50,335.50
1985-08-21,332.00,335.75
1985-08-22,320.50,337.60
1985-08-23,327.25,333.60
1985-08-27,336.50,335.25
1985-08-28,344.00,339.30
1985-08-29,332.50,338.40
1985-08-30,335.00,335.75
1985-09-03,312.50,332.70
1985-09-04,314.00,325.00
1985-09-05,309.00,326.00
1985-09-06,309.00,318.75
1985-09-09,315.00,320.20
1985-09-10,317.50,320.00
1985-09-11,313.00,322.00
1985-09-12,312.00,318.00
1985-09-13,310.75,321.75
1985-09-16,306.00,318.85
1985-09-17,299.00,318.70
1985-09-18,294.00,315.50
1985-09-19,300.50,315.90
1985-09-20,301.00,319.20
1985-09-23,315.50,328.10
1985-09-24,312.50,328.40
1985-09-25,318.50,328.70
1985-09-26,311.50,330.40
1985-09-30,303.00,326.50
1985-10-01,307.30,323.15
1985-10-02,310.00,324.75
1985-10-03,321.00,324.35
1985-10-04,320.00,330.55
1985-10-07,319.00,326.25
1985-10-08,322.00,326.10
1985-10-09,324.00,326.95
1985-10-10,320.00,325.55
1985-10-11,324.00,325.80
1985-10-14,321.50,326.60
1985-10-15,321.00,326.85
1985-10-16,315.50,325.90
1985-10-17,319.50,324.60
1985-10-18,322.20,326.25
1985-10-21,322.20,326.50
1985-10-22,332.00,325.90
1985-10-23,335.50,326.90
1985-10-24,336.50,325.95
1985-10-25,335.00,325.65
1985-10-28,333.25,326.50
1985-10-29,333.50,326.55
1985-10-30,328.60,326.80
1985-10-31,321.00,325.75
1985-11-01,324.25,324.65
1985-11-04,324.50,325.60
1985-11-05,324.50,324.55
1985-11-06,325.25,324.75
1985-11-07,324.25,323.60
1985-11-08,326.50,322.10
1985-11-11,325.50,323.25
1985-11-12,333.30,322.70
1985-11-13,332.50,324.50
1985-11-14,333.50,325.00
1985-11-15,330.20,324.55
1985-11-18,331.25,323.75
1985-11-19,332.50,324.10
1985-11-20,333.25,325.05
1985-11-21,335.75,325.75
1985-11-22,347.75,326.00
1985-11-25,353.50,330.50
1985-11-26,349.25,331.50
1985-11-27,344.00,330.45
1985-11-29,344.00,327.40
1985-12-02,348.50,323.95
1985-12-03,346.50,322.50
1985-12-04,346.00,324.50
1985-12-05,342.50,322.50
1985-12-06,343.25,322.50
1985-12-09,321.75,320.15
1985-12-10,325.25,316.10
1985-12-11,322.25,316.80
1985-12-12,327.75,316.05
1985-12-13,332.00,317.90
1985-12-16,334.00,318.25
1985-12-17,331.75,321.90
1985-12-18,332.20,321.10
1985-12-19,335.50,323.40
1985-12-20,335.50,323.55
1985-12-23,333.75,325.75
1985-12-24,335.00,324.85
1985-12-27,340.00,324.80
1985-12-30,341.00,326.15
1985-12-31,340.30,327.00
1986-01-02,341.30,327.10
1986-01-03,343.80,326.00
1986-01-06,358.70,327.80
1986-01-07,357.00,328.90
1986-01-08,355.90,330.90
1986-01-09,366.00,333.90
1986-01-10,364.50,339.45
1986-01-13,362.00,340.75
1986-01-14,360.25,338.80
1986-01-15,365.75,345.30
1986-01-16,365.50,359.60
1986-01-17,371.50,357.25
1986-01-20,371.50,353.25
1986-01-21,368.50,356.50
1986-01-22,371.80,352.75
1986-01-23,371.25,349.50
1986-01-24,379.00,355.25
1986-01-27,374.75,361.75
1986-01-28,372.25,353.80
1986-01-29,376.00,354.40
1986-01-30,373.00,355.40
1986-01-31,370.00,354.00
1986-02-03,353.00,347.35
1986-02-04,348.00,338.50
1986-02-05,354.00,335.95
1986-02-06,353.25,337.10
1986-02-07,361.50,337.90
1986-02-10,360.25,340.50
1986-02-11,361.00,337.20
1986-02-12,360.00,338.35
1986-02-13,357.00,335.40
1986-02-14,369.00,329.50
1986-02-18,381.00,332.40
1986-02-19,392.00,343.70
1986-02-20,389.50,339.25
1986-02-21,398.50,339.00
1986-02-24,417.50,343.35
1986-02-25,409.50,351.40
1986-02-26,389.50,345.10
1986-02-27,389.25,337.85
1986-02-28,401.50,338.25
1986-03-03,400.00,339.45
1986-03-04,407.00,337.90
1986-03-05,408.00,342.20
1986-03-06,404.50,343.00
1986-03-07,406.50,342.00
1986-03-10,399.00,341.80
1986-03-11,407.00,341.65
1986-03-12,414.00,344.50
1986-03-13,409.00,349.80
1986-03-14,410.50,347.60
1986-03-17,418.00,348.20
1986-03-18,421.50,350.80
1986-03-19,418.50,349.25
1986-03-20,430.00,350.60
1986-03-21,437.00,351.35
1986-03-24,423.50,352.40
1986-03-25,416.50,352.90
1986-03-26,417.00,344.90
1986-03-27,422.50,345.50
1986-04-01,398.25,333.70
1986-04-02,405.30,335.50
1986-04-03,406.70,336.60
1986-04-04,407.00,335.60
1986-04-07,422.00,336.50
1986-04-08,426.00,340.65
1986-04-09,427.50,338.65
1986-04-10,427.00,338.15
1986-04-11,434.00,340.25
1986-04-14,422.10,343.20
1986-04-15,422.50,340.25
1986-04-16,416.50,340.75
1986-04-17,413.80,339.30
1986-04-18,413.50,341.00
1986-04-21,414.50,342.45
1986-04-22,425.00,344.15
1986-04-23,426.25,347.25
1986-04-24,426.00,346.00
1986-04-25,424.00,344.30
1986-04-28,423.25,344.40
1986-04-29,414.00,342.35
1986-04-30,419.25,344.75
1986-05-01,404.75,345.60
1986-05-02,413.25,341.60
1986-05-06,417.00,341.55
1986-05-07,415.80,342.15
1986-05-08,415.80,344.60
1986-05-09,421.75,344.25
1986-05-12,422.25,344.90
1986-05-13,418.50,343.80
1986-05-14,414.50,342.75
1986-05-15,415.00,342.50
1986-05-16,411.30,342.75
1986-05-19,406.00,342.05
1986-05-20,404.00,340.30
1986-05-21,404.50,338.60
1986-05-22,409.50,339.40
1986-05-23,410.50,340.85
1986-05-27,412.50,341.15
1986-05-28,414.00,341.60
1986-05-29,415.00,342.75
1986-05-30,424.00,343.35
1986-06-02,422.00,343.00
1986-06-03,421.20,341.85
1986-06-04,417.50,341.40
1986-06-05,422.50,341.50
1986-06-06,421.50,341.50
1986-06-09,445.50,341.85
1986-06-10,436.00,347.55
1986-06-11,443.00,347.50
1986-06-12,453.00,347.95
1986-06-13,445.50,347.40
1986-06-16,427.50,346.50
1986-06-17,433.40,337.30
1986-06-18,433.00,338.50
1986-06-19,430.00,338.70
1986-06-20,430.25,338.90
1986-06-23,434.50,340.50
1986-06-24,435.00,340.75
1986-06-25,439.75,343.25
1986-06-26,439.00,343.80
1986-06-27,428.00,343.55
1986-06-30,430.00,345.50
1986-07-01,420.00,345.65
1986-07-02,425.75,344.00
1986-07-03,425.75,343.50
1986-07-07,433.20,344.45
1986-07-08,438.50,346.50
1986-07-09,436.80,350.35
1986-07-10,434.50,347.50
1986-07-11,434.00,347.65
1986-07-14,430.50,346.20
1986-07-15,438.00,345.85
1986-07-16,438.50,348.35
1986-07-17,437.50,346.90
1986-07-18,445.00,347.10
1986-07-21,447.00,353.00
1986-07-22,445.20,353.50
1986-07-23,439.00,351.75
1986-07-24,444.50,348.50
1986-07-25,443.00,349.00
1986-07-28,447.25,350.80
1986-07-29,445.50,353.30
1986-07-30,448.00,351.35
1986-07-31,463.50,357.75
1986-08-01,468.50,360.50
1986-08-04,470.50,358.75
1986-08-05,470.50,358.50
1986-08-06,479.00,360.85
1986-08-07,494.50,360.85
1986-08-08,520.00,361.85
1986-08-11,547.50,394.50
1986-08-12,540.70,386.10
1986-08-13,535.00,391.25
1986-08-14,545.00,384.00
1986-08-15,544.50,386.40
1986-08-18,539.00,377.25
1986-08-19,535.20,372.50
1986-08-20,558.00,379.00
1986-08-21,582.50,381.75
1986-08-22,571.50,384.65
1986-08-26,588.00,379.30
1986-08-27,592.50,377.80
1986-08-28,612.00,384.00
1986-08-29,624.00,386.00
1986-09-02,663.20,395.50
1986-09-03,651.00,407.20
1986-09-04,663.00,404.00
1986-09-05,675.50,418.25
1986-09-08,646.00,419.00
1986-09-09,621.50,412.50
1986-09-10,581.50,414.50
1986-09-11,570.00,407.00
1986-09-12,572.00,418.75
1986-09-15,581.50,416.00
1986-09-16,571.75,413.55
1986-09-17,560.00,413.60
1986-09-18,560.00,415.70
1986-09-19,592.00,423.00
1986-09-22,615.00,442.75
1986-09-23,603.75,435.15
1986-09-24,600.00,434.00
1986-09-25,581.50,432.25
1986-09-26,576.50,434.00
1986-09-29,542.00,429.45
1986-09-30,549.00,421.20
1986-10-01,556.00,425.50
1986-10-02,595.00,425.50
1986-10-03,588.50,436.90
1986-10-06,609.30,436.50
1986-10-07,603.75,442.00
1986-10-08,595.50,439.40
1986-10-09,570.30,435.80
1986-10-10,576.50,428.15
1986-10-13,590.00,431.40
1986-10-14,576.00,431.25
1986-10-15,566.50,426.25
1986-10-16,568.00,426.00
1986-10-17,570.00,420.00
1986-10-20,596.50,420.00
1986-10-21,592.00,426.80
1986-10-22,586.00,426.60
1986-10-23,562.50,425.40
1986-10-24,563.00,413.00
1986-10-27,576.00,409.60
1986-10-28,577.50,409.55
1986-10-29,567.00,407.75
1986-10-30,582.00,404.00
1986-10-31,567.50,401.50
1986-11-03,570.00,400.30
1986-11-04,572.75,408.50
1986-11-05,553.00,410.25
1986-11-06,562.25,405.00
1986-11-07,557.00,408.30
1986-11-10,546.50,409.90
1986-11-11,537.00,407.40
1986-11-12,525.00,407.45
1986-11-13,531.90,406.85
1986-11-14,502.30,409.00
1986-11-17,481.50,393.25
1986-11-18,495.50,388.00
1986-11-19,471.00,391.50
1986-11-20,481.00,387.00
1986-11-21,462.50,389.50
1986-11-24,474.00,380.40
1986-11-25,476.00,380.75
1986-11-26,478.00,384.00
1986-11-28,478.00,390.00
1986-12-01,491.80,399.60
1986-12-02,476.00,394.30
1986-12-03,479.50,385.25
1986-12-04,478.50,391.20
1986-12-05,482.00,388.60
1986-12-08,478.00,390.50
1986-12-09,477.00,389.20
1986-12-10,483.00,387.25
1986-12-11,483.50,388.75
1986-12-12,486.00,389.70
1986-12-15,494.50,394.60
1986-12-16,488.00,393.70
1986-12-17,478.50,393.40
1986-12-18,483.00,392.50
1986-12-19,475.50,394.15
1986-12-22,477.25,395.35
1986-12-23,468.00,392.75
1986-12-24,473.00,391.00
1986-12-29,473.00,391.40
1986-12-30,464.50,389.40
1986-12-31,477.50,390.90
1987-01-02,478.50,402.40
1987-01-05,485.00,399.00
1987-01-06,482.75,401.70
1987-01-07,487.75,399.50
1987-01-08,501.00,401.60
1987-01-09,525.00,402.25
1987-01-12,536.00,409.90
1987-01-13,534.00,408.60
1987-01-14,541.00,414.40
1987-01-15,534.00,415.00
1987-01-16,538.00,414.50
1987-01-19,548.00,421.25
1987-01-20,523.00,417.40
1987-01-21,518.00,408.50
1987-01-22,527.00,410.60
1987-01-23,520.00,403.55
1987-01-26,535.00,405.35
1987-01-27,543.00,408.70
1987-01-28,534.50,416.50
1987-01-29,533.50,411.00
1987-01-30,524.00,407.30
1987-02-02,522.50,406.45
1987-02-03,525.00,402.00
1987-02-04,522.00,401.75
1987-02-05,524.00,402.60
1987-02-06,525.50,402.70
1987-02-09,529.50,402.95
1987-02-10,524.00,404.40
1987-02-11,520.50,402.90
1987-02-12,505.25,402.00
1987-02-13,509.00,395.55
1987-02-17,505.50,396.85
1987-02-18,502.00,392.95
1987-02-19,514.00,392.60
1987-02-20,522.00,397.50
1987-02-23,514.00,403.00
1987-02-24,522.50,401.95
1987-02-25,519.50,406.70
1987-02-26,528.00,403.10
1987-02-27,524.50,405.75
1987-03-02,521.50,404.40
1987-03-03,529.50,403.70
1987-03-04,531.50,407.65
1987-03-05,535.25,411.45
1987-03-06,531.50,406.50
1987-03-09,528.00,404.85
1987-03-10,531.00,405.00
1987-03-11,529.00,406.85
1987-03-12,533.00,408.00
1987-03-13,514.00,409.25
1987-03-16,519.50,404.65
1987-03-17,523.50,406.00
1987-03-18,524.00,406.40
1987-03-19,522.00,405.05
1987-03-20,522.00,405.00
1987-03-23,530.50,406.60
1987-03-24,545.00,410.30
1987-03-25,541.00,415.00
1987-03-26,538.00,411.30
1987-03-27,564.00,415.90
1987-03-30,562.50,421.80
1987-03-31,556.50,419.00
1987-04-01,554.80,418.50
1987-04-02,554.50,420.25
1987-04-03,559.00,418.65
1987-04-06,561.50,420.55
1987-04-07,565.25,419.80
1987-04-08,558.00,423.20
1987-04-09,578.00,421.50
1987-04-10,576.00,432.30
1987-04-13,581.50,436.50
1987-04-14,601.50,440.25
1987-04-15,588.50,445.50
1987-04-16,586.00,441.00
1987-04-21,591.00,454.30
1987-04-22,600.00,446.80
1987-04-23,620.00,453.00
1987-04-24,621.00,462.60
1987-04-27,597.00,476.60
1987-04-28,588.50,455.75
1987-04-29,589.00,451.75
1987-04-30,605.50,454.50
1987-05-01,607.50,452.15
1987-05-05,619.00,464.50
1987-05-06,619.50,456.75
1987-05-07,616.00,457.40
1987-05-08,610.00,456.70
1987-05-11,614.00,454.75
1987-05-12,616.50,460.25
1987-05-13,602.00,459.50
1987-05-14,613.50,460.00
1987-05-15,625.00,466.70
1987-05-18,619.00,476.50
1987-05-19,624.00,471.35
1987-05-20,620.50,479.95
1987-05-21,612.00,468.60
1987-05-22,594.00,473.60
1987-05-26,572.50,459.65
1987-05-27,574.00,447.90
1987-05-28,582.00,453.35
1987-05-29,578.00,451.75
1987-06-01,569.50,443.40
1987-06-02,585.00,449.30
1987-06-03,571.00,453.25
1987-06-04,571.50,450.25
1987-06-05,579.00,454.70
1987-06-08,573.00,454.40
1987-06-09,581.50,452.05
1987-06-10,583.00,456.65
1987-06-11,599.00,456.40
1987-06-12,587.00,460.80
1987-06-15,586.00,450.35
1987-06-16,576.00,452.75
1987-06-17,570.00,448.25
1987-06-18,573.00,451.10
1987-06-19,566.50,452.25
1987-06-22,552.00,443.60
1987-06-23,547.00,438.10
1987-06-24,554.50,443.00
1987-06-25,547.50,439.00
1987-06-26,552.00,441.40
1987-06-29,552.50,446.00
1987-06-30,553.00,447.10
1987-07-01,558.50,449.50
1987-07-02,557.00,447.40
1987-07-06,560.00,443.10
1987-07-07,557.50,444.80
1987-07-08,565.50,442.15
1987-07-09,563.00,445.30
1987-07-10,559.00,444.25
1987-07-13,564.00,443.70
1987-07-14,561.00,447.15
1987-07-15,574.25,448.25
1987-07-16,574.50,452.90
1987-07-17,568.00,452.50
1987-07-20,567.00,449.65
1987-07-21,575.00,452.50
1987-07-22,582.00,454.45
1987-07-23,575.00,454.75
1987-07-24,588.00,454.00
1987-07-27,589.00,453.10
1987-07-28,601.50,454.20
1987-07-29,599.50,459.50
1987-07-30,617.50,457.20
1987-07-31,615.00,464.25
1987-08-03,628.00,473.25
1987-08-04,641.25,476.00
1987-08-05,620.50,469.85
1987-08-06,614.80,468.85
1987-08-07,608.00,464.00
1987-08-10,621.75,459.50
1987-08-11,630.00,463.20
1987-08-12,630.00,461.00
1987-08-13,613.50,462.00
1987-08-14,590.00,457.40
1987-08-17,586.00,454.80
1987-08-18,596.00,454.90
1987-08-19,599.00,457.65
1987-08-20,585.50,457.40
1987-08-21,595.00,454.10
1987-08-24,607.00,455.80
1987-08-25,598.00,458.50
1987-08-26,604.00,457.40
1987-08-27,604.00,458.25
