date,value
-1735689600000,16.29
-1733011200000,16.45
-1730592000000,16.62
-1727913600000,16.45
-1725321600000,16.29
-1722643200000,16.29
-1720051200000,16.29
-1717372800000,16.29
-1714694400000,16.29
-1712102400000,16.13
-1709424000000,15.97
-1706832000000,15.97
-1704153600000,20.78
-1701475200000,20.78
-1698969600000,20.58
-1696291200000,20.39
-1693699200000,20.2
-1691020800000,20.01
-1688428800000,20.01
-1685750400000,19.83
-1683072000000,19.47
-1680480000000,19.13
-1677801600000,18.79
-1675209600000,18.63
-1672531200000,23.16
-1669852800000,22.58
-1667433600000,22.58
-1664755200000,21.5
-1662163200000,21.17
-1659484800000,20.84
-1656892800000,21.17
-1654214400000,20.84
-1651536000000,20.37
-1648944000000,20.07
-1646265600000,20.07
-1643673600000,19.78
-1640995200000,22.58
-1638316800000,22.42
-1635897600000,22.58
-1633219200000,22.26
-1630627200000,21.8
-1627948800000,21.5
-1625356800000,20.93
-1622678400000,20.53
-1620000000000,20.13
-1617408000000,19.76
-1614729600000,19.39
-1612137600000,19.16
-1609459200000,22.09
-1606780800000,22.5
-1604361600000,22.23
-1601683200000,21.83
-1599091200000,21.57
-1596412800000,21.57
-1593820800000,20.95
-1591142400000,20.59
-1588464000000,20.48
-1585872000000,20.14
-1583193600000,19.7
-1580601600000,19.29
-1577923200000,17.21
-1575244800000,17.04
-1572739200000,16.86
-1570060800000,16.37
-1567468800000,16.13
-1564790400000,15.9
-1562198400000,15.97
-1559520000000,16.37
-1556841600000,16.61
-1554249600000,16.7
-1551571200000,16.78
-1548979200000,17.13
-1546300800000,10.7
-1543622400000,11.04
-1541203200000,11.1
-1538524800000,11.23
-1535932800000,11.48
-1533254400000,11.55
-1530662400000,11.48
-1527984000000,11.48
-1525305600000,11.61
-1522713600000,11.61
-1520035200000,11.68
-1517443200000,11.75
-1514764800000,12.98
-1512086400000,12.98
-1509667200000,13.13
-1506988800000,13.13
-1504396800000,13.13
-1501718400000,13.13
-1499126400000,13.06
-1496448000000,13.21
-1493769600000,13.21
-1491177600000,13.13
-1488499200000,13.06
-1485907200000,12.98
-1483228800000,12.48
-1480550400000,12.48
-1478131200000,12.48
-1475452800000,12.41
-1472860800000,12.41
-1470182400000,12.33
-1467590400000,12.19
-1464912000000,12.26
-1462233600000,12.19
-1459641600000,12.12
-1456963200000,12.12
-1454371200000,12.12
-1451692800000,12.49
-1449014400000,12.56
-1446508800000,12.64
-1443830400000,12.71
-1441238400000,12.71
-1438560000000,12.71
-1435968000000,12.64
-1433289600000,12.71
-1430611200000,12.64
-1428019200000,12.56
-1425340800000,12.56
-1422748800000,12.49
-1420070400000,12.87
-1417392000000,12.94
-1414972800000,12.87
-1412294400000,12.94
-1409702400000,12.87
-1407024000000,12.72
-1404432000000,12.57
-1401753600000,12.57
-1399075200000,12.57
-1396483200000,12.57
-1393804800000,12.36
-1391212800000,12.43
-1388534400000,11.17
-1385856000000,11.17
-1383436800000,11.24
-1380758400000,11.17
-1378166400000,11.24
-1375488000000,11.3
-1372896000000,11.43
-1370217600000,11.49
-1367539200000,11.43
-1364947200000,11.36
-1362268800000,11.3
-1359676800000,11.3
-1356998400000,10.51
-1354320000000,10.57
-1351900800000,10.63
-1349222400000,10.63
-1346630400000,10.57
-1343952000000,10.45
-1341360000000,10.63
-1338681600000,10.69
-1336003200000,10.63
-1333411200000,10.57
-1330732800000,10.63
-1328140800000,10.63
-1325462400000,10.81
-1322784000000,10.94
-1320278400000,10.94
-1317600000000,10.94
-1315008000000,10.88
-1312329600000,10.94
-1309737600000,10.94
-1307059200000,10.94
-1304380800000,10.81
-1301788800000,10.88
-1299110400000,10.88
-1296518400000,10.94
-1293840000000,10
-1291161600000,10
-1288742400000,10.06
-1286064000000,10.12
-1283472000000,10.06
-1280793600000,10
-1278201600000,9.88
-1275523200000,9.88
-1272844800000,9.88
-1270252800000,9.88
-1267574400000,9.88
-1264982400000,9.94
-1262304000000,7.17
-1259625600000,7.21
-1257206400000,7.25
-1254528000000,7.21
-1251936000000,7.25
-1249257600000,7.3
-1246665600000,7.38
-1243987200000,7.43
-1241308800000,7.38
-1238716800000,7.43
-1236038400000,7.47
-1233446400000,7.61
-1230768000000,5.88
-1228089600000,5.96
-1225670400000,6
-1222992000000,6.04
-1220400000000,6.11
-1217721600000,6.19
-1215129600000,6.19
-1212451200000,6.19
