date,value
-1704240000000,0.51
-1672617600000,0.67
-1641081600000,0.84
-1609545600000,0.98
-1578009600000,1.13
-1546387200000,1.03
-1514851200000,0.63
-1483315200000,0.68
-1451779200000,0.65
-1420156800000,0.67
-1388620800000,0.69
-1357084800000,0.62
-1325548800000,0.57
-1293926400000,0.58
-1262390400000,0.53
-1230854400000,0.38
-1199318400000,0.29
-1167696000000,0.28
-1136160000000,0.35
-1104624000000,0.48
-1073088000000,0.64
-1041465600000,0.45
-1009929600000,0.45
-978393600000,0.43
-946857600000,0.39
-915235200000,0.35
-883699200000,0.35
-852163200000,0.38
-820627200000,0.45
-789004800000,0.45
-757468800000,0.52
-725932800000,0.8
-694396800000,0.72
-662774400000,0.74
-631238400000,0.72
-599702400000,0.74
-568166400000,0.89
-536544000000,0.85
-505008000000,0.85
-473472000000,0.85
-441936000000,0.89
-410313600000,0.92
-378777600000,0.92
-347241600000,0.89
-315705600000,0.92
-284083200000,0.92
-252547200000,0.93
-221011200000,1.09
-189475200000,1.29
-157852800000,1.3
-126316800000,1.3
-94780800000,1.3
-63244800000,1.66
-31622400000,2.19
-86400000,1.8
31449600000,1.75
62985600000,1.52
94608000000,1.7
126144000000,2.59
157680000000,4.75
189216000000,4.42
220838400000,4.34
252374400000,4.65
283910400000,5.5
315446400000,12.52
347068800000,19.48
378604800000,10.01
410140800000,7.93
441676800000,11.33
473299200000,8.06
504835200000,6.16
536371200000,5.4
567907200000,7.05
599529600000,6.42
631065600000,5.42
662601600000,4.76
694137600000,3.99
725760000000,3.92
757296000000,4.41
788832000000,5.3
820368000000,5.2
851990400000,5.15
883526400000,5
915062400000,5.5
946598400000,5.28
978220800000,4.91
1009756800000,4.39
1041292800000,4.61
1072828800000,4.95
1104451200000,6.69
1135987200000,7.39
1167523200000,11.83
1199059200000,13.51
1230681600000,14.98
1262217600000,14.77
1293753600000,20.51
1325289600000,35.56
1356912000000,31.63
1388448000000,23.53
1419984000000,18.76
1451520000000,15.51
1483142400000,17.13
1514678400000,17.24
1546214400000,15.64
1577750400000,16.36
1609372800000,20.8
1640908800000,24.97
1672444800000,21.67
1703980800000,23.58
1735603200000,28.13
1767139200000,40.86
