date,value
-1672617600000,31.37
-1641081600000,25.37
-1609545600000,16.67
-1578009600000,15.31
-1546387200000,-8.85
-1514851200000,-38.83
-1483315200000,7.94
-1451779200000,-4.41
-1420156800000,3.08
-1388620800000,2.99
-1357084800000,-10.14
-1325548800000,-8.06
-1293926400000,1.75
-1262390400000,-8.62
-1230854400000,-28.3
-1199318400000,-23.68
-1167696000000,-3.45
-1136160000000,25
-1104624000000,37.14
-1073088000000,33.33
-1041465600000,-29.69
-1009929600000,0
-978393600000,-4.44
-946857600000,-9.3
-915235200000,-10.26
-883699200000,0
-852163200000,8.57
-820627200000,18.42
-789004800000,0
-757468800000,15.56
-725932800000,53.85
-694396800000,-10
-662774400000,2.78
-631238400000,-2.7
-599702400000,2.78
-568166400000,20.27
-536544000000,-4.49
-505008000000,0
-473472000000,0
-441936000000,4.71
-410313600000,3.37
-378777600000,0
-347241600000,-3.26
-315705600000,3.37
-284083200000,0
-252547200000,1.09
-221011200000,17.2
-189475200000,18.53
-157852800000,1.63
-126316800000,-1.22
-94780800000,0.62
-63244800000,72.64
-31622400000,-13.45
-86400000,-8.21
31449600000,-8.94
62985600000,-15.95
94608000000,48.18
126144000000,60.59
157680000000,37.12
189216000000,-6.49
220838400000,4.31
252374400000,9.17
283910400000,26.47
315446400000,434.88
347068800000,-51.86
378604800000,-47.42
410140800000,33.37
441676800000,-18.03
473299200000,-29.41
504835200000,-7.79
536371200000,-8.97
567907200000,26.89
599529600000,-9.7
631065600000,-13.72
662601600000,-19.73
694137600000,-7.88
725760000000,-4.92
757296000000,39.51
788832000000,-5.27
820368000000,5.98
851990400000,-6.61
883526400000,25
915062400000,-16.5
946598400000,6.39
978220800000,-14.07
1009756800000,-1.31
1041292800000,3.32
1072828800000,27.84
1104451200000,14.24
1135987200000,29.47
1167523200000,46.09
1199059200000,14.42
1230681600000,-26.9
1262217600000,57.46
1293753600000,80.28
1325289600000,-8
1356912000000,6.28
1388448000000,-34.89
1419984000000,-18.1
1451520000000,-13.59
1483142400000,15.86
1514678400000,7.12
1546214400000,-9.4
1577750400000,15.36
1609372800000,47.44
1640908800000,-11.55
1672444800000,2.64
1703980800000,-0.72
1735603200000,21.36
1767139200000,121.37
