date,value
-1735689600000,0.51
-1733011200000,0.51
-1730592000000,0.51
-1727913600000,0.51
-1725321600000,0.51
-1722643200000,0.51
-1720051200000,0.51
-1717372800000,0.51
-1714694400000,0.51
-1712102400000,0.51
-1709424000000,0.51
-1706832000000,0.51
-1704153600000,0.67
-1701475200000,0.67
-1698969600000,0.67
-1696291200000,0.67
-1693699200000,0.67
-1691020800000,0.67
-1688428800000,0.67
-1685750400000,0.67
-1683072000000,0.67
-1680480000000,0.67
-1677801600000,0.67
-1675209600000,0.67
-1672531200000,0.84
-1669852800000,0.84
-1667433600000,0.84
-1664755200000,0.84
-1662163200000,0.84
-1659484800000,0.84
-1656892800000,0.84
-1654214400000,0.84
-1651536000000,0.84
-1648944000000,0.84
-1646265600000,0.84
-1643673600000,0.84
-1640995200000,0.98
-1638316800000,0.98
-1635897600000,0.98
-1633219200000,0.98
-1630627200000,0.98
-1627948800000,0.98
-1625356800000,0.98
-1622678400000,0.98
-1620000000000,0.98
-1617408000000,0.98
-1614729600000,0.98
-1612137600000,0.98
-1609459200000,1.13
-1606780800000,1.13
-1604361600000,1.13
-1601683200000,1.13
-1599091200000,1.13
-1596412800000,1.13
-1593820800000,1.13
-1591142400000,1.13
-1588464000000,1.13
-1585872000000,1.13
-1583193600000,1.13
-1580601600000,1.13
-1577923200000,1.03
-1575244800000,1.03
-1572739200000,1.03
-1570060800000,1.03
-1567468800000,1.03
-1564790400000,1.03
-1562198400000,1.03
-1559520000000,1.03
-1556841600000,1.03
-1554249600000,1.03
-1551571200000,1.03
-1548979200000,1.03
-1546300800000,0.63
-1543622400000,0.63
-1541203200000,0.63
-1538524800000,0.63
-1535932800000,0.63
-1533254400000,0.63
-1530662400000,0.63
-1527984000000,0.63
-1525305600000,0.63
-1522713600000,0.63
-1520035200000,0.63
-1517443200000,0.63
-1514764800000,0.68
-1512086400000,0.68
-1509667200000,0.68
-1506988800000,0.68
-1504396800000,0.68
-1501718400000,0.68
-1499126400000,0.68
-1496448000000,0.68
-1493769600000,0.68
-1491177600000,0.68
-1488499200000,0.68
-1485907200000,0.68
-1483228800000,0.65
-1480550400000,0.65
-1478131200000,0.65
-1475452800000,0.65
-1472860800000,0.65
-1470182400000,0.65
-1467590400000,0.65
-1464912000000,0.65
-1462233600000,0.65
-1459641600000,0.65
-1456963200000,0.65
-1454371200000,0.65
-1451692800000,0.67
-1449014400000,0.67
-1446508800000,0.67
-1443830400000,0.67
-1441238400000,0.67
-1438560000000,0.67
-1435968000000,0.67
-1433289600000,0.67
-1430611200000,0.67
-1428019200000,0.67
-1425340800000,0.67
-1422748800000,0.67
-1420070400000,0.69
-1417392000000,0.69
-1414972800000,0.69
-1412294400000,0.69
-1409702400000,0.69
-1407024000000,0.69
-1404432000000,0.69
-1401753600000,0.69
-1399075200000,0.69
-1396483200000,0.69
-1393804800000,0.69
-1391212800000,0.69
-1388534400000,0.62
-1385856000000,0.62
-1383436800000,0.62
-1380758400000,0.62
-1378166400000,0.62
-1375488000000,0.62
-1372896000000,0.62
-1370217600000,0.62
-1367539200000,0.62
-1364947200000,0.62
-1362268800000,0.62
-1359676800000,0.62
-1356998400000,0.57
-1354320000000,0.57
-1351900800000,0.57
-1349222400000,0.57
-1346630400000,0.57
-1343952000000,0.57
-1341360000000,0.57
-1338681600000,0.57
-1336003200000,0.57
-1333411200000,0.57
-1330732800000,0.57
-1328140800000,0.57
-1325462400000,0.58
-1322784000000,0.58
-1320278400000,0.58
-1317600000000,0.58
-1315008000000,0.58
-1312329600000,0.58
-1309737600000,0.58
-1307059200000,0.58
-1304380800000,0.58
-1301788800000,0.58
-1299110400000,0.58
-1296518400000,0.58
-1293840000000,0.53
-1291161600000,0.53
-1288742400000,0.53
-1286064000000,0.53
-1283472000000,0.53
-1280793600000,0.53
-1278201600000,0.53
-1275523200000,0.53
-1272844800000,0.53
-1270252800000,0.53
-1267574400000,0.53
-1264982400000,0.53
-1262304000000,0.38
-1259625600000,0.38
-1257206400000,0.38
-1254528000000,0.38
-1251936000000,0.38
-1249257600000,0.38
-1246665600000,0.38
-1243987200000,0.38
-1241308800000,0.38
-1238716800000,0.38
-1236038400000,0.38
-1233446400000,0.38
-1230768000000,0.29
-1228089600000,0.29
-1225670400000,0.29
-1222992000000,0.29
-1220400000000,0.29
-1217721600000,0.29
-1215129600000,0.29
-1212451200000,0.29
-1209772800000,0.29
-1207180800000,0.29
-1204502400000,0.29
-1201910400000,0.29
-1199232000000,0.28
-1196553600000,0.28
-1194048000000,0.28
-1191369600000,0.28
-1188777600000,0.28
-1186099200000,0.28
-1183507200000,0.28
-1180828800000,0.28
-1178150400000,0.28
-1175558400000,0.28
-1172880000000,0.28
-1170288000000,0.28
-1167609600000,0.35
-1164931200000,0.35
-1162512000000,0.35
-1159833600000,0.35
-1157241600000,0.35
-1154563200000,0.35
-1151971200000,0.35
-1149292800000,0.35
-1146614400000,0.35
-1144022400000,0.35
-1141344000000,0.35
-1138752000000,0.35
-1136073600000,0.48
-1133395200000,0.48
-1130976000000,0.48
-1128297600000,0.48
-1125705600000,0.48
-1123027200000,0.48
-1120435200000,0.48
-1117756800000,0.48
-1115078400000,0.48
-1112486400000,0.48
-1109808000000,0.48
-1107216000000,0.48
-1104537600000,0.64
-1101859200000,0.64
-1099440000000,0.64
-1096761600000,0.64
-1094169600000,0.64
-1091491200000,0.64
-1088899200000,0.64
-1086220800000,0.64
-1083542400000,0.64
-1080950400000,0.64
-1078272000000,0.64
-1075680000000,0.64
-1073001600000,0.45
-1070323200000,0.45
-1067817600000,0.45
-1065139200000,0.45
-1062547200000,0.45
-1059868800000,0.45
-1057276800000,0.45
-1054598400000,0.45
-1051920000000,0.45
-1049328000000,0.45
-1046649600000,0.45
-1044057600000,0.45
-1041379200000,0.45
-1038700800000,0.45
-1036281600000,0.45
-1033603200000,0.45
-1031011200000,0.45
-1028332800000,0.45
-1025740800000,0.45
-1023062400000,0.45
-1020384000000,0.45
-1017792000000,0.45
-1015113600000,0.45
-1012521600000,0.45
-1009843200000,0.43
-1007164800000,0.43
-1004745600000,0.43
-1002067200000,0.43
-999475200000,0.43
-996796800000,0.43
-994204800000,0.43
-991526400000,0.43
-988848000000,0.43
-986256000000,0.43
-983577600000,0.43
-980985600000,0.43
-978307200000,0.39
-975628800000,0.39
-973209600000,0.39
-970531200000,0.39
-967939200000,0.39
-965260800000,0.39
-962668800000,0.39
-959990400000,0.39
-957312000000,0.39
-954720000000,0.39
-952041600000,0.39
-949449600000,0.39
-946771200000,0.35
-944092800000,0.35
-941587200000,0.35
-938908800000,0.35
-936316800000,0.35
-933638400000,0.35
-931046400000,0.35
-928368000000,0.35
-925689600000,0.35
-923097600000,0.35
-920419200000,0.35
-917827200000,0.35
-915148800000,0.35
-912470400000,0.35
-910051200000,0.35
-907372800000,0.35
-904780800000,0.35
-902102400000,0.35
-899510400000,0.35
-896832000000,0.35
-894153600000,0.35
-891561600000,0.35
-888883200000,0.35
-886291200000,0.35
-883612800000,0.38
-880934400000,0.38
-878515200000,0.38
-875836800000,0.38
-873244800000,0.38
-870566400000,0.38
-867974400000,0.38
-865296000000,0.38
-862617600000,0.38
-860025600000,0.38
-857347200000,0.38
-854755200000,0.38
-852076800000,0.45
-849398400000,0.45
-846979200000,0.45
-844300800000,0.45
-841708800000,0.45
-839030400000,0.45
-836438400000,0.45
-833760000000,0.45
-831081600000,0.45
-828489600000,0.45
-825811200000,0.45
-823219200000,0.45
-820540800000,0.45
-817862400000,0.45
-815356800000,0.45
-812678400000,0.45
-810086400000,0.45
-807408000000,0.45
-804816000000,0.45
-802137600000,0.45
-799459200000,0.45
-796867200000,0.45
-794188800000,0.45
-791596800000,0.45
-788918400000,0.52
-786240000000,0.52
-783820800000,0.52
-781142400000,0.52
-778550400000,0.52
-775872000000,0.52
-773280000000,0.52
-770601600000,0.52
-767923200000,0.52
-765331200000,0.52
-762652800000,0.52
-760060800000,0.52
-757382400000,0.8
-754704000000,0.8
-752284800000,0.8
-749606400000,0.8
-747014400000,0.8
-744336000000,0.8
-741744000000,0.8
-739065600000,0.8
-736387200000,0.8
-733795200000,0.8
-731116800000,0.8
-728524800000,0.8
-725846400000,0.72
-723168000000,0.72
-720748800000,0.72
-718070400000,0.72
-715478400000,0.72
-712800000000,0.72
-710208000000,0.72
-707529600000,0.72
-704851200000,0.72
-702259200000,0.72
-699580800000,0.72
-696988800000,0.72
-694310400000,0.74
-691632000000,0.74
-689126400000,0.74
-686448000000,0.74
-683856000000,0.74
-681177600000,0.74
-678585600000,0.74
-675907200000,0.74
-673228800000,0.74
-670636800000,0.74
-667958400000,0.74
-665366400000,0.74
-662688000000,0.72
-660009600000,0.72
-657590400000,0.72
-654912000000,0.72
-652320000000,0.72
-649641600000,0.72
-647049600000,0.72
-644371200000,0.72
-641692800000,0.72
-639100800000,0.72
-636422400000,0.72
-633830400000,0.72
-631152000000,0.74
-628473600000,0.74
-626054400000,0.74
-623376000000,0.74
-620784000000,0.74
-618105600000,0.74
-615513600000,0.74
-612835200000,0.74
-610156800000,0.74
-607564800000,0.74
-604886400000,0.74
-602294400000,0.74
-599616000000,0.89
-596937600000,0.89
-594518400000,0.89
-591840000000,0.89
-589248000000,0.89
-586569600000,0.89
-583977600000,0.89
-581299200000,0.89
-578620800000,0.89
-576028800000,0.89
-573350400000,0.89
-570758400000,0.89
-568080000000,0.85
-565401600000,0.85
-562896000000,0.85
-560217600000,0.85
-557625600000,0.85
-554947200000,0.85
-552355200000,0.85
-549676800000,0.85
-546998400000,0.85
-544406400000,0.85
-541728000000,0.85
-539136000000,0.85
-536457600000,0.85
-533779200000,0.85
-531360000000,0.85
-528681600000,0.85
-526089600000,0.85
-523411200000,0.85
-520819200000,0.85
-518140800000,0.85
-515462400000,0.85
-512870400000,0.85
-510192000000,0.85
-507600000000,0.85
-504921600000,0.85
-502243200000,0.85
-499824000000,0.85
-497145600000,0.85
-494553600000,0.85
-491875200000,0.85
-489283200000,0.85
-486604800000,0.85
-483926400000,0.85
-481334400000,0.85
-478656000000,0.85
-476064000000,0.85
-473385600000,0.89
-470707200000,0.89
-468288000000,0.89
-465609600000,0.89
-463017600000,0.89
-460339200000,0.89
-457747200000,0.89
-455068800000,0.89
-452390400000,0.89
-449798400000,0.89
-447120000000,0.89
-444528000000,0.89
-441849600000,0.92
-439171200000,0.92
