date,value
-1704240000000,19.25
-1672617600000,19.47
-1641081600000,19.66
-1609545600000,19.84
-1578009600000,20.03
-1546387200000,20.63
-1514851200000,20.69
-1483315200000,20.84
-1451779200000,20.75
-1420156800000,20.78
-1388620800000,20.75
-1357084800000,20.72
-1325548800000,20.75
-1293926400000,20.78
-1262390400000,20.72
-1230854400000,20.69
-1199318400000,22.59
-1167696000000,20.78
-1136160000000,26.47
-1104624000000,35
-1073088000000,35
-1041465600000,35
-1009929600000,35
-978393600000,35
-946857600000,34.69
-915235200000,34.06
-883699200000,34.06
-852163200000,34.06
-820627200000,34.06
-789004800000,34.06
-757468800000,35
-725932800000,35
-694396800000,35
-662774400000,35
-631238400000,31.88
-599702400000,35
-568166400000,35
-536544000000,34.69
-505008000000,35
-473472000000,35.31
-441936000000,35.31
-410313600000,35.31
-378777600000,35
-347241600000,35.31
-315705600000,35.31
-284083200000,35.31
-252547200000,35.31
-221011200000,35.31
-189475200000,35.31
-157852800000,35.31
-126316800000,35.31
-94780800000,35.31
-63244800000,35.31
-31622400000,40.2
-86400000,40.84
31449600000,35.99
62985600000,40.97
94608000000,59.1
126144000000,99.95
157680000000,161.68
189216000000,160.41
220838400000,123.79
252374400000,148.95
283910400000,196.8
315446400000,320.98
347068800000,607.76
378604800000,449.58
410140800000,376.11
441676800000,419.4
473299200000,358.12
504835200000,320.83
536371200000,368.23
567907200000,451.09
599529600000,432.21
631065600000,380.12
662601600000,383.9
694137600000,358.94
725760000000,343.23
757296000000,363.95
788832000000,384.64
820368000000,383.76
851990400000,386.25
883526400000,329.33
915062400000,294.19
946598400000,280.6
978220800000,276.68
1009756800000,271.13
1041292800000,312.86
1072828800000,367.63
1104451200000,409.81
1135987200000,448.98
1167523200000,611.54
1199059200000,704.68
1230681600000,880.21
1262217600000,982.65
1293753600000,1230.75
1325289600000,1567.96
1356912000000,1679.83
1388448000000,1399.56
1419984000000,1256.25
1451520000000,1151.95
1483142400000,1249.98
1514678400000,1269.34
1546214400000,1265.6
1577750400000,1405.33
1609372800000,1784.66
1640908800000,1792.73
1672444800000,1798.96
1703980800000,1953.69
1735603200000,2404.58
1767139200000,3471.83
